_NAME_	COMMUNAL
v000020	0
v000036	0
v000103	0
v000107	0
v000112	0
v000124	0
v000132	0
v000146	0
v000152	0
v000159	0
v000177	0
v000178	0
v000181	0
v000236	0
v000286	0
v000288	0
v000322	0
v000351	0
v000361	0
v000367	0
v000368	0
v000376	0
v000386	0
v000421	0
v000424	0
v000428	0
v000434	0
v000459	0
v000465	0
v000492	0
v000495	0
v000508	0
v000512	0
v000523	0
v000525	0
v000531	0
v000534	0
v000541	0
v000591	0
v000605	0
v000622	0
v000659	0
v000665	0
v000668	0
v000685	0
v000686	0
v000721	0
v000728	0
v000805	0
v000809	0
v000833	0
v000914	0
v000927	0
v000928	0
v000935	0
v000971	0
v000984	0
v000991	0
v001005	0
v001009	0
v001013	0
v000513	0.7418630747
v000303	1.1173649966
v000573	1.1338121352
v000629	1.166499765
v000752	1.2495051801
v000350	1.438267381
v000786	1.4926153945
v000893	1.5346873673
v000716	1.5433600038
v000406	1.6045336137
v000415	1.6515832725
v000446	1.7248347552
v000865	1.8471006787
v000871	1.8693638543
v000600	1.9172090872
v000806	1.9208667527
v000273	1.9420318308
v000083	2.0414043672
v000266	2.2293262201
v000319	2.3786168433
v000621	2.4864452289
v000231	2.493080472
v000215	2.5198554531
v000783	2.5435000924
v000106	2.54674257
v000125	2.5703562157
v000823	2.584431278
v000650	2.5917388511
v000156	2.5921200991
v000099	2.5977213932
v000016	2.5987408447
v000747	2.603483081
v000240	2.6155231661
v000255	2.6220754835
v000048	2.625770267
v000850	2.628104654
v000372	2.6442238652
v000282	2.652415448
v000198	2.6708611962
v000817	2.6786211255
v000116	2.6931485898
v000065	2.7124353121
v000457	2.7130365837
v000772	2.7197690208
v000250	2.7244286841
v000943	2.7257212804
v000194	2.7274394828
v000440	2.7317983818
v000221	2.7576036349
v000328	2.7700065859
v000283	2.7742597923
v000670	2.7743924441
v000306	2.7764377772
v000640	2.7772156095
v000680	2.7824722862
v000626	2.7869299614
v000339	2.794774529
v000076	2.7957188013
v000354	2.8107329327
v000653	2.8168459799
v000101	2.8237375784
v000514	2.8253913831
v000480	2.8331571118
v000639	2.8413686761
v000387	2.8442763501
v000526	2.8449653374
v000144	2.8614235083
v000117	2.8739352957
v000193	2.878839917
v000111	2.8943859045
v000851	2.8976380078
v000195	2.8989903283
v000742	2.8994775852
v000191	2.9042085151
v000188	2.9150567315
v000773	2.9158543776
v000613	2.9181279976
v000908	2.9196821919
v000741	2.9270158848
v000712	2.9318200542
v000906	2.9359435418
v000498	2.9371327356
v000681	2.9378886574
v000308	2.9400367516
v000564	2.9426456404
v000882	2.9442923665
v000821	2.9455233977
v000476	2.9534817654
v000601	2.9548223499
v000676	2.9645090385
v000123	2.9674258664
v000063	2.9710673394
v000759	2.978752993
v000289	2.9789756404
v000185	2.9860810374
v000342	2.9868872666
v000204	2.9873154267
v000530	2.989457608
v000966	2.9910535814
v000304	2.9945428479
v000767	2.9990179022
v000407	3.0020967521
v000485	3.0035814473
v000903	3.0043068423
v000563	3.0058015741
v000925	3.0101654435
v000072	3.0115400935
v000638	3.0356212574
v000740	3.03723882
v000200	3.0464651638
v000500	3.0510219805
v000028	3.0512499783
v000024	3.0514577744
v000489	3.0519912512
v000582	3.0559139258
v000576	3.0609152924
v000390	3.0634690189
v000262	3.0640390096
v000092	3.0666861315
v000334	3.0704504482
v000138	3.0763453659
v000206	3.0764862563
v000145	3.0773410695
v000724	3.0791810301
v000701	3.079829883
v000979	3.0878854871
v000039	3.091649469
v000595	3.0918081416
v000746	3.092911839
v000960	3.0944380668
v000910	3.0949084027
v000400	3.0952571219
v000389	3.0967215041
v000347	3.1014585616
v000687	3.1018548977
v000635	3.1040751873
v000017	3.1067872673
v000840	3.1070849765
v000455	3.1083792683
v000529	3.1112988376
v000046	3.1122799806
v000730	3.1152810521
v000225	3.1175181793
v000922	3.1180769391
v000469	3.1185824919
v000946	3.121467805
v000649	3.1215204961
v000413	3.1270048319
v000313	3.1285939315
v000975	3.1355002121
v000978	3.1371923322
v000867	3.1416555841
v000263	3.1439706137
v000307	3.1461314935
v000137	3.1463544329
v000528	3.152970098
v000239	3.1529960051
v000427	3.1606682729
v000929	3.1652019446
v000597	3.1675451338
v000762	3.170220725
v000454	3.1742969023
v000557	3.1762726724
v000793	3.1852875959
v000090	3.1896786748
v000370	3.1909509304
v000437	3.1950875834
v000756	3.1952665462
v000472	3.1973126648
v000412	3.2014723338
v000900	3.207335047
v000794	3.208563895
v000959	3.2120382898
v000252	3.2171428971
v000874	3.2224470535
v000084	3.2235253509
v000875	3.2247710186
v000552	3.2283582818
v000213	3.2334105951
v000589	3.234535581
v000160	3.2358401372
v000920	3.2379866321
v000822	3.2384913014
v000634	3.2401546546
v000151	3.2408600027
v000744	3.241235642
v000420	3.2440173974
v000318	3.2494611086
v000494	3.2494996382
v000909	3.2576944943
v000588	3.2610761656
v000203	3.2639136111
v000743	3.2672439986
v000942	3.2738142128
v000549	3.2777145856
v000379	3.282043228
v000055	3.2876043529
v000845	3.2880855306
v000723	3.2910979736
v000456	3.2923812717
v000843	3.2956307605
v000097	3.2962065919
v000949	3.3079265585
v000479	3.3107624707
v000256	3.3108829881
v000739	3.3109319853
v000419	3.3138931314
v000438	3.3144307172
v000243	3.3152973175
v000292	3.3168321354
v000799	3.3293053801
v000317	3.3337853811
v000911	3.3373528829
v000804	3.3380688658
v000737	3.3402201073
v000575	3.3406645943
v000751	3.3426984101
v000335	3.351770227
v000795	3.352027853
v000396	3.3523058909
v000877	3.3526285086
v000939	3.3619779616
v000488	3.3640655815
v000473	3.3648829047
v000096	3.3696390223
v000175	3.3733538073
v000538	3.3744587645
v000953	3.3848829261
v000118	3.3874616513
v000593	3.391307326
v000050	3.3938846855
v000709	3.3956269803
v000535	3.4010264824
v000074	3.4017185393
v000034	3.4030440033
v000241	3.4155827731
v000855	3.4331673625
v000509	3.4384518808
v000128	3.4390731351
v000532	3.4473576185
v000842	3.4528433723
v000242	3.4535531318
v000353	3.454326821
v000143	3.4591970309
v000285	3.4624766529
v000889	3.4658922477
v000077	3.466568448
v000098	3.4723580401
v000343	3.4757356408
v000168	3.502830293
v000839	3.5041254371
v000598	3.5144230725
v000736	3.5189323261
v000272	3.5220070474
v000609	3.5255056477
v000802	3.5346902956
v000544	3.5388074258
v000049	3.5403511076
v000907	3.541602505
v000298	3.5574641826
v000590	3.5585592615
v000507	3.5703659979
v000037	3.5711307958
v000108	3.5835904727
v000042	3.5837858282
v000278	3.5917043601
v000881	3.5933340395
v000394	3.5953144611
v000069	3.6133832792
v000918	3.6169061689
v001015	3.6243351265
v000019	3.6383717297
v000444	3.6641348649
v000173	3.6782673338
v000572	3.7328664492
