Imagine	VB	imagine
if	IN	if
there	RB	there
existed	VBN	exist
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
who	WP	who
laugh	VBP	laugh
easily	RB	easily
,	,	,
could	MD	could
learn	VB	learn
faster	RBR	faster
than	IN	than
anyone	NN	anyone
in	IN	in
this	DT	this
room	NN	room
and	CC	and
who	WP	who
embrace	VBP	embrace
the	DT	the
uncertainty	NN	uncertainty
of	IN	of
life	NN	life
.	SENT	.
We	PP	we
might	MD	might
call	VB	call
them	PP	them
superhumans	NNS	superhuman
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
certainly	RB	certainly
study	VB	study
them	PP	them
,	,	,
celebrate	VB	celebrate
them	PP	them
,	,	,
we	PP	we
'	POS	'
d	NN	d
want	VBP	want
to	TO	to
be	VB	be
them	PP	them
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
this	DT	this
magical	JJ	magical
group	NN	group
of	IN	of
people	NNS	people
walk	VBP	walk
among	IN	among
us	PP	us
.	SENT	.
But	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
call	VBP	call
them	PP	them
superhumans	NNS	superhuman
.	SENT	.
We	PP	we
call	VBP	call
them	PP	them
teenagers	NNS	teenager
.	SENT	.
Teenagers	NNS	teenager
or	CC	or
adolescents	NNS	adolescent
or	CC	or
people	NNS	people
between	IN	between
the	DT	the
ages	NNS	age
of	IN	of
10	CD	@card@
to	TO	to
25	CD	@card@
.	SENT	.
And	CC	and
although	IN	although
this	DT	this
time	NN	time
in	IN	in
life	NN	life
has	VBZ	have
tended	VBN	tend
to	TO	to
get	VB	get
a	DT	a
bad	JJ	bad
rap	NN	rap
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
three	CD	three
things	NNS	thing
we	PP	we
could	MD	could
all	RB	all
learn	VB	learn
from	IN	from
this	DT	this
amazing	JJ	amazing
time	NN	time
in	IN	in
life	NN	life
.	SENT	.
You	PP	you
might	MD	might
ask	VB	ask
yourself	PP	yourself
,	,	,
how	WRB	how
does	VBZ	do
she	PP	she
know	VBP	know
so	RB	so
much	RB	much
about	IN	about
teenagers	NNS	teenager
?	SENT	?
Well	RB	well
,	,	,
besides	IN	besides
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
used	VBD	use
to	TO	to
be	VB	be
one	CD	one
and	CC	and
that	IN	that
I	NP	I
'	POS	'
m	NN	m
now	RB	now
the	DT	the
parent	NN	parent
of	IN	of
one	CD	one
,	,	,
I	PP	I
'	POS	'
m	NN	m
also	RB	also
a	DT	a
neuroscientist	NN	neuroscientist
who	WP	who
has	VBZ	have
spent	VBN	spend
the	DT	the
past	JJ	past
25	CD	@card@
years	NNS	year
doing	VBG	do
research	NN	research
on	IN	on
the	DT	the
adolescent	JJ	adolescent
brain	NN	brain
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
explosion	NN	explosion
of	IN	of
growth	NN	growth
during	IN	during
this	DT	this
time	NN	time
in	IN	in
life	NN	life
that	WDT	that
leads	VBZ	lead
to	TO	to
some	DT	some
pretty	JJ	pretty
amazing	JJ	amazing
superpowers	NNS	superpower
.	SENT	.
For	IN	for
example	NN	example
,	,	,
besides	IN	besides
when	WRB	when
we	PP	we
are	VBP	be
babies	NNS	baby
,	,	,
our	PP$	our
brains	NNS	brain
are	VBP	be
most	RBS	most
fertile	JJ	fertile
for	IN	for
learning	VBG	learn
during	IN	during
adolescence	NN	adolescence
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
necessary	JJ	necessary
for	IN	for
us	PP	us
to	TO	to
become	VB	become
adults	NNS	adult
.	SENT	.
So	RB	so
what	WP	what
can	MD	can
all	RB	all
of	IN	of
us	PP	us
in	IN	in
this	DT	this
room	NN	room
learn	VB	learn
from	IN	from
adolescents	NNS	adolescent
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
first	JJ	first
is	VBZ	be
they	PP	they
don	VBP	don
'	''	'
t	NN	t
shy	NN	shy
away	RB	away
from	IN	from
uncertainty	NN	uncertainty
.	SENT	.
Most	JJS	most
adults	NNS	adult
fear	VBP	fear
uncertainty	NN	uncertainty
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
like	IN	like
when	WRB	when
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
next	JJ	next
.	SENT	.
But	CC	but
teens	NNS	teen
,	,	,
they	PP	they
embrace	VBP	embrace
the	DT	the
surprises	NNS	surprise
in	IN	in
life	NN	life
,	,	,
whether	IN	whether
it	PP	it
'	''	'
s	VBG	<unknown>
their	PP$	their
first	JJ	first
job	NN	job
or	CC	or
they	PP	they
'	POS	'
re	NN	re
learning	VBG	learn
to	TO	to
drive	VB	drive
or	CC	or
their	PP$	their
first	JJ	first
kiss	NN	kiss
.	SENT	.
These	DT	these
things	NNS	thing
are	VBP	be
thrilling	VBG	thrill
because	IN	because
of	IN	of
the	DT	the
uncertainty	NN	uncertainty
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
the	DT	the
adolescent	JJ	adolescent
brain	NN	brain
doesn	NN	<unknown>
'	POS	'
t	NN	t
panic	NN	panic
when	WRB	when
things	NNS	thing
are	VBP	be
new	JJ	new
or	CC	or
unexpected	JJ	unexpected
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
it	PP	it
releases	VBZ	release
more	JJR	more
dopamine	NN	dopamine
in	IN	in
these	DT	these
moments	NNS	moment
.	SENT	.
You	PP	you
may	MD	may
know	VB	know
that	DT	that
dopamine	NN	dopamine
is	VBZ	be
a	DT	a
hormone	NN	hormone
that	IN	that
we	PP	we
release	VB	release
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
something	NN	something
we	PP	we
love	VBP	love
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
also	RB	also
a	DT	a
motivating	VBG	motivate
chemical	NN	chemical
that	WDT	that
literally	RB	literally
motivates	VBZ	motivate
adolescents	NNS	adolescent
to	TO	to
embrace	VB	embrace
the	DT	the
uncertainty	NN	uncertainty
and	CC	and
to	TO	to
see	VB	see
the	DT	the
surprises	NNS	surprise
in	IN	in
life	NN	life
as	IN	as
positive	JJ	positive
learning	NN	learning
opportunities	NNS	opportunity
.	SENT	.
And	CC	and
that	DT	that
attribute	NN	attribute
during	IN	during
adolescence	NN	adolescence
,	,	,
to	TO	to
lean	VB	lean
into	IN	into
the	DT	the
new	JJ	new
and	CC	and
unexpected	JJ	unexpected
aspects	NNS	aspect
of	IN	of
what	WP	what
comes	VBZ	come
at	IN	at
us	PP	us
,	,	,
is	VBZ	be
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
prepare	VB	prepare
for	IN	for
adulthood	NN	adulthood
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
lesson	NN	lesson
number	NN	number
one	CD	one
,	,	,
to	TO	to
lean	VB	lean
into	IN	into
uncertainty	NN	uncertainty
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
the	DT	the
second	JJ	second
thing	NN	thing
we	PP	we
could	MD	could
learn	VB	learn
from	IN	from
adolescents	NNS	adolescent
?	SENT	?
How	WRB	how
good	JJ	good
they	PP	they
are	VBP	be
at	IN	at
challenging	VBG	challenge
the	DT	the
status	NN	status
quo	NN	quo
and	CC	and
stirring	VBG	stir
things	NNS	thing
up	RP	up
.	SENT	.
These	DT	these
are	VBP	be
incredible	JJ	incredible
leadership	NN	leadership
qualities	NNS	quality
that	WDT	that
make	VBP	make
them	PP	them
visionary	JJ	visionary
emissaries	NNS	emissary
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
because	IN	because
their	PP$	their
brains	NNS	brain
are	VBP	be
designed	VBN	design
to	TO	to
respond	VB	respond
and	CC	and
embrace	VB	embrace
uncertainty	NN	uncertainty
,	,	,
they	PP	they
'	POS	'
re	NN	re
OK	RB	OK
rejecting	VBG	reject
what	WP	what
has	VBZ	have
been	VBN	be
in	IN	in
favor	NN	favor
of	IN	of
what	WP	what
could	MD	could
be	VB	be
.	SENT	.
And	CC	and
