Folks folk
. .
I i
wanted want
to to
talk talk
a a
little little
bit bit
today today
about about
some some
of of
the the
ideas idea
that that
are be
contained contain
in in
my my
new new
book book
, ,
" "
Soul soul
Boom boom
: :
Why why
We we
Need need
a a
Spiritual spiritual
Revolution revolution
. .
" "
But but
first first
things thing
first first
. .
I i
thought think
it it
would would
be be
really really
important important
to to
initially initially
define define
the the
word word
" "
spiritual spiritual
. .
" "
What what
do do
we we
mean mean
when when
we we
say say
the the
word word
" "
spiritual spiritual
? ?
" "
Because because
that that
means mean
a a
lot lot
of of
different different
things thing
to to
a a
lot lot
of of
different different
people people
. .
So so
when when
you you
' '
re re
talking talk
about about
a a
spiritual spiritual
revolution revolution
, ,
what what
exactly exactly
are be
we we
discussing discuss
, ,
how how
do do
we we
define define
our our
terms term
? ?
To to
a a
lot lot
of of
people people
, ,
" "
spiritual spiritual
" "
means means
ghosts ghost
and and
seances seance
and and
Ouija ouija
boards board
. .
That that
' '
s s
certainly certainly
not not
what what
I i
' '
m m
talking talk
about about
. .
To to
many many
people people
, ,
" "
spirituality spirituality
" "
or or
" "
spiritual spiritual
" "
refers refer
to to
a a
kind kind
of of
, ,
what what
I i
would would
call call
a a
vague vague
feeling feeling
in in
the the
heart heart
while while
at at
a a
yoga yoga
class class
or or
meditating meditate
or or
a a
crystal crystal
or or
incense incense
or or
something something
like like
that that
. .
That that
' '
s s
also also
not not
what what
I i
' '
m m
talking talk
about about
. .
I i
don don
' '
t t
mean mean
to to
insult insult
that that
spiritual spiritual
path path
in in
the the
slightest slight
. .
I i
think think
it it
' '
s s
incredibly incredibly
important important
. .
More more
on on
that that
later later
. .
And and
to to
some some
people people
, ,
the the
word word
" "
spiritual spiritual
" "
is be
synonymous synonymous
with with
religious religious
and and
religion religion
, ,
and and
" "
spiritual spiritual
" "
simply simply
means mean
church church
on on
Sundays sunday
at at
11 @card@
am am
. .
That that
' '
s s
also also
not not
what what
I i
' '
m m
talking talk
about about
. .
I i
' '
m m
going go
to to
go go
right right
to to
the the
source source
, ,
I i
' '
ll ll
go go
to to
the the
Oxford oxford
Dictionary dictionary
. .
And and
spirituality spirituality
is be
the the
" "
quality quality
of of
being be
concerned concern
with with
the the
human human
spirit spirit
. .
" "
And and
in in
the the
Cambridge cambridge
Dictionary dictionary
, ,
it it
' '
s s
" "
the the
quality quality
that that
involves involve
deep deep
feelings feeling
and and
beliefs belief
of of
a a
religious religious
nature nature
rather rather
than than
the the
physical physical
parts part
of of
life life
. .
" "
So so
those those
are be
two two
pretty pretty
great great
definitions definition
. .
And and
right right
there there
, ,
smack smack
dab dab
in in
the the
middle middle
is be
what what
I i
' '
m m
talking talk
about about
when when
I i
say say
that that
we we
need need
a a
spiritual spiritual
revolution revolution
. .
So so
to to
tiptoe tiptoe
toward toward
some some
of of
these these
larger large
ideas idea
, ,
I i
need need
to to
go go
back back
in in
time time
. .
I i
' '
m m
throwing throw
myself myself
way way
back back
to to
my my
childhood childhood
in in
the the
1970s 1970s
, ,
and and
one one
of of
the the
most most
important important
words word
from from
the the
1970s 1970s
is be
television television
. .
I i
was be
raised raise
by by
a a
television television
, ,
folks folk
, ,
like like
so so
many many
of of
us us
here here
in in
the the
United united
States states
, ,
and and
two two
of of
my my
favorite favorite
shows show
from from
the the
1970s 1970s
kind kind
of of
reveal reveal
what what
a a
spiritual spiritual
path path
is be
. .
These these
two two
shows show
are be
" "
Kung kung
Fu fu
" "
and and
" "
Star star
Trek trek
. .
" "
So so
I i
' '
m m
going go
to to
start start
with with
" "
Kung kung
Fu fu
. .
" "
" "
Kung kung
Fu fu
, ,
" "
for for
those those
who who
don don
' '
t t
know know
, ,
is be
about about
Kwai kwai
Chang chang
Caine caine
, ,
and and
he he
is be
a a
half-Chinese half-chinese
Shaolin shaolin
monk monk
, ,
practicing practice
in in
China china
, ,
learning learn
not not
only only
martial martial
arts art
but but
Daoist daoist
wisdom wisdom
, ,
Confucianism confucianism
and and
Buddhist buddhist
ideas idea
of of
wisdom wisdom
and and
self-reflection self-reflection
. .
He he
is be
then then
sent send
out out
of of
the the
monastery monastery
, ,
and and
he he
goes go
to to
the the
Old old
West west
. .
This this
is be
set set
during during
the the
1860s 1860s
, ,
and and
he he
is be
wandering wander
through through
the the
West west
and and
encountering encounter
all all
kinds kind
of of
