Chris chris
Anderson anderson
: :
So so
Tom tom
, ,
your your
company company
became become
prominent prominent
on on
the the
internet internet
with with
the the
release release
of of
a a
fake fake
Tom tom
Cruise cruise
video video
, ,
DeepTomCruise deeptomcruise
, ,
that that
I i
think think
attracted attract
like like
, ,
a a
billion billion
views view
on on
TikTok tiktok
and and
Instagram instagram
. .
Which which
leads lead
me me
to to
my my
first first
question question
, ,
which which
is be
, ,
please please
, ,
can can
we we
, ,
at at
TED ted
, ,
have have
our our
own own
Tom tom
Cruise cruise
video video
, ,
please please
? ?
Tom tom
Graham graham
: :
You you
know know
, ,
I i
thought think
you you
might might
ask ask
. .
So so
a a
little little
earlier earlier
, ,
we we
had have
a a
crack crack
. .
Maybe maybe
we we
' '
ll ll
have have
a a
look look
. .
CA ca
: :
Let let
' '
s s
have have
a a
look look
. .
DeepTomCruise deeptomcruise
: :
What what
' '
s s
up up
, ,
internet internet
? ?
I i
' '
m m
north north
of of
the the
border border
, ,
eh eh
? ?
At at
the the
TED ted
conference conference
. .
It it
' '
s s
not not
short short
for for
Theodore theodore
, ,
but but
nobody nobody
calls call
me me
Thomas thomas
, ,
so so
it it
' '
s s
cool cool
. .
It it
' '
s s
Tom tom
at at
TED ted
. .
Yes yes
I i
. .
. .
. .
Canada canada
. .
Seriously seriously
, ,
though though
, ,
everybody everybody
here here
, ,
very very
nice nice
, ,
very very
polite polite
. .
Especially especially
the the
whales whale
. .
CA ca
: :
I i
mean mean
, ,
how how
did do
you you
do do
that that
? ?
TG tg
: :
So so
really really
at at
Metaphysic metaphysic
, ,
we we
specialize specialize
in in
creating create
artificially artificially
generated generate
content content
that that
looks look
and and
feels feel
exactly exactly
like like
reality reality
. .
So so
we we
take take
kind kind
of of
real-world real-world
data datum
, ,
we we
train train
these these
neural neural
nets net
, ,
and and
it it
can can
, ,
more more
accurately accurately
than than
VFX vfx
or or
CGI cgi
, ,
really really
create create
this this
content content
that that
looks look
and and
feels feel
so so
natural natural
. .
And and
so so
that that
is be
a a
great great
example example
of of
the the
AI ai
being be
kind kind
of of
prompted prompt
by by
the the
natural natural
performance performance
of of
a a
person person
and and
kind kind
of of
, ,
the the
face face
goes go
on on
top top
. .
CA ca
: :
And and
it it
helps help
, ,
the the
fact fact
that that
your your
co-founder co-founder
is be
