Chris chris
, ,
you you
know know
, ,
he he
' '
s s
a a
pretty pretty
good good
Tom tom
Cruise cruise
impersonator impersonator
. .
TG tg
: :
Indeed indeed
, ,
Miles miles
Fisher fisher
is be
of of
a a
foremost foremost
Tom-Cruise- tom-cruise-
but-not-Tom but-not-tom
Cruise cruise
, ,
yeah yeah
. .
CA ca
: :
I i
think think
you you
have have
another another
example example
as as
well well
. .
Can can
we we
see see
that that
one one
? ?
TG tg
: :
Yes yes
, ,
absolutely absolutely
. .
Going go
kind kind
of of
beyond beyond
faces face
now now
, ,
talking talk
about about
voice voice
. .
[ [
Original original
Spanish spanish
vocal vocal
performance performance
] ]
[ [
Audio-to-face audio-to-face
synchronization synchronization
] ]
[ [
AI-generated ai-generated
vocal vocal
and and
visual visual
performance performance
] ]
CA ca
: :
Tell tell
us us
what what
' '
s s
happening happen
there there
. .
TG tg
: :
So so
what what
you you
see see
there there
is be
really really
the the
singing sing
voice voice
of of
a a
lady lady
singing sing
Spanish spanish
and and
Aloe aloe
Blacc blacc
, ,
who who
sings sing
" "
Wake wake
Me me
Up up
, ,
" "
the the
Avicii avicii
song song
that that
he he
wrote write
with with
Avicii avicii
. .
We we
are be
transporting transport
her her
voice voice
across across
to to
his his
face face
so so
he he
doesn doesn
' '
t t
sing sing
in in
Spanish spanish
. .
And and
then then
suddenly suddenly
we we
transported transport
again again
her her
voice voice
into into
his his
voice voice
. .
So so
anybody anybody
in in
the the
future future
will will
be be
able able
to to
speak speak
any any
language language
. .
It it
' '
ll ll
look look
perfectly perfectly
natural natural
. .
And and
this this
content content
is be
becoming become
more more
and and
more more
easy easy
to to
create create
, ,
and and
eventually eventually
it it
will will
end end
up up
with with
a a
scale scale
where where
we we
will will
all all
be be
kind kind
of of
, ,
main main
characters character
in in
our our
own own
content content
on on
the the
internet internet
. .
CA ca
: :
OK ok
. .
Before before
we we
dig dig
into into
that that
just just
a a
bit bit
, ,
I i
mean mean
, ,
you you
' '
ve ve
shown show
us us
recorded record
video video
there there
. .
Rumor rumor
has have
it it
you you
can can
also also
do do
this this
with with
live live
video video
. .
Can can
that that
be be
right right
? ?
TG tg
: :
Yes yes
, ,
we we
can can
do do
it it
live live
real-time real-time
. .
And and
this this
is be
like like
, ,
really really
at at
the the
cutting cut
edge edge
of of
what what
we we
can can
do do
today today
, ,
moving move
from from
offline offline
processing process
to to
where where
processing process
it it
so so
fast fast
that that
you you
can can
do do
it it
in in
real-time real-time
. .
CA ca
: :
Well well
I i
' '
m m
going go
to to
challenge challenge
you you
and and
your your
team team
to to
do do
a a
bit bit
of of
a a
first first
here here
. .
There there
' '
s s
video video
of of
you you
right right
up up
on on
that that
screen screen
. .
Show show
us us
something something
surprising surprise
you you
can can
-- --
Oh oh
, ,
my my
gosh gosh
. .
TG tg
: :
So so
there there
we we
go go
. .
This this
is be
, ,
you you
know know
, ,
a a
live live
, ,
real-time real-time
model model
of of
Chris chris
on on
top top
of of
me me
, ,
running run
in in
real-time real-time
. .
CA ca
: :
And and
next next
, ,
you you
' '
ll ll
tell tell
me me
that that
it it
can can
. .
. .
. .
Oh oh
, ,
Lord lord
. .
I i
am be
so so
uncomfortable uncomfortable
with with
this this
. .
I i
am be
so so
uncomfortable uncomfortable
. .
Can can
it it
do do
voice voice
as as
well well
? ?
TG tg
: :
Um um
. .
We we
think think
it it
can can
, ,
we we
' '
re re
really really
pushing push
the the
limits limit
of of
AI ai
technology technology
now now
. .
And and
I i
' '
m m
talking talk
exactly exactly
as as
I i
would would
as as
Thomas thomas
Graham graham
, ,
but but
it it
' '
s s
coming come
out out
is be
the the
one one
and and
only only
of of
Chris chris
Anderson anderson
. .
CA ca
: :
I i
' '
m m
deeply deeply
sorry sorry
everyone everyone
to to
subject subject
you you
to to
this this
. .
You you
know know
, ,
there there
' '
s s
something something
possibly possibly
even even
worse bad
. .
So so
to to
come come
clean clean
on on
this this
, ,
they they
took take
some some
shots shot
of of
me me
a a
couple couple
of of
weeks week
ago ago
doing do
different different
facial facial
expressions expression
, ,
so so
they they
captured capture
a a
video video
model model
. .
And and
it it
turns turn
out out
, ,
I i
discovered discover
this this
week week
, ,
that that
they they
can can
apply apply
that that
, ,
not not
just just
to to
Tom tom
, ,
but but
to to
anyone anyone
. .
And and
so so
, ,
my my
dear dear
friend friend
Sunny sunny
Bates bates
is be
here here
in in
the the
front front
row row
. .
Sunny sunny
, ,
do do
you you
consent consent
to to
channel channel
inner inner
me me
for for
a a
minute minute
? ?
Can can
we we
try try
that that
? ?
I i
' '
m m
really really
worried worry
about about
this this
. .
Do do
we we
have have
Sunny sunny
on on
screen screen
? ?
Oh oh
, ,
there there
' '
s s
Sunny sunny
. .
Oh oh
, ,
no no
, ,
oh oh
, ,
no no
. .
Oh oh
, ,
no no
. .
TG tg
: :
Chris chris
, ,
you you
look look
amazing amazing
. .
CA ca
: :
All all
right right
, ,
enough enough
of of
that that
, ,
cut cut
that that
right right
now now
. .
More more
, ,
more more
! !
TG tg
: :
Yes yes
, ,
more more
, ,
more more
of of
this this
. .
CA ca
: :
Tom tom
, ,
Tom tom
, ,
Sunny sunny
Bates bates
is be
the the
woman woman
who who
introduced introduce
me me
to to
TED ted
. .
Without without
Sunny sunny
Bates bates
, ,
none none
of of
us us
would would
actually actually
be be
here here
now now
. .
And and
we we
reward reward
her her
with with
this this
? ?
TG tg
: :
And and
now now
you you
' '
ve ve
finally finally
become become
the the
master master
, ,
you you
know know
? ?
CA ca
: :
Oh oh
, ,
so so
look look
. .
OK ok
, ,
amazing amazing
. .
It it
obviously obviously
occurs occur
to to
everyone everyone
in in
this this
room room
that that
there there
are be
some some
things thing
that that
can can
go go
horribly horribly
wrong wrong
with with
this this
. .
And and
, ,
you you
know know
, ,
we we
' '
ve ve
already already
seen see
examples example
online online
of of
, ,
you you
know know
, ,
we we
' '
ve ve
had have
photographs photograph
of of
Trump trump
being be
arrested arrest
that that
were be
unreal unreal
, ,
there there
could could
be be
video video
of of
it it
. .
There there
' '
s s
pornography pornography
that that
can can
use use
the the
faces face
of of
celebrities celebrity
. .
All all
these these
things thing
that that
we we
' '
ve ve
seen see
, ,
deepfake deepfake
. .
How how
do do
you you
feel feel
about about
the the
downside downside
of of
this this
technology technology
? ?
TG tg
: :
So so
personally personally
, ,
you you
know know
, ,
we we
build build
this this
stuff stuff
and and
I i
' '
m m
worried worry
, ,
right right
? ?
Worried worried
is be
the the
right right
instinct instinct
for for
everybody everybody
to to
have have
. .
And and
then then
beyond beyond
that that
, ,
think think
about about
, ,
you you
know know
, ,
what what
can can
we we
do do
to to
prepare prepare
ourselves ourselves
? ?
How how
can can
we we
try try
to to
impact impact
the the
future future
as as
it it
spirals spiral
in in
this this
direction direction
, ,
where where
as as
individuals individual
, ,
it it
' '
s s
going go
to to
be be
kind kind
of of
difficult difficult
to to
understand understand
what what
' '
s s
computer-generated computer-generated
and and
what what
' '
s s
real real
. .
And and
so so
there there
are be
things thing
that that
we we
can can
do do
there there
. .
Raising raise
public public
awareness awareness
of of
manipulated manipulate
media medium
. .
That that
' '
s s
one one
, ,
you you
know know
, ,
this this
is be
a a
great great
forum forum
for for
that that
. .
CA ca
: :
Will will
you you
claim claim
to to
me me
that that
if if
you you
were be
to to
shut shut
down down
your your
company company
right right
now now
, ,
it it
wouldn wouldn
' '
t t
stop stop
the the
problem problem
of of
deepfake deepfake
videos video
because because
the the
technology technology
' '
s s
out out
there there
, ,
that that
that that
' '
s s
going go
to to
happen happen
anyway anyway
, ,
that that
that that
' '
s s
not not
within within
your your
control control
? ?
TG tg
: :
Yes yes
. .
We we
' '
re re
talking talk
about about
content content
that that
is be
so so
compelling compelling
. .
If if
we we
put put
any any
of of
ourselves ourselves
inside inside
content content
and and
maybe maybe
it it
is be
talking talk
to to
our our
loved love
ones one
or or
just just
talking talk
to to
our our
friends friend
on on
the the
beach beach
and and
it it
' '
s s
so so
realistic realistic
, ,
it it
looks look
real real
, ,
it it
' '
s s
so so
compelling compelling
, ,
everybody everybody
is be
trying try
to to
create create
this this
content content
today today
. .
All all
of of
the the
GPUs gpus
in in
the the
universe universe
are be
driving drive
at at
trying try
to to
create create
this this
. .
So so
it it
doesn doesn
' '
t t
matter matter
what what
any any
one one
person person
does do
. .
This this
will will
happen happen
and and
it it
' '
s s
happening happen
very very
, ,
very very
quickly quickly
. .
CA ca
: :
So so
, ,
I i
mean mean
, ,
we we
' '
ll ll
talk talk
about about
the the
upside upside
in in
a a
second second
. .
But but
it it
seems seem
like like
we we
are be
going go
to to
have have
to to
get get
used use
to to
a a
world world
where where
we we
and and
our our
children child
will will
no no
longer longer
be be
able able
to to
trust trust
the the
evidence evidence
of of
our our
eyes eye
. .
TG tg
: :
I i
think think
so so
. .
We we
are be
going go
to to
have have
to to
understand understand
a a
new new
set set
of of
institutions institution
to to
verify verify
what what
is be
authentic authentic
media medium
. .
But but
then then
we we
can can
begin begin
to to
lean lean
into into
some some
of of
the the
creative creative
things thing
that that
happen happen
from from
it it
. .
And and
there there
are be
benefits benefit
that that
come come
with with
that that
too too
. .
So so
it it
' '
ll ll
be be
an an
accommodation accommodation
. .
CA ca
: :
So so
talk talk
a a
bit bit
about about
the the
benefits benefit
. .
I i
mean mean
, ,
obviously obviously
, ,
on on
the the
entertainment entertainment
side side
, ,
there there
' '
s s
an an
amazing amazing
number number
of of
possibilities possibility
. .
You you
have have
Tom tom
Cruise cruise
, ,
we we
can can
have have
[ [
" "
Mission mission
: :
Impossible impossible
] ]
273 @card@
" "
in in
the the
year year
2150 @card@
, ,
right right
? ?
Like like
, ,
you you
will will
be be
with with
us us
forever forever
. .
TG tg
: :
We we
' '
re re
working work
on on
number number
75 @card@
, ,
001 @card@
right right
now now
, ,
yeah yeah
. .
CA ca
: :
I i
guess guess
that that
is be
kind kind
of of
amazing amazing
. .
Like like
, ,
we we
love love
lots lot
of of
people people
in in
the the
world world
, ,
and and
we we
want want
the the
possibility possibility
that that
, ,
with with
their their
permission permission
, ,
we we
can can
do do
more more
with with
them them
. .
Talk talk
about about
some some
other other
possible possible
upsides upside
. .
TG tg
: :
What what
we we
' '
ve ve
seen see
in in
kind kind
of of
building build
this this
content content
and and
watching watch
people people
interact interact
with with
it it
, ,
especially especially
if if
they they
' '
re re
kind kind
of of
, ,
interacting interact
with with
themselves themselves
, ,
maybe maybe
it it
' '
s s
their their
younger young
20-year-old 20-year-old
self self
or or
maybe maybe
they they
' '
re re
interacting interact
with with
their their
partner partner
, ,
but but
the the
young young
version version
of of
their their
partner partner
, ,
there there
' '
s s
this this
tremendous tremendous
emotional emotional
connection connection
that that
comes come
from from
the the
very very
, ,
very very
photorealistic photorealistic
beyond beyond
the the
uncanny uncanny
kind kind
of of
content content
. .
And and
so so
if if
we we
can can
start start
deploying deploy
that that
among among
regular regular
people people
, ,
if if
we we
can can
scale scale
it it
up up
so so
that that
it it
works work
for for
any any
kind kind
of of
person person
, ,
then then
we we
can can
begin begin
to to
kind kind
of of
, ,
you you
know know
, ,
have have
more more
interesting interesting
, ,
meaningful meaningful
, ,
human human
kind kind
of of
interactions interaction
and and
relationships relationship
online online
. .
And and
since since
the the
pandemic pandemic
, ,
we we
all all
spend spend
more more
time time
online online
. .
But but
it it
' '
s s
chat chat
and and
it it
' '
s s
email email
. .
If if
we we
could could
get get
more more
human human
emotion emotion
, ,
more more
feeling feeling
, ,
there there
' '
s s
a a
lot lot
that that
we we
can can
do do
with with
that that
, ,
right right
? ?
And and
so so
, ,
education education
is be
a a
good good
example example
. .
We we
could could
have have
an an
inspiring inspiring
teacher teacher
in in
thousands thousand
of of
classrooms classroom
around around
the the
world world
, ,
speaking speak
every every
language language
in in
the the
world world
at at
the the
same same
time time
, ,
and and
students student
could could
interact interact
with with
each each
other other
in in
a a
way way
that that
goes go
beyond beyond
Zoom zoom
. .
There there
can can
be be
real real
cultural cultural
exchange exchange
, ,
real real
socialization socialization
. .
There there
' '
s s
a a
lot lot
that that
we we
can can
do do
beyond beyond
here here
. .
CA ca
: :
So so
that that
teacher teacher
example example
is be
powerful powerful
to to
me me
, ,
like like
, ,
the the
fact fact
that that
a a
single single
teacher teacher
could could
turn turn
a a
written written
lesson lesson
into into
video video
in in
any any
number number
of of
languages language
and and
extend extend
indefinitely indefinitely
. .
That that
seems seem
like like
a a
real real
amplification amplification
potentially potentially
of of
good good
human human
intent intent
. .
I i
' '
m m
excited excite
by by
that that
. .
I i
still still
don don
' '
t t
get get
the the
family family
side side
of of
it it
. .
Like like
, ,
if if
you you
want want
to to
have have
a a
human human
connection connection
with with
someone someone
in in
your your
family family
, ,
like like
, ,
won win
' '
t t
people people
just just
be be
creeped creeped
out out
by by
, ,
" "
Oh oh
my my
God god
, ,
I i
was be
just just
looking look
at at
your your
avatar avatar
, ,
I i
thought think
it it
was be
you you
. .
" "
You you
know know
, ,
like like
, ,
isn isn
' '
t t
that that
just just
creepy creepy
? ?
TG tg
: :
I i
think think
there there
' '
s s
definitely definitely
a a
creepy creepy
element element
to to
this this
, ,
right right
? ?
And and
then then
you you
go go
beyond beyond
that that
and and
the the
creepiness creepiness
drops drop
away away
and and
the the
medium medium
drops drop
away away
, ,
and and
it it
' '
s s
the the
content content
and and
the the
connection connection
that that
' '
s s
there there
. .
So so
, ,
you you
know know
, ,
I i
imagine imagine
that that
, ,
you you
know know
, ,
if if
I i
collect collect
data datum
from from
my my
grandparents grandparent
who who
are be
very very
old old
today today
, ,
then then
in in
the the
future future
I i
' '
ll ll
be be
able able
to to
relive relive
experiences experience
with with
them them
and and
communicate communicate
with with
them them
. .
And and
that that
, ,
it it
' '
s s
not not
going go
to to
be be
any any
good good
for for
them them
, ,
right right
? ?
They they
' '
re re
probably probably
going go
to to
have have
passed pass
on on
, ,
but but
for for
me me
, ,
it it
' '
ll ll
help help
me me
process process
who who
I i
am be
, ,
my my
relationship relationship
with with
them them
. .
That that
idea idea
of of
kind kind
of of
, ,
decoupling decoupling
human human
experience experience
, ,
both both
from from
where where
it it
happens happen
and and
the the
moment moment
in in
time time
that that
it it
happens happen
, ,
I i
think think
that that
we we
can can
create create
these these
experiences experience
through through
hyperreal hyperreal
, ,
photorealistic photorealistic
media medium
that that
allow allow
us us
to to
share share
the the
best good
of of
our our
experiences experience
, ,
the the
best good
of of
who who
we we
are be
. .
CA ca
: :
I i
' '
m m
going go
to to
be be
very very
curious curious
to to
see see
who who
can can
feel feel
that that
right right
now now
. .
My my
guess guess
is be
that that
there there
' '
s s
going go
to to
have have
to to
be be
lots lot
of of
experiments experiment
and and
a a
lot lot
of of
things thing
that that
are be
going go
to to
creep creep
us us
out out
. .
And and
maybe maybe
we we
' '
ll ll
find find
some some
things thing
that that
are be
just just
absolutely absolutely
incredible incredible
. .
But but
I i
have have
an an
important important
question question
for for
you you
, ,
which which
is be
how how
the the
hell hell
do do
I i
control control
me me
now now
? ?
You you
' '
ve ve
got get
me me
on on
video video
. .
What what
' '
s s
to to
stop stop
me me
being be
misused misuse
across across
the the
internet internet
now now
? ?
TG tg
: :
That that
' '
s s
right right
. .
I i
think think
that that
, ,
as as
we we
kind kind
of of
, ,
allow allow
companies company
to to
create create
these these
realistic realistic
experiences experience
, ,
as as
individuals individual
, ,
we we
need need
to to
be be
empowered empower
to to
own own
our our
real-world real-world
data datum
, ,
the the
data datum
used use
to to
train train
the the
algorithms algorithm
, ,
and and
we we
need need
to to
control control
how how
our our
photorealistic photorealistic
avatars avatar
are be
created create
and and
where where
they they
' '
re re
used use
. .
So so
to to
this this
extent extent
, ,
I i
was be
looking look
at at
kind kind
of of
conventional conventional
, ,
current current
legal legal
institutions institution
to to
see see
what what
we we
could could
do do
to to
create create
new new
rights right
. .
So so
I i
created create
a a
photorealistic photorealistic
avatar avatar
of of
myself myself
, ,
submitted submit
it it
to to
the the
US us
Copyright copyright
Office office
to to
see see
if if
they they
would would
register register
my my
copyright copyright
in in
it it
, ,
and and
this this
is be
what what
the the
video video
looked look
like like
. .
TG tg
: :
Here here
is be
the the
AI ai
, ,
realistic realistic
version version
of of
myself myself
. .
Even even
if if
the the
appearance appearance
of of
this this
AI ai
representation representation
of of
myself myself
may may
change change
cosmetically cosmetically
, ,
or or
if if
I i
change change
my my
hair hair
or or
add add
creative creative
features feature
, ,
my my
intention intention
is be
to to
create create
this this
AI ai
version version
of of
myself myself
that that
embodies embody
the the
essence essence
of of
who who
I i
am be
as as
a a
person person
under under
any any
circumstance circumstance
. .
CA ca
: :
Wow wow
. .
So so
I i
think think
you you
have have
shown show
us us
what what
is be
going go
to to
be be
a a
repeated repeated
theme theme
in in
this this
conference conference
, ,
which which
is be
that that
future future
is be
going go
to to
be be
weird weird
and and
wonderful wonderful
at at
the the
same same
time time
. .
Quite quite
what what
the the
balance balance
is be
between between
those those
two two
, ,
TBD tbd
. .
But but
this this
is be
a a
world world
where where
each each
of of
us us
is be
going go
to to
have have
to to
think think
differently differently
about about
who who
we we
are be
and and
claim claim
these these
rights right
. .
What what
you you
' '
re re
saying saying
is be
that that
if if
people people
have have
this this
right right
, ,
you you
can can
picture picture
a a
world world
where where
, ,
for for
example example
, ,
if if
a a
video video
goes go
viral viral
on on
YouTube youtube
without without
your your
consent consent
, ,
you you
' '
ll ll
be be
able able
to to
take take
it it
down down
because because
of of
some some
link link
back back
to to
this this
. .
TG tg
: :
That that
' '
s s
right right
. .
I i
think think
the the
most most
important important
thing thing
that that
we we
can can
do do
when when
we we
' '
re re
talking talk
about about
data datum
from from
a a
real real
world world
being be
able able
to to
power power
these these
things thing
is be
that that
we we
need need
to to
own own
property property
rights right
over over
the the
data datum
. .
We we
shouldn shouldn
' '
t t
sign sign
it it
over over
to to
companies company
through through
terms term
of of
service service
, ,
we we
shouldn shouldn
' '
t t
give give
it it
away away
. .
If if
you you
fundamentally fundamentally
own own
it it
, ,
then then
you you
can can
be be
in in
control control
. .
And and
you you
' '
re re
at at
the the
ground ground
level level
of of
all all
of of
the the
economies economy
and and
all all
of of
the the
use use
cases case
, ,
that that
are be
going go
to to
spin spin
up up
through through
history history
. .
It it
' '
s s
a a
lot lot
, ,
but but
we we
' '
re re
on on
the the
way way
now now
. .
CA ca
: :
Tom tom
Graham graham
, ,
thank thank
you you
so so
much much
for for
sharing share
this this
technology technology
at at
TED ted
. .
And and
Sunny sunny
Bates bates
, ,
I i
' '
m m
so so
sorry sorry
. .
