Meet meet
Elizabeth elizabeth
Ann ann
. .
She she
' '
s s
a a
black-footed black-footed
ferret ferret
, ,
America america
' '
s s
most most
endangered endangered
animal animal
. .
She she
was be
cloned clon
using use
cells cell
from from
a a
ferret ferret
that that
lived live
33 @card@
years year
ago ago
. .
Elizabeth elizabeth
Ann ann
is be
a a
new new
hope hope
for for
the the
future future
of of
her her
species specie
, ,
a a
chance chance
to to
actually actually
restore restore
lost lose
genetic genetic
diversity diversity
. .
She she
was be
born bear
for for
this this
intended intended
consequence consequence
. .
I i
' '
ve ve
been be
working work
in in
conservation conservation
for for
the the
last last
10 @card@
years year
with with
innovative innovative
scientists scientist
from from
around around
the the
world world
to to
bring bring
biotechnology biotechnology
to to
wildlife wildlife
conservation conservation
. .
We we
need need
to to
solve solve
the the
escalating escalate
threats threat
to to
biodiversity biodiversity
from from
climate climate
change change
, ,
habitat habitat
loss loss
, ,
fragmented fragmented
populations population
and and
wildlife wildlife
diseases disease
. .
These these
are be
the the
unintended unintended
consequences consequence
of of
the the
human-dominated human-dominated
time time
we we
live live
in in
. .
A a
time time
when when
we we
need need
new new
tools tool
for for
the the
conservation conservation
toolbox toolbox
and and
with with
genetic genetic
rescue rescue
, ,
we we
can can
actually actually
help help
stop stop
more more
species specie
from from
crossing cross
the the
line line
into into
extinction extinction
. .
And and
the the
black-footed black-footed
ferret ferret
is be
a a
great great
example example
. .
The the
black black
footed-ferret footed-ferret
historically historically
ranged range
all all
across across
the the
Great great
Plains plains
of of
North north
America america
, ,
from from
Canada canada
to to
Mexico mexico
. .
That that
is be
, ,
until until
their their
habitat habitat
was be
converted convert
to to
ranches ranch
and and
farmland farmland
. .
By by
1981 @card@
, ,
there there
was be
only only
one one
colony colony
of of
ferrets ferret
living live
in in
Wyoming wyoming
. .
They they
were be
brought bring
into into
captivity captivity
, ,
and and
the the
US us
Fish fish
and and
Wildlife wildlife
Service service
has have
successfully successfully
been be
breeding breed
and and
releasing release
these these
individuals individual
back back
into into
the the
wild wild
for for
the the
last last
30 @card@
years year
. .
But but
all all
600 @card@
living living
ferrets ferret
today today
are be
the the
descendants descendant
of of
just just
seven seven
ancestors ancestor
. .
And and
with with
inbreeding inbreeding
that that
jeopardizes jeopardize
their their
long-term long-term
survival survival
in in
the the
wild wild
. .
To to
solve solve
this this
challenge challenge
of of
a a
lack lack
of of
genetic genetic
variation variation
, ,
we we
reached reach
back back
in in
time time
. .
Luckily luckily
, ,
scientists scientist
had have
the the
foresight foresight
. .
Starting start
in in
1975 @card@
, ,
Dr dr
. .
Oliver oliver
Ryder ryder
and and
his his
team team
at at
the the
San san
Diego diego
Zoo zoo
started start
banking bank
endangered endangered
species specie
, ,
and and
it it
was be
with with
one one
of of
these these
cell cell
lines line
that that
we we
were be
able able
to to
actually actually
bring bring
in in
a a
new new
individual individual
who who
lived live
33 @card@
years year
ago ago
, ,
who who
had have
unique unique
genetic genetic
variation variation
. .
Elizabeth elizabeth
Ann ann
is be
a a
result result
of of
that that
cloning clon
. .
She she
has have
three three
times time
more more
genetic genetic
variation variation
than than
any any
living live
ferret ferret
today today
. .
And and
when when
she she
breeds breed
in in
the the
next next
couple couple
of of
years year
, ,
her her
offspring offspring
will will
help help
create create
greater great
resilience resilience
for for
her her
species specie
. .
Now now
Elizabeth elizabeth
Ann ann
isn isn
' '
t t
the the
only only
time time
that that
we we
' '
ve ve
done do
cloning clon
. .
We we
' '
ve ve
worked work
with with
the the
Przewalski przewalski
' '
s s
horses horse
. .
These these
are be
the the
only only
true true
species specie
of of
wild wild
horse horse
remaining remain
in in
the the
world world
. .
Historically historically
, ,
they they
were be
native native
to to
Central central
Asia asia
, ,
but but
they they
roamed roam
all all
the the
way way
from from
the the
Pacific pacific
to to
the the
Atlantic atlantic
Ocean ocean
for for
centuries century
. .
Until until
they they
were be
basically basically
extinct extinct
in in
the the
wild wild
, ,
with with
only only
several several
horses horse
left leave
in in
captivity captivity
. .
Conservationists conservationist
have have
reintroduced reintroduce
some some
of of
those those
horses horse
since since
1960 @card@
, ,
back back
into into
the the
wild wild
. .
But but
all all
2 @card@
, ,
000 @card@
horses horse
all all
living living
today today
are be
again again
at at
risk risk
of of
inbreeding inbreeding
. .
And and
many many
scientists scientist
refer refer
to to
this this
challenge challenge
as as
the the
extinction extinction
vortex vortex
, ,
when when
small small
, ,
fragmented fragmented
populations population
lose lose
genetic genetic
variation variation
and and
become become
at at
risk risk
for for
the the
vortex vortex
of of
extinction extinction
as as
their their
populations population
dwindle dwindle
. .
Now now
, ,
with with
genetic genetic
rescue rescue
, ,
we we
can can
reverse reverse
this this
extinction extinction
vortex vortex
by by
bringing bring
a a
new new
genetic genetic
variation variation
and and
increasing increase
the the
long-term long-term
survival survival
of of
these these
populations population
. .
And and
that that
' '
s s
exactly exactly
what what
we we
did do
with with
this this
Przewalski przewalski
' '
s s
foal foal
named name
