Meet meet
Kurt kurt
. .
That that
' '
s s
actually actually
his his
surrogate surrogate
mother mother
to to
the the
right right
. .
She she
' '
s s
an an
American american
Quarter quarter
Horse horse
, ,
a a
different different
species species
. .
But but
Kurt kurt
' '
s s
genome genome
is be
all all
wild wild
horse horse
. .
Now now
, ,
here here
' '
s s
Kurt kurt
, ,
exactly exactly
one one
year year
later later
, ,
this this
August august
. .
He he
' '
s s
a a
wild wild
, ,
healthy healthy
, ,
vibrant vibrant
Przewalski przewalski
' '
s s
horse horse
. .
Now now
, ,
these these
genetic genetic
rescue rescue
stories story
could could
not not
have have
happened happen
without without
the the
collaboration collaboration
of of
multiple multiple
partners partner
and and
the the
tools tool
of of
biotechnology biotechnology
. .
Fundamental fundamental
to to
all all
of of
this this
is be
the the
most most
essential essential
tool tool
, ,
is be
genomic genomic
sequencing sequencing
and and
the the
power power
of of
bringing bring
that that
information information
into into
the the
light light
to to
help help
the the
management management
of of
these these
species species
. .
In in
addition addition
, ,
the the
bio bio
banking banking
, ,
the the
cell cell
culturing culture
and and
the the
in in
vitro vitro
technologies technology
have have
made make
this this
kind kind
of of
genetic genetic
rescue rescue
possible possible
. .
But but
even even
these these
technologies technology
are be
not not
widely widely
adopted adopt
by by
conservation conservation
. .
We we
hope hope
to to
change change
that that
. .
Emerging emerge
technologies technology
of of
genetic genetic
engineering engineering
hold hold
the the
promise promise
of of
helping help
species specie
adapt adapt
to to
climate climate
change change
, ,
solve solve
wildlife wildlife
disease disease
problems problem
, ,
and and
even even
help help
solve solve
invasive invasive
species species
problems problem
. .
But but
very very
often often
these these
technologies technology
never never
get get
out out
of of
the the
starting start
gate gate
because because
the the
fear fear
of of
unintended unintended
consequences consequence
absolutely absolutely
stymies stymie
even even
the the
most most
basic basic
innovation innovation
at at
the the
get-go get-go
. .
Probably probably
there there
' '
s s
no no
more more
urgent urgent
need need
to to
overcome overcome
some some
of of
this this
reluctance reluctance
to to
use use
these these
technologies technology
than than
in in
the the
case case
of of
coral coral
. .
Coral coral
, ,
as as
many many
of of
you you
know know
, ,
are be
the the
most most
diverse diverse
and and
rich rich
ecosystems ecosystem
in in
the the
world world
. .
They they
provide provide
a a
rich rich
biodiversity biodiversity
for for
reef-dwelling reef-dwell
fish fish
and and
all all
ocean ocean
life life
. .
And and
yet yet
, ,
sadly sadly
, ,
50 @card@
percent percent
of of
the the
Great great
Barrier barrier
Reef reef
has have
been be
lost lose
already already
to to
climate climate
change change
and and
environmental environmental
degradation degradation
. .
Estimates estimate
predicts predict
that that
by by
2050 @card@
, ,
we we
could could
lose lose
as as
much much
as as
90 @card@
percent percent
of of
the the
coral coral
in in
the the
world world
. .
There there
is be
hope hope
. .
Scientists scientist
around around
the the
world world
are be
utilizing utilize
new new
technologies technology
to to
cryopreserve cryopreserve
even even
living live
coral coral
fragments fragment
that that
can can
be be
transplanted transplant
onto onto
artificial artificial
reefs reef
. .
This this
is be
just just
the the
beginning beginning
of of
some some
of of
the the
work work
that that
is be
pioneering pioneer
and and
can can
happen happen
. .
I i
' '
m m
most most
excited excite
about about
the the
use use
of of
the the
new new
technologies technology
for for
developing develop
stem stem
cells cell
. .
Now now
these these
stem stem
cells cell
could could
be be
used use
to to
actually actually
genome genome
edit edit
in in
thermal thermal
resilience resilience
to to
warming warming
oceans ocean
. .
Now now
, ,
you you
may may
be be
looking look
at at
that that
and and
saying say
, ,
" "
Genetically genetically
modified modify
corals coral
? ?
What what
about about
the the
unintended unintended
consequences consequence
? ?
" "
This this
question question
comes come
up up
so so
often often
with with
any any
innovation innovation
in in
science science
, ,
we we
decided decide
to to
actually actually
identify identify
just just
how how
often often
, ,
when when
humans human
intervene intervene
, ,
did do
they they
cause cause
the the
disasters disaster
that that
people people
fear fear
so so
much much
. .
And and
yes yes
, ,
your your
classic classic
stories story
of of
humans human
intervening intervene
in in
nature nature
and and
causing cause
disasters disaster
, ,
like like
bringing bring
rodents rodent
to to
islands island
, ,
that that
stowed stow
away away
on on
colonial colonial
sailing sailing
ships ship
. .
These these
invasive invasive
species specie
and and
others other
have have
caused cause
greater great
than than
60 @card@
percent percent
of of
the the
extinctions extinction
worldwide worldwide
since since
the the
early early
1500s 1500s
. .
And and
then then
there there
' '
s s
the the
poster poster
child child
for for
intentionally intentionally
releasing release
the the
poisonous poisonous
cane cane
toad toad
to to
Australia australia
. .
Back back
in in
1935 @card@
, ,
the the
sugar sugar
cane cane
industry industry
brought bring
this this
invasive invasive
, ,
poisonous poisonous
cane cane
toad toad
in in
to to
solve solve
their their
problem problem
with with
beetles beetle
in in
their their
crops crop
. .
It it
didn didn
' '
t t
do do
much much
for for
the the
beetles beetle
, ,
and and
instead instead
, ,
since since
1935 @card@
, ,
it it
has have
continued continue
to to
work work
its its
way way
across across
Australia australia
, ,
leaving leave
nothing nothing
in in
its its
wake wake
and and
killing kill
native native
species specie
all all
along along
the the
way way
. .
These these
disasters disaster
stoke stoke
the the
minds mind
of of
people people
about about
fear fear
of of
intervention intervention
, ,
and and
yet yet
they they
happened happen
in in
an an
era era
when when
there there
was be
little little
regard regard
for for
the the
overall overall
environmental environmental
ecosystem ecosystem
. .
And and
they they
were be
done do
, ,
in in
some some
cases case
, ,
even even
with with
profit profit
motivation motivation
in in
mind mind
, ,
they they
weren weren
' '
t t
done do
for for
conservation conservation
benefit benefit
. .
And and
sadly sadly
, ,
we we
never never
hear hear
about about
the the
success success
stories story
. .
So so
when when
we we
looked look
at at
the the
research research
about about
what what
happens happen
when when
conservation conservation
intend intend
to to
intervene intervene
in in
nature nature
, ,
we we
found find
a a
very very
different different
story story
. .
All all
across across
the the
globe globe
, ,
for for
over over
a a
century century
, ,
scientists scientist
have have
been be
introducing introduce
and and
reintroducing reintroduce
plants plant
and and
animals animal
with with
no no
environmental environmental
harm harm
. .
You you
may may
know know
the the
classic classic
success success
story story
of of
introducing introduce
wolves wolf
to to
Yellowstone yellowstone
. .
But but
that that
' '
s s
not not
the the
only only
one one
. .
Think think
about about
this this
. .
Over over
1 @card@
, ,
000 @card@
species specie
have have
been be
introduced introduce
all all
across across
North north
America america
for for
the the
last last
125 @card@
years year
. .
There there
has have
been be
no no
documented document
case case
, ,
except except
one one
, ,
of of
any any
intervention intervention
causing cause
a a
local local
extinction extinction
. .
That that
was be
a a
native native
freshwater freshwater
fish fish
from from
a a
small small
spring spring
in in
Alabama alabama
. .
Ninety-nine ninety-nine
percent percent
of of
these these
interventions intervention
have have
succeeded succeed
in in
achieving achieve
their their
intended intended
consequence consequence
. .
So so
you you
may may
look look
at at
this this
and and
wonder wonder
, ,
if if
intervention intervention
is be
so so
common common
in in
nature nature
, ,
why why
aren aren
' '
t t
we we
more more
aware aware
of of
this this
? ?
And and
I i
think think
it it
' '
s s
because because
sometimes sometimes
success success
is be
actually actually
invisible invisible
to to
us us
. .
Take take
, ,
for for
example example
, ,
this this
image image
of of
the the
Great great
Smoky smoky
Mountains mountains
, ,
America america
' '
s s
most most
visited visit
national national
park park
. .
What what
we we
see see
as as
pristine pristine
wilderness wilderness
is be
actually actually
a a
very very
managed manage
environment environment
. .
Those those
elk elk
you you
see see
, ,
they they
' '
re re
the the
result result
of of
being be
absent absent
for for
200 @card@
years year
and and
being be
reintroduced reintroduce
. .
That that
meadow meadow
is be
a a
result result
of of
repeated repeated
controlled controlled
burns burn
. .
And and
non-native non-native
insects insect
have have
been be
used use
to to
control control
pathogens pathogen
and and
invasive invasive
pests pest
. .
And and
there there
' '
s s
one one
more more
iconic iconic
species specie
that that
could could
come come
back back
to to
this this
forest forest
. .
That that
' '
s s
the the
American american
chestnut chestnut
tree tree
. .
Historically historically
, ,
this this
majestic majestic
tree tree
rained rain
down down
sweet sweet
nuts nut
and and
fed fed
humans human
and and
animals animal
alike alike
for for
centuries century
. .
For for
thousands thousand
of of
years year
, ,
it it
was be
the the
most most
abundant abundant
tree tree
species specie
across across
the the
eastern eastern
deciduous deciduous
forest forest
. .
It it
' '
s s
lumber lumber
was be
used use
to to
create create
fine fine
musical musical
instruments instrument
and and
hardwood hardwood
furniture furniture
. .
And and
until until
1800 @card@
, ,
there there
were be
four four
billion billion
of of
these these
trees tree
across across
the the
forest forest
until until
blight blight
, ,
a a
fungal fungal
blight blight
that that
came come
in in
, ,
imported import
, ,
invasive invasive
species specie
, ,
absolutely absolutely
wiped wipe
out out
these these
trees tree
. .
By by
1950 @card@
, ,
all all
four four
billion billion
trees tree
were be
decimated decimate
. .
Now now
, ,
since since
that that
time time
, ,
scientists scientist
have have
tried try
for for
decades decade
to to
figure figure
out out
how how
to to
create create
a a
blight-resistant blight-resistant
chestnut chestnut
tree tree
. .
And and
it it
' '
s s
happened happen
. .
Scientists scientist
at at
the the
State state
University university
of of
New new
York york
have have
identified identify
a a
way way
inserting insert
a a
single single
gene gene
from from
wheat wheat
that that
will will
convey convey
blight blight
resistance resistance
. .
These these
genetically genetically
modified modify
trees tree
right right
now now
are be
the the
first first
chance chance
in in
100 @card@
years year
to to
restore restore
these these
majestic majestic
trees tree
to to
the the
forest forest
. .
The the
US us
Department department
of of
Agriculture agriculture
right right
now now
is be
reviewing review
these these
trees tree
for for
release release
into into
the the
wild wild
. .
These these
are be
all all
bold bold
initiatives initiative
. .
Engineering engineering
coral coral
to to
withstand withstand
warming warming
waters water
, ,
restoring restore
the the
American american
chestnut chestnut
tree tree
, ,
the the
genetic genetic
rescue rescue
of of
the the
black-footed black-footed
ferret ferret
. .
All all
of of
these these
initiatives initiative
will will
require require
public public
engagement engagement
and and
public public
support support
. .
I i
think think
it it
matters matter
how how
people people
think think
about about
intervention intervention
. .
I i
believe believe
we we
need need
to to
bring bring
more more
balance balance
to to
how how
we we
think think
about about
risk risk
. .
There there
will will
always always
be be
unexpected unexpected
outcomes outcome
to to
any any
innovation innovation
in in
science science
, ,
but but
we we
have have
the the
tools tool
and and
technology technology
today today
and and
the the
protocols protocol
to to
minimize minimize
risks risk
and and
maximize maximize
benefits benefit
. .
So so
the the
next next
time time
you you
hear hear
about about
some some
bold bold
new new
idea idea
, ,
I i
hope hope
you you
' '
ll ll
think think
first first
about about
the the
intended intend
consequences consequence
. .
We we
don don
' '
t t
have have
the the
luxury luxury
of of
time time
to to
stand stand
by by
and and
wait wait
and and
see see
what what
happens happen
for for
the the
thousands thousand
of of
plants plant
and and
animals animal
at at
risk risk
today today
. .
We we
know know
that that
doing do
nothing nothing
can can
cause cause
extinction extinction
. .
Instead instead
, ,
let let
' '
s s
carefully carefully
and and
intentionally intentionally
plan plan
with with
all all
the the
tools tool
in in
the the
toolbox toolbox
to to
achieve achieve
and and
create create
the the
future future
we we
want want
and and
not not
overreact overreact
to to
a a
future future
that that
we we
fear fear
. .
Thank thank
you you
. .
Chris chris
Anderson anderson
: :
Please please
stay stay
. .
I i
think think
this this
is be
so so
interesting interesting
. .
It it
seems seem
to to
me me
, ,
at at
the the
heart heart
of of
what what
you you
' '
re re
wrestling wrestling
with with
each each
time time
is be
this this
, ,
you you
know know
, ,
it it
' '
s s
a a
moral moral
question question
. .
So so
most most
moral moral
philosophers philosopher
, ,
I i
think think
, ,
would would
say say
that that
fundamentally fundamentally
, ,
there there
' '
s s
not not
a a
difference difference
between between
intentional intentional
action action
and and
intentional intentional
inaction inaction
that that
leads lead
to to
the the
same same
thing thing
. .
So so
why why
is be
it it
that that
in in
so so
many many
areas area
of of
public public
policy policy
and and
certainly certainly
in in
the the
environmental environmental
movement movement
, ,
there there
is be
this this
huge huge
distinction distinction
that that
people people
make make
between between
action action
and and
inaction inaction
? ?
They they
would would
rather rather
not not
act act
and and
see see
something something
go go
wrong wrong
than than
take take
the the
risk risk
of of
acting act
. .
Why why
? ?
Ryan ryan
Phelan phelan
: :
You you
know know
, ,
I i
think think
it it
' '
s s
public public
pressure pressure
that that
they they
feel feel
as as
scientists scientist
innovating innovate
. .
They they
don don
' '
t t
want want
to to
get get
it it
wrong wrong
. .
They they
have have
funders funder
that that
challenged challenge
them them
on on
taking take
on on
innovation innovation
and and
action action
. .
They they
run run
the the
risk risk
of of
losing lose
jobs job
, ,
funding funding
, ,
security security
, ,
public public
shame shame
. .
It it
' '
s s
so so
much much
easier easy
for for
people people
to to
stand stand
by by
and and
do do
nothing nothing
and and
not not
take take
ownership ownership
of of
it it
. .
And and
I i
think think
this this
is be
really really
what what
we we
' '
re re
trying try
to to
say say
, ,
is be
if if
we we
can can
encourage encourage
scientists scientist
and and
innovators innovator
to to
be be
bold bold
, ,
it it
will will
behoove behoove
all all
of of
us us
. .
CA ca
: :
Right right
. .
So so
one one
advantage advantage
of of
inaction inaction
is be
just just
that that
you you
' '
re re
less less
likely likely
to to
be be
blamed blame
. .
RP rp
: :
Exactly exactly
. .
You you
don don
' '
t t
get get
credit credit
either either
. .
CA ca
: :
No no
. .
Ryan ryan
, ,
these these
same same
technologies technology
, ,
synthetic synthetic
biology biology
and and
so so
forth forth
, ,
like like
in in
principle principle
, ,
they they
allow allow
actual actual
de-extinction de-extinction
, ,
species specie
that that
the the
planet planet
hasn hasn
' '
t t
seen see
for for
years year
, ,
in in
principle principle
, ,
we we
could could
bring bring
back back
. .
Are be
there there
any any
projects project
you you
' '
re re
involved involve
with with
that that
excite excite
you you
or or
possibly possibly
terrify terrify
you you
, ,
where where
we we
could could
see see
such such
de-extinction de-extinction
taking take
place place
? ?
RP rp
: :
Well well
, ,
technically technically
the the
American american
chestnut chestnut
tree tree
is be
almost almost
extinct extinct
. .
You you
know know
, ,
people people
will will
see see
some some
sprouts sprout
come come
up up
because because
the the
roots root
are be
there there
, ,
but but
they they
basically basically
, ,
you you
know know
, ,
fail fail
within within
15 @card@
years year
. .
So so
they they
' '
re re
not not
totally totally
extinct extinct
, ,
but but
they they
' '
re re
very very
close close
to to
it it
. .
You you
know know
, ,
we we
are be
working work
on on
everything everything
from from
the the
woolly woolly
mammoth mammoth
, ,
as as
some some
of of
you you
may may
know know
, ,
to to
the the
passenger passenger
pigeon pigeon
. .
But but
to to
me me
, ,
the the
most most
motivating motivate
part part
of of
these these
technologies technology
is be
, ,
de-extinction de-extinction
is be
just just
a a
big big
, ,
hairy hairy
, ,
audacious audacious
goal goal
. .
And and
if if
we we
get get
there there
, ,
it it
' '
ll ll
be be
grand grand
. .
But but
getting get
there there
, ,
all all
of of
these these
genetic genetic
rescue rescue
tools tool
and and
technology technology
can can
be be
applied apply
to to
save save
endangered endangered
species specie
. .
It it
' '
s s
all all
a a
fundamental fundamental
tool tool
kit kit
. .
It it
' '
s s
essential essential
. .
CA ca
: :
Well well
, ,
Ryan ryan
, ,
you you
' '
re re
an an
extremely extremely
compelling compelling
and and
persuasive persuasive
and and
trustworthy trustworthy
voice voice
, ,
I i
would would
say say
. .
So so
thank thank
you you
so so
much much
for for
the the
work work
you you
' '
re re
doing do
and and
for for
sharing share
this this
. .
