One one
year year
ago ago
, ,
I i
rented rent
a a
car car
in in
Jerusalem jerusalem
to to
go go
find find
a a
man man
I i
' '
d d
never never
met meet
but but
who who
had have
changed change
my my
life life
. .
I i
didn didn
' '
t t
have have
a a
phone phone
number number
to to
call call
to to
say say
I i
was be
coming come
. .
I i
didn didn
' '
t t
have have
an an
exact exact
address address
, ,
but but
I i
knew know
his his
name name
, ,
Abed abed
, ,
I i
knew know
that that
he he
lived live
in in
a a
town town
of of
15 @card@
, ,
000 @card@
, ,
Kfar kfar
Kara kara
, ,
and and
I i
knew know
that that
, ,
21 @card@
years year
before before
, ,
just just
outside outside
this this
holy holy
city city
, ,
he he
broke break
my my
neck neck
. .
And and
so so
, ,
on on
an an
overcast overcast
morning morning
in in
January january
, ,
I i
headed head
north north
off off
in in
a a
silver silver
Chevy chevy
to to
find find
a a
man man
and and
some some
peace peace
. .
The the
road road
dropped drop
and and
I i
exited exit
Jerusalem jerusalem
. .
I i
then then
rounded round
the the
very very
bend bend
where where
his his
blue blue
truck truck
, ,
heavy heavy
with with
four four
tons ton
of of
floor floor
tiles tile
, ,
had have
borne bear
down down
with with
great great
speed speed
onto onto
the the
back back
left leave
corner corner
of of
the the
minibus minibus
where where
I i
sat sit
. .
I i
was be
then then
19 @card@
years year
old old
. .
I i
' '
d d
grown grow
five five
inches inch
and and
done do
some some
20 @card@
, ,
000 @card@
pushups pushup
in in
eight eight
months month
, ,
and and
the the
night night
before before
the the
crash crash
, ,
I i
delighted delight
in in
my my
new new
body body
, ,
playing play
basketball basketball
with with
friends friend
into into
the the
wee wee
hours hour
of of
a a
May may
morning morning
. .
I i
palmed palm
the the
ball ball
in in
my my
large large
right right
hand hand
, ,
and and
when when
that that
hand hand
reached reach
the the
rim rim
, ,
I i
felt feel
invincible invincible
. .
I i
was be
off off
in in
the the
bus bus
to to
get get
the the
pizza pizza
I i
' '
d d
won win
on on
the the
court court
. .
I i
didn didn
' '
t t
see see
Abed abed
coming come
. .
From from
my my
seat seat
, ,
I i
was be
looking look
up up
at at
a a
stone stone
town town
on on
a a
hilltop hilltop
, ,
bright bright
in in
the the
noontime noontime
sun sun
, ,
when when
from from
behind behind
there there
was be
a a
great great
bang bang
, ,
as as
loud loud
and and
violent violent
as as
a a
bomb bomb
. .
My my
head head
snapped snap
back back
over over
my my
red red
seat seat
. .
My my
eardrum eardrum
blew blow
. .
My my
shoes shoe
flew fly
off off
. .
I i
flew fly
too too
, ,
my my
head head
bobbing bob
on on
broken break
bones bone
, ,
and and
when when
I i
landed land
, ,
I i
was be
a a
quadriplegic quadriplegic
. .
Over over
the the
coming come
months month
, ,
I i
learned learn
to to
breathe breathe
on on
my my
own own
, ,
then then
to to
sit sit
and and
to to
stand stand
and and
to to
walk walk
, ,
but but
my my
body body
was be
now now
divided divide
vertically vertically
. .
I i
was be
a a
hemiplegic hemiplegic
, ,
and and
back back
home home
in in
New new
York york
, ,
I i
used use
a a
wheelchair wheelchair
for for
four four
years year
, ,
all all
through through
college college
. .
College college
ended end
and and
I i
returned return
to to
Jerusalem jerusalem
for for
a a
year year
. .
There there
I i
rose rise
from from
my my
chair chair
for for
good good
, ,
I i
leaned lean
on on
my my
cane cane
, ,
and and
I i
looked look
back back
, ,
finding find
all all
from from
my my
fellow fellow
passengers passenger
in in
the the
bus bus
to to
photographs photograph
of of
the the
crash crash
, ,
and and
when when
I i
saw see
this this
photograph photograph
, ,
I i
didn didn
' '
t t
see see
a a
bloody bloody
and and
unmoving unmove
body body
. .
I i
saw see
the the
healthy healthy
bulk bulk
of of
a a
left left
deltoid deltoid
, ,
and and
I i
mourned mourn
that that
it it
was be
lost lose
, ,
mourned mourn
all all
I i
had have
not not
yet yet
done do
, ,
but but
was be
now now
impossible impossible
. .
It it
was be
then then
I i
read read
the the
testimony testimony
that that
Abed abed
gave give
the the
morning morning
after after
the the
crash crash
, ,
of of
driving drive
down down
the the
right right
lane lane
of of
a a
highway highway
toward toward
Jerusalem jerusalem
. .
Reading read
his his
words word
, ,
I i
welled well
with with
anger anger
. .
It it
was be
the the
first first
time time
I i
' '
d d
felt feel
anger anger
toward toward
this this
man man
, ,
and and
it it
came come
from from
magical magical
thinking thinking
. .
On on
this this
xeroxed xeroxed
piece piece
of of
paper paper
, ,
the the
crash crash
had have
not not
yet yet
happened happen
. .
Abed abed
could could
still still
turn turn
his his
wheel wheel
left leave
so so
that that
I i
would would
see see
him him
whoosh whoosh
by by
out out
my my
window window
and and
I i
would would
remain remain
whole whole
. .
" "
Be be
careful careful
, ,
Abed abed
, ,
look look
out out
. .
Slow slow
down down
. .
" "
But but
Abed abed
did do
not not
slow slow
, ,
and and
on on
that that
xeroxed xeroxed
piece piece
of of
paper paper
, ,
my my
neck neck
again again
broke break
, ,
and and
again again
, ,
I i
was be
left leave
without without
anger anger
. .
I i
decided decide
to to
find find
Abed abed
, ,
and and
when when
I i
finally finally
did do
, ,
he he
responded respond
to to
my my
Hebrew hebrew
hello hello
which which
such such
nonchalance nonchalance
, ,
it it
seemed seem
he he
' '
d d
been be
awaiting await
my my
phone phone
call call
. .
And and
maybe maybe
he he
had have
. .
I i
didn didn
' '
t t
mention mention
to to
Abed abed
his his
prior prior
driving driving
record record
— -
27 @card@
violations violation
by by
the the
age age
of of
25 @card@
, ,
the the
last last
, ,
his his
not not
shifting shift
his his
truck truck
into into
a a
low low
gear gear
on on
that that
May may
day day
— -
and and
I i
didn didn
' '
t t
