One one
mention mention
my my
prior prior
record record
— -
the the
quadriplegia quadriplegia
and and
the the
catheters catheter
, ,
the the
insecurity insecurity
and and
the the
loss loss
— -
and and
when when
Abed abed
went go
on on
about about
how how
hurt hurt
he he
was be
in in
the the
crash crash
, ,
I i
didn didn
' '
t t
say say
that that
I i
knew know
from from
the the
police police
report report
that that
he he
' '
d d
escaped escape
serious serious
injury injury
. .
I i
said say
I i
wanted want
to to
meet meet
. .
Abed abed
said say
that that
I i
should should
call call
back back
in in
a a
few few
weeks week
, ,
and and
when when
I i
did do
, ,
and and
a a
recording recording
told tell
me me
that that
his his
number number
was be
disconnected disconnect
, ,
I i
let let
Abed abed
and and
the the
crash crash
go go
. .
Many many
years year
passed pass
. .
I i
walked walk
with with
my my
cane cane
and and
my my
ankle ankle
brace brace
and and
a a
backpack backpack
on on
trips trip
in in
six six
continents continent
. .
I i
pitched pitch
overhand overhand
in in
a a
weekly weekly
softball softball
game game
that that
I i
started start
in in
Central central
Park park
, ,
and and
home home
in in
New new
York york
, ,
I i
became become
a a
journalist journalist
and and
an an
author author
, ,
typing type
hundreds hundred
of of
thousands thousand
of of
words word
with with
one one
finger finger
. .
A a
friend friend
pointed point
out out
to to
me me
that that
all all
of of
my my
big big
stories story
mirrored mirror
my my
own own
, ,
each each
centering centering
on on
a a
life life
that that
had have
changed change
in in
an an
instant instant
, ,
owing owe
, ,
if if
not not
to to
a a
crash crash
, ,
then then
to to
an an
inheritance inheritance
, ,
a a
swing swing
of of
the the
bat bat
, ,
a a
click click
of of
the the
shutter shutter
, ,
an an
arrest arrest
. .
Each each
of of
us us
had have
a a
before before
and and
an an
after after
. .
I i
' '
d d
been be
working work
through through
my my
lot lot
after after
all all
. .
Still still
, ,
Abed abed
was be
far far
from from
my my
mind mind
, ,
when when
last last
year year
, ,
I i
returned return
to to
Israel israel
to to
write write
of of
the the
crash crash
, ,
and and
the the
book book
I i
then then
wrote write
, ,
" "
Half-Life half-life
, ,
" "
was be
nearly nearly
complete complete
when when
I i
recognized recognize
that that
I i
still still
wanted want
to to
meet meet
Abed abed
, ,
and and
finally finally
I i
understood understand
why why
: :
to to
hear hear
this this
man man
say say
two two
words word
: :
" "
I i
' '
m m
sorry sorry
. .
" "
People people
apologize apologize
for for
less less
. .
And and
so so
I i
got get
a a
cop cop
to to
confirm confirm
that that
Abed abed
still still
lived live
somewhere somewhere
in in
his his
same same
town town
, ,
and and
I i
was be
now now
driving drive
to to
it it
with with
a a
potted potted
yellow yellow
rose rise
in in
the the
back back
seat seat
, ,
when when
suddenly suddenly
flowers flower
seemed seem
a a
ridiculous ridiculous
offering offering
. .
But but
what what
to to
get get
the the
man man
who who
broke break
your your
fucking fuck
neck neck
? ?
I i
pulled pull
into into
the the
town town
of of
Abu abu
Ghosh ghosh
, ,
and and
bought buy
a a
brick brick
of of
Turkish turkish
delight delight
: :
pistachios pistachio
glued glue
in in
rosewater rosewater
. .
Better good
. .
Back back
on on
Highway highway
1 @card@
, ,
I i
envisioned envision
what what
awaited await
. .
Abed abed
would would
hug hug
me me
. .
Abed abed
would would
spit spit
at at
me me
. .
Abed abed
would would
say say
, ,
" "
I i
' '
m m
sorry sorry
. .
" "
I i
then then
began begin
to to
wonder wonder
, ,
as as
I i
had have
many many
times time
before before
, ,
how how
my my
life life
would would
have have
been be
different different
had have
this this
man man
not not
injured injure
me me
, ,
had have
my my
genes gene
been be
fed feed
a a
different different
helping helping
of of
experience experience
. .
Who who
was be
I i
? ?
Was be
I i
who who
I i
had have
been be
before before
the the
crash crash
, ,
before before
this this
road road
divided divide
my my
life life
like like
the the
spine spine
of of
an an
open open
book book
? ?
Was be
I i
what what
had have
been be
done do
to to
me me
? ?
Were be
all all
of of
us us
the the
results result
of of
things thing
done do
to to
us us
, ,
done do
for for
us us
, ,
the the
infidelity infidelity
of of
a a
parent parent
or or
spouse spouse
, ,
money money
inherited inherit
? ?
Were be
we we
instead instead
our our
bodies body
, ,
their their
inborn inborn
endowments endowment
and and
deficits deficit
? ?
It it
seemed seem
that that
we we
could could
be be
nothing nothing
more more
than than
genes gene
and and
experience experience
, ,
but but
how how
to to
tease tease
out out
the the
one one
from from
the the
other other
? ?
As as
Yeats yeats
put put
that that
same same
universal universal
question question
, ,
" "
O o
body body
swayed sway
to to
music music
, ,
o o
brightening brighten
glance glance
, ,
how how
can can
we we
know know
the the
dancer dancer
from from
the the
dance dance
? ?
" "
I i
' '
d d
been be
driving drive
for for
an an
hour hour
when when
I i
looked look
in in
my my
rearview rearview
mirror mirror
and and
saw see
my my
own own
brightening brighten
glance glance
. .
The the
light light
my my
eyes eye
had have
carried carry
for for
as as
long long
as as
they they
had have
been be
blue blue
. .
The the
predispositions predisposition
and and
impulses impulse
that that
had have
propelled propel
me me
as as
a a
toddler toddler
to to
try try
and and
slip slip
over over
a a
boat boat
into into
a a
Chicago chicago
lake lake
, ,
that that
had have
propelled propel
me me
as as
a a
teen teen
to to
jump jump
into into
wild wild
Cape cape
Cod cod
Bay bay
after after
a a
hurricane hurricane
. .
But but
I i
also also
saw see
in in
my my
reflection reflection
that that
, ,
had have
Abed abed
not not
injured injure
me me
, ,
I i
would would
now now
, ,
in in
all all
likelihood likelihood
, ,
be be
a a
doctor doctor
and and
a a
husband husband
and and
a a
father father
. .
I i
would would
be be
less less
mindful mindful
of of
time time
and and
of of
death death
, ,
and and
, ,
oh oh
, ,
I i
would would
not not
be be
disabled disable
, ,
would would
not not
suffer suffer
the the
thousand thousand
slings sling
and and
arrows arrow
of of
my my
fortune fortune
. .
The the
frequent frequent
furl furl
of of
five five
fingers finger
, ,
the the
chips chip
in in
my my
teeth tooth
come come
from from
biting bite
at at
all all
the the
many many
things thing
a a
solitary solitary
hand hand
cannot can
open open
. .
The the
dancer dancer
and and
the the
dance dance
were be
hopelessly hopelessly
entwined entwine
. .
It it
was be
approaching approach
11 @card@
when when
I i
exited exit
right right
toward toward
Afula afula
, ,
and and
passed pass
a a
large large
quarry quarry
and and
was be
soon soon
in in
Kfar kfar
Kara kara
. .
I i
felt feel
a a
pang pang
of of
nerves nerve
. .
But but
Chopin chopin
was be
on on
the the
radio radio
, ,
seven seven
beautiful beautiful
mazurkas mazurka
, ,
and and
I i
pulled pull
into into
a a
lot lot
by by
a a
gas gas
station station
to to
listen listen
and and
to to
calm calm
. .
I i
' '
d d
been be
told tell
that that
in in
an an
Arab arab
town town
, ,
one one
need need
only only
mention mention
the the
name name
of of
a a
local local
and and
it it
will will
be be
recognized recognize
. .
And and
I i
was be
mentioning mention
Abed abed
and and
myself myself
, ,
noting note
deliberately deliberately
that that
I i
was be
here here
in in
peace peace
, ,
to to
the the
people people
in in
this this
town town
, ,
when when
I i
met meet
Mohamed mohamed
outside outside
a a
post post
office office
at at
noon noon
. .
He he
listened listen
to to
me me
. .
You you
know know
, ,
it it
was be
most most
often often
when when
speaking speak
to to
people people
that that
I i
wondered wonder
where where
I i
ended end
and and
my my
disability disability
began begin
, ,
for for
many many
people people
told tell
me me
what what
they they
told tell
no no
one one
else else
. .
Many many
cried cry
. .
And and
one one
day day
, ,
after after
a a
woman woman
I i
met meet
on on
the the
street street
did do
the the
same same
and and
I i
later later
asked ask
her her
why why
, ,
she she
told tell
me me
that that
, ,
best well
she she
could could
tell tell
, ,
her her
tears tear
had have
had have
something something
to to
do do
with with
my my
being be
happy happy
and and
strong strong
, ,
but but
vulnerable vulnerable
too too
. .
I i
listened listen
to to
her her
words word
. .
I i
suppose suppose
they they
were be
true true
. .
I i
was be
me me
, ,
but but
I i
was be
now now
me me
despite despite
a a
limp limp
, ,
and and
that that
, ,
I i
suppose suppose
, ,
was be
what what
now now
made make
me me
, ,
me me
. .
Anyway anyway
, ,
Mohamed mohamed
told tell
me me
what what
perhaps perhaps
he he
would would
not not
have have
told tell
another another
stranger stranger
. .
He he
led lead
me me
to to
a a
house house
of of
cream cream
stucco stucco
, ,
then then
drove drive
off off
. .
And and
as as
I i
sat sit
contemplating contemplate
what what
to to
say say
, ,
a a
woman woman
approached approach
in in
a a
black black
shawl shawl
and and
black black
robe robe
. .
I i
stepped step
from from
my my
car car
and and
said say
" "
Shalom shalom
, ,
" "
and and
identified identify
myself myself
, ,
and and
she she
told tell
me me
that that
her her
husband husband
Abed abed
would would
be be
home home
from from
work work
in in
four four
hours hour
. .
Her her
Hebrew hebrew
was be
not not
good good
, ,
and and
she she
later later
confessed confess
that that
she she
thought think
that that
I i
had have
come come
to to
install install
the the
Internet internet
. .
I i
drove drive
off off
and and
returned return
at at
4:30 @card@
, ,
thankful thankful
to to
the the
minaret minaret
up up
the the
road road
that that
helped help
me me
find find
my my
way way
back back
. .
And and
as as
I i
approached approach
the the
front front
door door
, ,
Abed abed
saw see
me me
, ,
my my
jeans jean
and and
flannel flannel
and and
cane cane
, ,
and and
I i
saw see
Abed abed
, ,
an an
average-looking average-looking
man man
of of
average average
size size
. .
He he
wore wear
black black
and and
white white
: :
slippers slipper
over over
socks sock
, ,
pilling pill
sweatpants sweatpant
, ,
a a
piebald piebald
sweater sweater
, ,
a a
striped striped
ski ski
cap cap
pulled pull
down down
to to
his his
forehead forehead
. .
He he
' '
d d
been be
expecting expect
me me
. .
Mohamed mohamed
had have
phoned phone
. .
And and
so so
at at
once once
, ,
we we
shook shake
hands hand
, ,
and and
smiled smile
, ,
and and
I i
gave give
him him
my my
gift gift
, ,
and and
he he
told tell
me me
I i
was be
a a
guest guest
in in
his his
home home
, ,
and and
we we
sat sit
beside beside
one one
another another
on on
a a
fabric fabric
couch couch
. .
It it
was be
then then
that that
Abed abed
resumed resume
at at
once once
the the
tale tale
of of
woe woe
he he
had have
begun begin
over over
the the
phone phone
16 @card@
years year
before before
. .
He he
' '
d d
just just
had have
surgery surgery
on on
his his
eyes eye
, ,
he he
said say
. .
He he
had have
problems problem
with with
his his
side side
and and
his his
legs leg
too too
, ,
and and
, ,
oh oh
, ,
he he
' '
d d
lost lose
his his
teeth tooth
in in
the the
crash crash
. .
Did do
I i
wish wish
to to
see see
him him
remove remove
them them
? ?
Abed abed
then then
rose rise
and and
turned turn
on on
the the
TV tv
so so
that that
I i
wouldn wouldn
' '
t t
be be
alone alone
when when
he he
left leave
the the
room room
, ,
and and
returned return
with with
polaroids polaroid
of of
the the
crash crash
and and
his his
old old
driver driver
' '
s s
license license
. .
" "
I i
was be
handsome handsome
, ,
" "
he he
said say
. .
We we
looked look
down down
at at
his his
laminated laminate
mug mug
. .
Abed abed
had have
been be
less less
handsome handsome
than than
substantial substantial
, ,
with with
thick thick
black black
hair hair
and and
a a
full full
face face
and and
a a
wide wide
neck neck
. .
It it
was be
this this
youth youth
who who
on on
May may
16 @card@
, ,
1990 @card@
, ,
had have
broken break
two two
necks neck
including include
mine mine
, ,
and and
bruised bruise
one one
brain brain
and and
taken take
one one
life life
. .
Twenty-one twenty-one
years year
later later
, ,
he he
was be
now now
thinner thin
than than
his his
wife wife
, ,
his his
skin skin
slack slack
on on
his his
face face
, ,
and and
looking look
at at
Abed abed
looking look
at at
his his
young young
self self
, ,
I i
remembered remember
looking look
at at
that that
photograph photograph
of of
my my
young young
self self
after after
the the
crash crash
, ,
and and
recognized recognize
his his
longing longing
. .
" "
The the
crash crash
changed change
both both
of of
our our
lives life
, ,
" "
I i
said say
. .
Abed abed
then then
showed show
me me
a a
picture picture
of of
his his
mashed mash
truck truck
, ,
and and
said say
that that
the the
crash crash
was be
the the
fault fault
of of
a a
bus bus
driver driver
in in
the the
left left
lane lane
who who
did do
not not
let let
him him
pass pass
. .
I i
did do
not not
want want
to to
recap recap
the the
crash crash
with with
Abed abed
. .
I i
' '
d d
hoped hope
for for
something something
simpler simple
: :
to to
exchange exchange
a a
Turkish turkish
dessert dessert
for for
two two
words word
and and
be be
on on
my my
way way
. .
And and
so so
I i
didn didn
' '
t t
point point
out out
that that
in in
his his
own own
testimony testimony
the the
morning morning
after after
the the
crash crash
, ,
Abed abed
did do
not not
even even
mention mention
the the
bus bus
driver driver
. .
No no
, ,
I i
was be
quiet quiet
. .
I i
was be
quiet quiet
because because
I i
had have
not not
come come
for for
truth truth
. .
I i
had have
come come
for for
remorse remorse
. .
And and
so so
I i
now now
went go
looking look
for for
remorse remorse
and and
threw throw
truth truth
under under
the the
bus bus
. .
" "
I i
understand understand
, ,
" "
I i
said say
, ,
" "
that that
the the
crash crash
was be
not not
your your
fault fault
, ,
but but
does do
it it
make make
you you
sad sad
that that
others other
suffered suffer
? ?
" "
Abed abed
spoke speak
three three
quick quick
words word
. .
" "
Yes yes
, ,
I i
suffered suffer
. .
" "
Abed abed
then then
told tell
me me
why why
he he
' '
d d
suffered suffer
. .
He he
' '
d d
lived live
an an
unholy unholy
life life
before before
the the
crash crash
, ,
and and
so so
God god
had have
ordained ordain
the the
crash crash
, ,
but but
now now
, ,
he he
said say
, ,
he he
was be
religious religious
, ,
and and
God god
was be
pleased please
. .
It it
was be
then then
that that
God god
intervened intervene
: :
news news
on on
the the
TV tv
of of
a a
car car
wreck wreck
that that
hours hour
before before
had have
killed kill
three three
people people
up up
north north
. .
We we
looked look
up up
at at
the the
wreckage wreckage
. .
" "
Strange strange
, ,
" "
I i
said say
. .
" "
Strange strange
, ,
" "
he he
agreed agree
. .
I i
had have
the the
thought thought
that that
there there
, ,
on on
Route route
804 @card@
, ,
there there
were be
perpetrators perpetrator
and and
victims victim
, ,
dyads dyad
bound bind
by by
a a
crash crash
. .
Some some
, ,
as as
had have
Abed abed
, ,
would would
forget forget
the the
date date
. .
Some some
, ,
as as
had have
I i
, ,
would would
remember remember
. .
The the
report report
finished finish
and and
Abed abed
spoke speak
. .
" "
It it
is be
a a
pity pity
, ,
" "
he he
said say
, ,
" "
that that
the the
police police
in in
this this
country country
are be
not not
tough tough
enough enough
on on
bad bad
drivers driver
. .
" "
I i
was be
baffled baffle
. .
Abed abed
had have
said say
something something
remarkable remarkable
. .
Did do
it it
point point
up up
the the
degree degree
to to
which which
he he
' '
d d
absolved absolve
himself himself
of of
the the
crash crash
? ?
Was be
it it
evidence evidence
of of
guilt guilt
, ,
an an
assertion assertion
that that
he he
should should
have have
been be
put put
away away
longer longer
? ?
He he
' '
d d
served serve
six six
months month
in in
prison prison
, ,
lost lose
his his
truck truck
license license
for for
a a
decade decade
. .
I i
forgot forget
my my
discretion discretion
. .
" "
Um um
, ,
Abed abed
, ,
" "
I i
said say
, ,
" "
I i
thought think
you you
had have
a a
few few
driving driving
issues issue
before before
the the
crash crash
. .
" "
" "
Well well
, ,
" "
he he
said say
, ,
" "
I i
once once
went go
60 @card@
in in
a a
40 @card@
. .
" "
And and
so so
27 @card@
violations violation
— -
driving drive
through through
a a
red red
light light
, ,
driving drive
at at
excessive excessive
speed speed
, ,
driving drive
on on
the the
wrong wrong
side side
of of
a a
barrier barrier
, ,
and and
finally finally
, ,
riding ride
his his
brakes brake
down down
that that
hill hill
— -
reduced reduce
to to
one one
. .
And and
it it
was be
then then
I i
understood understand
that that
no no
matter matter
how how
stark stark
the the
reality reality
, ,
the the
human human
being being
fits fit
it it
into into
a a
narrative narrative
that that
is be
palatable palatable
. .
The the
goat goat
becomes become
the the
hero hero
. .
The the
perpetrator perpetrator
becomes become
the the
victim victim
. .
It it
was be
then then
I i
understood understand
that that
Abed abed
would would
never never
apologize apologize
. .
Abed abed
and and
I i
sat sit
with with
our our
coffee coffee
. .
We we
' '
d d
spent spend
90 @card@
minutes minute
together together
, ,
and and
he he
was be
now now
known know
to to
me me
. .
He he
was be
not not
a a
particularly particularly
bad bad
man man
or or
a a
particularly particularly
good good
man man
. .
He he
was be
a a
limited limited
man man
who who
' '
d d
found find
it it
within within
himself himself
to to
be be
kind kind
to to
me me
. .
With with
a a
nod nod
to to
Jewish jewish
custom custom
, ,
he he
told tell
me me
that that
I i
should should
live live
to to
be be
120 @card@
years year
old old
. .
But but
it it
was be
hard hard
for for
me me
to to
relate relate
to to
one one
who who
had have
so so
completely completely
washed wash
his his
hands hand
of of
his his
own own
calamitous calamitous
doing doing
, ,
to to
one one
whose whose
life life
was be
so so
unexamined unexamined
that that
he he
said say
he he
thought think
two two
people people
had have
died die
in in
the the
crash crash
. .
There there
was be
much much
I i
wished wish
to to
say say
to to
Abed abed
. .
I i
wished wish
to to
tell tell
him him
that that
, ,
were be
he he
to to
acknowledge acknowledge
my my
disability disability
, ,
it it
would would
be be
okay okay
, ,
for for
people people
are be
wrong wrong
to to
marvel marvel
at at
those those
like like
me me
who who
smile smile
as as
we we
limp limp
. .
People people
don don
' '
t t
know know
that that
they they
have have
lived live
through through
worse bad
, ,
that that
problems problem
of of
the the
heart heart
hit hit
with with
a a
force force
greater great
than than
a a
runaway runaway
truck truck
, ,
that that
problems problem
of of
the the
mind mind
are be
greater great
still still
, ,
more more
injurious injurious
, ,
than than
a a
hundred hundred
broken break
necks neck
. .
I i
wished wish
to to
tell tell
him him
that that
what what
makes make
most most
of of
us us
who who
we we
are be
most most
of of
all all
is be
not not
our our
minds mind
and and
not not
our our
bodies body
and and
not not
what what
happens happen
to to
us us
, ,
but but
how how
we we
respond respond
to to
what what
happens happen
to to
us us
. .
" "
This this
, ,
" "
wrote write
the the
psychiatrist psychiatrist
Viktor viktor
Frankl frankl
, ,
" "
is be
the the
last last
of of
the the
human human
freedoms freedom
: :
to to
choose choose
one one
' '
s s
attitude attitude
in in
any any
given give
set set
of of
circumstances circumstance
. .
" "
I i
wished wish
to to
tell tell
him him
that that
not not
only only
paralyzers paralyzer
and and
paralyzees paralyzees
must must
evolve evolve
, ,
reconcile reconcile
to to
reality reality
, ,
but but
we we
all all
must must
— -
the the
aging aging
and and
the the
anxious anxious
and and
the the
divorced divorce
and and
the the
balding balding
and and
the the
bankrupt bankrupt
and and
everyone everyone
. .
I i
wished wish
to to
tell tell
him him
that that
one one
does do
not not
have have
to to
say say
that that
a a
bad bad
thing thing
is be
good good
, ,
that that
a a
crash crash
is be
from from
God god
and and
so so
a a
crash crash
is be
good good
, ,
a a
broken break
neck neck
is be
good good
. .
One one
can can
say say
that that
a a
bad bad
thing thing
sucks suck
, ,
but but
that that
this this
natural natural
world world
still still
has have
many many
glories glory
. .
I i
wished wish
to to
tell tell
him him
that that
, ,
in in
the the
end end
, ,
our our
mandate mandate
is be
clear clear
: :
We we
have have
to to
rise rise
above above
bad bad
fortune fortune
. .
We we
have have
to to
be be
in in
the the
good good
and and
enjoy enjoy
the the
good good
, ,
study study
and and
work work
and and
adventure adventure
and and
friendship friendship
— -
oh oh
, ,
friendship friendship
— -
and and
community community
and and
love love
. .
But but
most most
of of
all all
, ,
I i
wished wish
to to
tell tell
him him
what what
Herman herman
Melville melville
wrote write
, ,
that that
" "
truly truly
to to
enjoy enjoy
bodily bodily
warmth warmth
, ,
some some
small small
part part
of of
you you
must must
be be
cold cold
, ,
for for
there there
is be
no no
quality quality
in in
this this
world world
that that
is be
not not
what what
it it
is be
merely merely
by by
contrast contrast
. .
" "
Yes yes
, ,
contrast contrast
. .
If if
you you
are be
mindful mindful
of of
what what
you you
do do
not not
have have
, ,
you you
may may
be be
truly truly
mindful mindful
of of
what what
you you
do do
have have
, ,
and and
if if
the the
gods god
are be
kind kind
, ,
you you
may may
truly truly
enjoy enjoy
what what
you you
have have
. .
That that
is be
the the
one one
singular singular
gift gift
you you
may may
receive receive
if if
you you
suffer suffer
in in
any any
existential existential
way way
. .
You you
know know
death death
, ,
and and
so so
may may
wake wake
each each
morning morning
pulsing pulse
with with
ready ready
life life
. .
Some some
part part
of of
you you
is be
cold cold
, ,
and and
so so
another another
part part
may may
truly truly
enjoy enjoy
what what
it it
is be
to to
be be
warm warm
, ,
or or
even even
to to
be be
cold cold
. .
When when
one one
morning morning
, ,
years year
after after
the the
crash crash
, ,
I i
stepped step
onto onto
stone stone
and and
the the
underside underside
of of
my my
left left
foot foot
felt feel
the the
flash flash
of of
cold cold
, ,
nerves nerve
at at
last last
awake awake
, ,
it it
was be
exhilarating exhilarate
, ,
a a
gust gust
of of
snow snow
. .
But but
I i
didn didn
' '
t t
say say
these these
things thing
to to
Abed abed
. .
I i
told tell
him him
only only
that that
he he
had have
killed kill
one one
man man
, ,
not not
two two
. .
I i
told tell
him him
the the
name name
of of
that that
man man
. .
And and
then then
I i
said say
, ,
" "
Goodbye goodbye
. .
" "
Thank thank
you you
. .
Thanks thanks
a a
lot lot
. .
