Well well
the the
DNA dna
molecule molecule
. .
So so
I i
wanted want
to to
work work
with with
him him
, ,
but but
he he
didn didn
' '
t t
want want
a a
former former
birdwatcher birdwatcher
, ,
and and
I i
ended end
up up
in in
Cambridge cambridge
, ,
England england
. .
So so
I i
went go
to to
Cambridge cambridge
, ,
because because
it it
was be
really really
the the
best good
place place
in in
the the
world world
then then
for for
x-ray x-ray
crystallography crystallography
. .
And and
x-ray x-ray
crystallography crystallography
is be
now now
a a
subject subject
in in
, ,
you you
know know
, ,
chemistry chemistry
departments department
. .
I i
mean mean
, ,
in in
those those
days day
it it
was be
the the
domain domain
of of
the the
physicists physicist
. .
So so
the the
best good
place place
for for
x-ray x-ray
crystallography crystallography
was be
at at
the the
Cavendish cavendish
Laboratory laboratory
at at
Cambridge cambridge
. .
And and
there there
I i
met meet
Francis francis
Crick crick
. .
I i
went go
there there
without without
knowing know
him him
. .
He he
was be
35 @card@
. .
I i
was be
23 @card@
. .
And and
within within
a a
day day
, ,
we we
had have
decided decide
that that
maybe maybe
we we
could could
take take
a a
shortcut shortcut
to to
finding find
the the
structure structure
of of
DNA dna
. .
Not not
solve solve
it it
like like
, ,
you you
know know
, ,
in in
rigorous rigorous
fashion fashion
, ,
but but
build build
a a
model model
, ,
an an
electro-model electro-model
, ,
using use
some some
coordinates coordinate
of of
, ,
you you
know know
, ,
length length
, ,
all all
that that
sort sort
of of
stuff stuff
from from
x-ray x-ray
photographs photograph
. .
But but
just just
ask ask
what what
the the
molecule molecule
â â
how how
should should
it it
fold fold
up up
? ?
And and
the the
reason reason
for for
doing do
so so
, ,
at at
the the
center center
of of
this this
photograph photograph
, ,
is be
Linus linus
Pauling pauling
. .
About about
six six
months month
before before
, ,
he he
proposed propose
the the
alpha alpha
helical helical
structure structure
for for
proteins protein
. .
And and
in in
doing do
so so
, ,
he he
banished banish
the the
man man
out out
on on
the the
right right
, ,
Sir sir
Lawrence lawrence
Bragg bragg
, ,
who who
was be
the the
Cavendish cavendish
professor professor
. .
This this
is be
a a
photograph photograph
several several
years year
later later
, ,
when when
Bragg bragg
had have
cause cause
to to
smile smile
. .
He he
certainly certainly
wasn wasn
' '
t t
smiling smile
when when
I i
got get
there there
, ,
because because
he he
was be
somewhat somewhat
humiliated humiliate
by by
Pauling pauling
getting get
the the
alpha alpha
helix helix
, ,
and and
the the
Cambridge cambridge
people people
failing fail
because because
they they
weren weren
' '
t t
chemists chemist
. .
And and
certainly certainly
, ,
neither neither
Crick crick
or or
I i
were be
chemists chemist
, ,
so so
we we
tried try
to to
build build
a a
model model
. .
And and
he he
knew know
, ,
Francis francis
knew know
Wilkins wilkins
. .
So so
Wilkins wilkins
said say
he he
thought think
it it
was be
the the
helix helix
. .
X-ray x-ray
diagram diagram
, ,
he he
thought think
was be
comparable comparable
with with
the the
helix helix
. .
So so
we we
built build
a a
three-stranded three-stranded
model model
. .
The the
people people
from from
London london
came come
up up
. .
Wilkins wilkins
and and
this this
collaborator collaborator
, ,
or or
possible possible
collaborator collaborator
, ,
Rosalind rosalind
Franklin franklin
, ,
came come
up up
and and
sort sort
of of
laughed laugh
at at
our our
model model
. .
They they
said say
it it
was be
lousy lousy
, ,
and and
it it
was be
. .
So so
we we
were be
told tell
to to
build build
no no
more more
models model
; ;
we we
were be
incompetent incompetent
. .
And and
so so
we we
didn didn
' '
t t
build build
any any
models model
, ,
and and
Francis francis
sort sort
of of
continued continue
to to
work work
on on
proteins protein
. .
And and
basically basically
, ,
I i
did do
nothing nothing
. .
And and
â â
except except
read read
. .
You you
know know
, ,
basically basically
, ,
reading reading
is be
a a
good good
thing thing
; ;
you you
get get
facts fact
. .
And and
we we
kept keep
telling tell
the the
people people
in in
London london
that that
Linus linus
Pauling pauling
' '
s s
going go
to to
move move
on on
to to
DNA dna
. .
If if
DNA dna
is be
that that
important important
, ,
Linus linus
will will
know know
it it
. .
He he
' '
ll ll
build build
a a
model model
, ,
and and
then then
we we
' '
re re
going go
to to
be be
scooped scoop
. .
And and
, ,
in in
fact fact
, ,
he he
' '
d d
written write
the the
people people
in in
London london
: :
Could could
he he
see see
their their
x-ray x-ray
photograph photograph
? ?
And and
they they
had have
the the
wisdom wisdom
to to
say say
" "
no no
. .
" "
So so
he he
didn didn
' '
t t
have have
it it
. .
But but
there there
was be
ones one
in in
the the
literature literature
. .
Actually actually
, ,
Linus linus
didn didn
' '
t t
look look
at at
them them
that that
carefully carefully
. .
But but
about about
, ,
oh oh
, ,
15 @card@
months month
after after
I i
got get
to to
Cambridge cambridge
, ,
a a
rumor rumor
began begin
to to
appear appear
from from
Linus linus
Pauling pauling
' '
s s
son son
, ,
who who
was be
in in
Cambridge cambridge
, ,
that that
his his
father father
was be
now now
working work
on on
DNA dna
. .
And and
so so
, ,
one one
day day
Peter peter
came come
in in
and and
he he
said say
he he
was be
Peter peter
Pauling pauling
, ,
and and
he he
gave give
me me
a a
copy copy
of of
his his
father father
' '
s s
manuscripts manuscript
. .
And and
boy boy
, ,
I i
was be
scared scare
because because
I i
thought think
, ,
you you
know know
, ,
we we
may may
be be
scooped scoop
. .
I i
have have
nothing nothing
to to
do do
, ,
no no
qualifications qualification
for for
anything anything
. .
And and
so so
there there
was be
the the
paper paper
, ,
and and
he he
proposed propose
a a
three-stranded three-stranded
structure structure
. .
And and
I i
read read
it it
, ,
and and
it it
was be
just just
â â
it it
was be
crap crap
. .
So so
this this
was be
, ,
you you
know know
, ,
unexpected unexpected
from from
the the
world world
' '
s s
â â
â â
and and
so so
, ,
it it
was be
held hold
together together
by by
hydrogen hydrogen
bonds bond
between between
phosphate phosphate
groups group
. .
Well well
, ,
if if
the the
peak peak
pH ph
that that
cells cell
have have
is be
around around
seven seven
, ,
those those
hydrogen hydrogen
bonds bond
couldn couldn
' '
t t
exist exist
. .
We we
rushed rush
over over
to to
the the
chemistry chemistry
department department
and and
said say
, ,
" "
Could could
Pauling pauling
be be
right right
? ?
" "
And and
Alex alex
Hust hust
said say
, ,
" "
No no
. .
" "
So so
we we
were be
happy happy
. .
And and
, ,
you you
know know
, ,
we we
were be
still still
in in
the the
game game
, ,
but but
we we
were be
frightened frighten
that that
somebody somebody
at at
Caltech caltech
would would
tell tell
Linus linus
that that
he he
was be
wrong wrong
. .
And and
so so
Bragg bragg
said say
, ,
" "
Build build
models model
. .
" "
And and
a a
month month
after after
we we
got get
the the
Pauling pauling
manuscript manuscript
â â
I i
should should
say say
I i
took take
the the
manuscript manuscript
to to
London london
, ,
and and
showed show
the the
people people
. .
Well well
, ,
I i
said say
, ,
Linus linus
was be
wrong wrong
and and
that that
we we
' '
re re
still still
in in
the the
game game
and and
that that
they they
should should
immediately immediately
start start
building building
models model
. .
But but
Wilkins wilkins
said say
" "
no no
. .
" "
Rosalind rosalind
Franklin franklin
was be
leaving leave
in in
about about
two two
months month
, ,
and and
after after
she she
left leave
he he
would would
start start
building building
models model
. .
And and
so so
I i
came come
back back
with with
that that
news news
to to
Cambridge cambridge
, ,
and and
Bragg bragg
said say
, ,
" "
Build build
models model
. .
" "
Well well
, ,
of of
course course
, ,
I i
wanted want
to to
build build
models model
. .
And and
there there
' '
s s
a a
picture picture
of of
Rosalind rosalind
. .
She she
really really
, ,
you you
know know
, ,
in in
one one
sense sense
she she
was be
a a
chemist chemist
, ,
but but
really really
she she
would would
have have
been be
trained trained
â â
she she
didn didn
' '
t t
know know
any any
organic organic
chemistry chemistry
or or
quantum quantum
chemistry chemistry
. .
She she
was be
a a
crystallographer crystallographer
. .
And and
I i
think think
part part
of of
the the
reason reason
she she
didn didn
' '
t t
want want
to to
build build
models model
was be
, ,
she she
wasn wasn
' '
t t
a a
chemist chemist
, ,
whereas whereas
Pauling pauling
was be
a a
chemist chemist
. .
And and
so so
Crick crick
and and
I i
, ,
you you
know know
, ,
started start
building building
models model
, ,
and and
I i
' '
d d
learned learn
a a
little little
chemistry chemistry
, ,
but but
not not
enough enough
. .
Well well
, ,
we we
got get
the the
answer answer
on on
the the
28th 28th
February february
' '
53 @card@
. .
And and
it it
was be
because because
of of
a a
rule rule
, ,
which which
, ,
to to
me me
, ,
is be
a a
very very
