Well well
â â
and and
then then
there there
' '
s s
only only
a a
sub-segment sub-segment
of of
the the
population population
that that
' '
s s
capable capable
of of
being be
schizophrenic schizophrenic
. .
Now now
, ,
we we
don don
' '
t t
have have
really really
any any
evidence evidence
of of
it it
, ,
but but
I i
think think
, ,
to to
give give
you you
a a
hypothesis hypothesis
, ,
the the
best good
guess guess
is be
that that
if if
you you
' '
re re
left-handed left-handed
, ,
you you
' '
re re
prone prone
to to
schizophrenia schizophrenia
. .
30 @card@
percent percent
of of
schizophrenic schizophrenic
people people
are be
left-handed left-handed
, ,
and and
schizophrenia schizophrenia
has have
a a
very very
funny funny
genetics genetics
, ,
which which
means mean
60 @card@
percent percent
of of
the the
people people
are be
genetically genetically
left-handed left-handed
, ,
but but
only only
half half
of of
it it
showed show
. .
I i
don don
' '
t t
have have
the the
time time
to to
say say
. .
Now now
, ,
some some
people people
who who
think think
they they
' '
re re
right-handed right-handed
are be
genetically genetically
left- left-
handed hand
. .
OK ok
. .
I i
' '
m m
just just
saying say
that that
, ,
if if
you you
think think
, ,
oh oh
, ,
I i
don don
' '
t t
carry carry
a a
left-handed left-handed
gene gene
so so
therefore therefore
my my
, ,
you you
know know
, ,
children child
won win
' '
t t
be be
at at
risk risk
of of
schizophrenia schizophrenia
. .
You you
might might
. .
OK ok
? ?
So so
it it
' '
s s
, ,
to to
me me
, ,
an an
extraordinarily extraordinarily
exciting exciting
time time
. .
We we
ought ought
to to
be be
able able
to to
find find
the the
gene gene
for for
bipolar bipolar
; ;
there there
' '
s s
a a
relationship relationship
. .
And and
if if
I i
had have
enough enough
money money
, ,
we we
' '
d d
find find
them them
all all
this this
year year
. .
I i
thank thank
you you
. .
