Chris chris
tiny tiny
cages cage
, ,
with with
people people
being be
contaminated contaminate
with with
blood blood
and and
urine urine
and and
feces feces
, ,
ideal ideal
conditions condition
for for
a a
virus virus
to to
spill spill
from from
an an
animal animal
to to
an an
animal animal
, ,
or or
an an
animal animal
to to
a a
person person
. .
CA ca
: :
I i
' '
d d
love love
to to
just just
dip dip
backwards backwards
in in
time time
for for
a a
bit bit
, ,
because because
your your
story story
is be
so so
extraordinary extraordinary
. .
I i
mean mean
, ,
despite despite
the the
arguably arguably
even even
more more
sexist sexist
attitudes attitude
of of
the the
1960s 1960s
, ,
somehow somehow
you you
were be
able able
to to
break break
through through
and and
become become
one one
of of
the the
world world
' '
s s
leading lead
scientists scientist
, ,
discovering discover
this this
astonishing astonishing
series series
of of
facts fact
about about
chimpanzees chimpanzee
, ,
such such
as as
their their
tool tool
use use
and and
so so
much much
more more
. .
What what
was be
it it
about about
you you
, ,
do do
you you
think think
, ,
that that
allowed allow
you you
to to
make make
such such
a a
breakthrough breakthrough
? ?
JG jg
: :
Well well
, ,
the the
thing thing
is be
, ,
I i
was be
born bear
loving loving
animals animal
, ,
and and
the the
most most
important important
thing thing
was be
, ,
I i
had have
a a
very very
supportive supportive
mother mother
. .
She she
didn didn
' '
t t
get get
mad mad
when when
she she
found find
earthworms earthworm
in in
my my
bed bed
, ,
she she
just just
said say
they they
better well
be be
in in
the the
garden garden
. .
And and
she she
didn didn
' '
t t
get get
mad mad
when when
I i
disappeared disappear
for for
four four
hours hour
and and
she she
called call
the the
police police
, ,
and and
I i
was be
sitting sit
in in
a a
hen hen
house house
, ,
because because
nobody nobody
would would
tell tell
me me
where where
the the
hole hole
was be
where where
the the
egg egg
came come
out out
. .
I i
had have
no no
dream dream
of of
being be
a a
scientist scientist
, ,
because because
women woman
didn didn
' '
t t
do do
that that
sort sort
of of
thing thing
. .
In in
fact fact
, ,
there there
weren weren
' '
t t
any any
man man
doing do
it it
back back
then then
, ,
either either
. .
And and
everybody everybody
laughed laugh
at at
me me
except except
Mom mom
, ,
who who
said say
, ,
" "
If if
you you
really really
want want
this this
, ,
you you
' '
re re
going go
to to
have have
to to
work work
awfully awfully
hard hard
, ,
take take
advantage advantage
of of
every every
opportunity opportunity
, ,
if if
you you
don don
' '
t t
give give
up up
, ,
maybe maybe
you you
' '
ll ll
find find
a a
way way
. .
" "
CA ca
: :
And and
somehow somehow
, ,
you you
were be
able able
to to
kind kind
of of
, ,
earn earn
the the
trust trust
of of
chimpanzees chimpanzee
in in
the the
way way
that that
no no
one one
else else
had have
. .
Looking look
back back
, ,
what what
were be
the the
most most
exciting exciting
moments moment
that that
you you
discovered discover
or or
what what
is be
it it
that that
people people
still still
don don
' '
t t
get get
about about
chimpanzees chimpanzee
? ?
JG jg
: :
Well well
, ,
the the
thing thing
is be
, ,
you you
say say
, ,
" "
See see
things thing
nobody nobody
else else
had have
, ,
get get
their their
trust trust
. .
" "
Nobody nobody
else else
had have
tried try
. .
Quite quite
honestly honestly
. .
So so
, ,
basically basically
, ,
I i
used use
the the
same same
techniques technique
that that
I i
had have
to to
study study
the the
animals animal
around around
my my
home home
when when
I i
was be
a a
child child
. .
Just just
sitting sit
, ,
patiently patiently
, ,
not not
trying try
to to
get get
too too
close close
too too
quickly quickly
, ,
but but
it it
was be
awful awful
, ,
because because
the the
money money
was be
only only
for for
six six
months month
. .
I i
mean mean
, ,
you you
can can
imagine imagine
how how
difficult difficult
to to
get get
money money
for for
a a
young young
girl girl
with with
no no
degree degree
, ,
to to
go go
and and
do do
something something
as as
bizarre bizarre
as as
sitting sit
in in
a a
forest forest
. .
And and
you you
know know
, ,
finally finally
, ,
we we
got get
money money
for for
six six
months month
from from
an an
American american
philanthropist philanthropist
, ,
and and
I i
knew know
with with
time time
I i
' '
d d
get get
the the
chimps chimp
' '
trust trust
, ,
but but
did do
I i
have have
time time
? ?
And and
weeks week
became become
months month
and and
then then
finally finally
, ,
after after
about about
four four
months month
, ,
one one
chimpanzee chimpanzee
began begin
to to
lose lose
his his
fear fear
, ,
and and
it it
was be
he he
that that
on on
one one
occasion occasion
I i
saw see
-- --
I i
still still
wasn wasn
' '
t t
really really
close close
, ,
but but
I i
had have
my my
binoculars binoculars
-- --
and and
I i
saw see
him him
using use
and and
making make
tools tool
to to
fish fish
for for
termites termite
. .
And and
although although
I i
wasn wasn
' '
t t
terribly terribly
surprised surprise
, ,
because because
I i
' '
ve ve
read read
about about
things thing
captive captive
chimps chimp
could could
do do
-- --
but but
I i
knew know
that that
science science
believed believe
that that
humans human
, ,
and and
only only
humans human
, ,
used use
and and
made make
tools tool
. .
And and
I i
knew know
how how
excited excited
[ [
Dr dr
. .
Louis louis
] ]
Leakey leakey
would would
be be
. .
And and
it it
was be
that that
observation observation
that that
enabled enable
him him
to to
go go
to to
the the
National national
Geographic geographic
, ,
and and
they they
said say
, ,
" "
OK ok
, ,
we we
' '
ll ll
continue continue
to to
support support
the the
research research
, ,
" "
and and
they they
sent send
Hugo hugo
van van
Lawick lawick
, ,
the the
photographer-filmmaker photographer-filmmaker
, ,
to to
record record
what what
I i
was be
seeing see
. .
So so
a a
lot lot
of of
scientists scientist
didn didn
' '
t t
want want
to to
believe believe
the the
tool-using tool-using
. .
In in
fact fact
, ,
one one
of of
them them
said say
I i
must must
have have
taught teach
the the
chimps chimp
. .
Since since
I i
couldn couldn
' '
t t
get get
near near
them them
, ,
it it
would would
have have
been be
a a
miracle miracle
. .
But but
anyway anyway
, ,
once once
they they
saw see
Hugo hugo
' '
s s
film film
and and
that that
with with
all all
my my
descriptions description
of of
their their
behavior behavior
, ,
the the
scientists scientist
had have
to to
start start
changing change
their their
minds mind
. .
CA ca
: :
And and
since since
then then
, ,
numerous numerous
other other
discoveries discovery
that that
placed place
chimpanzees chimpanzee
much much
closer closer
to to
humans human
than than
people people
cared care
to to
believe believe
. .
I i
think think
I i
saw see
you you
say say
at at
one one
point point
that that
they they
have have
a a
sense sense
of of
humor humor
. .
How how
have have
you you
seen see
that that
expressed express
? ?
JG jg
: :
Well well
, ,
you you
see see
it it
when when
they they
' '
re re
playing playing
games game
, ,
and and
there there
' '
s s
a a
bigger big
one one
playing playing
with with
a a
little little
one one
, ,
and and
he he
' '
s s
trailing trail
a a
vine vine
around around
a a
tree tree
. .
And and
every every
time time
the the
little little
one one
is be
about about
to to
catch catch
it it
, ,
the the
bigger big
one one
pulls pull
it it
away away
, ,
and and
the the
little little
one one
starts start
crying cry
and and
the the
big big
one one
starts start
laughing laughing
. .
So so
, ,
you you
know know
. .
CA ca
: :
And and
then then
, ,
Jane jane
, ,
you you
observed observe
something something
much much
more more
troubling troubling
, ,
which which
was be
these these
instances instance
of of
chimpanzee chimpanzee
gangs gang
, ,
tribes tribe
, ,
groups group
, ,
being be
brutally brutally
violent violent
to to
each each
other other
. .
I i
' '
m m
curious curious
how how
you you
process process
that that
. .
And and
whether whether
it it
made make
you you
, ,
kind kind
of of
, ,
I i
don don
' '
t t
know know
, ,
depressed depressed
about about
us us
, ,
we we
' '
re re
close close
to to
them them
, ,
did do
it it
make make
you you
feel feel
that that
violence violence
is be
irredeemably irredeemably
part part
of of
all all
the the
great great
apes ape
, ,
somehow somehow
? ?
JG jg
: :
Well well
, ,
it it
obviously obviously
is be
. .
And and
my my
first first
encounter encounter
with with
human human
, ,
what what
I i
call call
evil evil
, ,
was be
the the
end end
of of
the the
war war
and and
the the
pictures picture
from from
the the
Holocaust holocaust
. .
And and
you you
know know
, ,
that that
really really
shocked shock
me me
. .
That that
changed change
who who
I i
was be
. .
I i
was be
10 @card@
, ,
I i
think think
, ,
at at
the the
time time
. .
And and
when when
the the
chimpanzees chimpanzee
, ,
when when
I i
realized realize
they they
have have
this this
dark dark
, ,
brutal brutal
side side
, ,
I i
thought think
they they
were be
like like
us us
but but
nicer nice
. .
And and
then then
I i
realized realize
they they
' '
re re
even even
more more
like like
us us
than than
I i
had have
thought think
. .
And and
at at
that that
time time
, ,
in in
the the
early early
' '
70s 70s
, ,
it it
was be
very very
strange strange
, ,
aggression aggression
, ,
there there
was be
a a
big big
thing thing
about about
, ,
is be
aggression aggression
innate innate
or or
learned learn
. .
And and
it it
became become
political political
. .
And and
it it
was be
, ,
I i
don don
' '
t t
know know
, ,
it it
was be
a a
very very
strange strange
time time
, ,
and and
I i
was be
coming come
out out
, ,
saying say
, ,
" "
No no
, ,
I i
think think
aggression aggression
is be
definitely definitely
part part
of of
our our
inherited inherit
repertoire repertoire
of of
behaviors behavior
. .
" "
And and
I i
asked ask
a a
very very
respected respected
scientist scientist
what what
he he
really really
thought think
, ,
because because
he he
was be
coming come
out out
on on
the the
clean clean
slate slate
, ,
aggression aggression
is be
learned learn
, ,
and and
he he
said say
, ,
" "
Jane jane
, ,
I i
' '
d d
rather rather
not not
talk talk
about about
what what
I i
really really
think think
. .
" "
That that
was be
a a
big big
shock shock
as as
far far
as as
science science
was be
concerned concern
for for
me me
. .
CA ca
: :
I i
was be
brought bring
up up
to to
believe believe
a a
world world
of of
all all
things thing
bright bright
and and
beautiful beautiful
. .
You you
know know
, ,
numerous numerous
beautiful beautiful
films film
of of
butterflies butterfly
and and
bees bee
and and
flowers flower
, ,
and and
you you
know know
, ,
nature nature
as as
this this
gorgeous gorgeous
landscape landscape
. .
And and
many many
environmentalists environmentalist
often often
seem seem
to to
take take
the the
stance stance
, ,
" "
Yes yes
, ,
nature nature
is be
pure pure
, ,
nature nature
is be
beautiful beautiful
, ,
humans human
are be
bad bad
, ,
" "
but but
then then
you you
have have
the the
kind kind
of of
observations observation
that that
you you
see see
, ,
when when
you you
actually actually
look look
at at
any any
part part
of of
nature nature
in in
more more
detail detail
, ,
you you
see see
things thing
to to
be be
terrified terrify
by by
, ,
honestly honestly
. .
What what
do do
you you
make make
of of
nature nature
, ,
how how
do do
you you
think think
of of
it it
, ,
how how
should should
we we
think think
of of
it it
? ?
JG jg
: :
Nature nature
is be
, ,
you you
know know
, ,
I i
mean mean
, ,
you you
think think
of of
the the
whole whole
spectrum spectrum
of of
evolution evolution
, ,
and and
there there
' '
s s
something something
about about
going go
to to
a a
pristine pristine
place place
, ,
and and
Africa africa
was be
very very
pristine pristine
when when
I i
was be
young young
. .
And and
there there
were be
animals animal
everywhere everywhere
. .
And and
I i
never never
liked like
the the
fact fact
that that
lions lion
killed kill
, ,
they they
have have
to to
, ,
I i
mean mean
, ,
that that
' '
s s
what what
they they
do do
, ,
if if
they they
didn didn
' '
t t
kill kill
animals animal
, ,
they they
would would
die die
. .
And and
the the
big big
difference difference
between between
them them
and and
us us
, ,
I i
think think
, ,
is be
that that
they they
do do
what what
they they
do do
because because
that that
' '
s s
what what
they they
have have
to to
do do
. .
And and
we we
can can
plan plan
to to
do do
things thing
. .
Our our
plans plan
are be
very very
different different
. .
We we
can can
plan plan
to to
cut cut
down down
a a
whole whole
forest forest
, ,
because because
we we
want want
to to
sell sell
the the
timber timber
, ,
or or
because because
we we
want want
to to
build build
another another
shopping shopping
mall mall
, ,
something something
like like
that that
. .
So so
our our
destruction destruction
of of
nature nature
and and
our our
warfare warfare
, ,
we we
' '
re re
capable capable
of of
evil evil
because because
we we
can can
sit sit
comfortably comfortably
and and
plan plan
the the
torture torture
of of
somebody somebody
far far
away away
. .
That that
' '
s s
evil evil
. .
Chimpanzees chimpanzee
have have
a a
sort sort
of of
primitive primitive
war war
, ,
and and
they they
can can
be be
very very
aggressive aggressive
, ,
but but
it it
' '
s s
of of
the the
moment moment
. .
It it
' '
s s
how how
they they
feel feel
. .
It it
' '
s s
response response
to to
an an
emotion emotion
. .
CA ca
: :
So so
your your
observation observation
of of
the the
sophistication sophistication
of of
chimpanzees chimpanzee
doesn doesn
' '
t t
go go
as as
far far
as as
what what
some some
people people
would would
want want
to to
say say
is be
the the
sort sort
of of
the the
human human
superpower superpower
, ,
of of
being be
able able
to to
really really
simulate simulate
the the
future future
in in
our our
minds mind
in in
great great
detail detail
and and
make make
long-term long-term
plans plan
. .
And and
act act
to to
encourage encourage
each each
other other
to to
achieve achieve
those those
long-term long-term
plans plan
. .
That that
that that
feels feel
, ,
even even
to to
someone someone
who who
spent spend
so so
much much
time time
with with
chimpanzees chimpanzee
, ,
that that
feels feel
like like
a a
fundamentally fundamentally
different different
skill skill
set set
that that
we we
just just
have have
to to
take take
responsibility responsibility
for for
and and
use use
much much
more more
wisely wisely
than than
we we
do do
. .
JG jg
: :
Yes yes
, ,
and and
I i
personally personally
think think
, ,
I i
mean mean
, ,
there there
' '
s s
a a
lot lot
of of
discussion discussion
about about
this this
, ,
but but
I i
think think
it it
' '
s s
a a
fact fact
that that
we we
developed develop
the the
way way
of of
communication communication
that that
you you
and and
I i
are be
using use
. .
And and
because because
we we
have have
words word
, ,
I i
mean mean
, ,
animal animal
communication communication
is be
way way
more more
sophisticated sophisticated
than than
we we
used use
to to
think think
. .
And and
chimpanzees chimpanzee
, ,
gorillas gorilla
, ,
orangutans orangutan
can can
learn learn
human human
sign sign
language language
of of
the the
Deaf deaf
. .
But but
we we
sort sort
of of
grow grow
up up
speaking speak
whatever whatever
language language
it it
is be
. .
So so
I i
can can
tell tell
you you
about about
things thing
that that
you you
' '
ve ve
never never
heard hear
of of
. .
And and
a a
chimpanzee chimpanzee
couldn couldn
' '
t t
do do
that that
. .
And and
we we
can can
teach teach
our our
children child
about about
abstract abstract
things thing
. .
And and
chimpanzees chimpanzee
couldn couldn
' '
t t
do do
that that
. .
So so
yes yes
, ,
chimpanzees chimpanzee
can can
do do
all all
sorts sort
of of
clever clever
things thing
, ,
and and
so so
can can
elephants elephant
and and
so so
can can
crows crow
and and
so so
can can
octopuses octopus
, ,
but but
we we
design design
rockets rocket
that that
go go
off off
to to
another another
planet planet
and and
little little
robots robot
taking take
photographs photograph
, ,
and and
we we
' '
ve ve
designed design
this this
extraordinary extraordinary
way way
of of
you you
and and
me me
talking talk
in in
our our
different different
parts part
of of
the the
world world
. .
When when
I i
was be
young young
, ,
when when
I i
grew grow
up up
, ,
there there
was be
no no
TV tv
, ,
there there
were be
no no
cell cell
phones phone
, ,
there there
was be
no no
computers computer
. .
It it
was be
such such
a a
different different
world world
, ,
I i
had have
a a
pencil pencil
, ,
pen pen
and and
notebook notebook
, ,
that that
was be
it it
. .
CA ca
: :
So so
just just
going go
back back
to to
this this
question question
about about
nature nature
, ,
because because
I i
think think
about about
this this
a a
lot lot
, ,
and and
I i
struggle struggle
with with
this this
, ,
honestly honestly
. .
So so
much much
of of
your your
work work
, ,
so so
much much
of of
so so
many many
people people
who who
I i
respect respect
, ,
is be
about about
this this
passion passion
for for
trying try
not not
to to
screw screw
up up
the the
natural natural
world world
. .
So so
is be
it it
possible possible
, ,
is be
it it
healthy healthy
, ,
is be
it it
essential essential
, ,
perhaps perhaps
, ,
to to
simultaneously simultaneously
accept accept
that that
many many
aspects aspect
of of
nature nature
are be
terrifying terrifying
, ,
but but
also also
, ,
I i
don don
' '
t t
know know
, ,
that that
it it
' '
s s
awesome awesome
, ,
and and
that that
some some
of of
the the
awesomeness awesomeness
comes come
from from
its its
potential potential
to to
be be
terrifying terrifying
and and
that that
it it
is be
also also
just just
breathtakingly breathtakingly
beautiful beautiful
, ,
and and
that that
we we
cannot can
be be
ourselves ourselves
, ,
because because
we we
are be
part part
of of
nature nature
, ,
we we
cannot can
be be
whole whole
unless unless
we we
somehow somehow
embrace embrace
it it
and and
are be
part part
of of
it it
? ?
Help help
me me
with with
the the
language language
, ,
Jane jane
, ,
on on
how how
that that
relationship relationship
should should
be be
. .
JG jg
: :
Well well
, ,
I i
think think
one one
of of
the the
problems problem
is be
, ,
you you
know know
, ,
as as
we we
developed develop
our our
intellect intellect
, ,
and and
we we
became become
better well
and and
better well
at at
modifying modify
the the
environment environment
for for
our our
own own
use use
, ,
and and
creating create
fields field
and and
growing grow
crops crop
where where
it it
used use
to to
be be
forest forest
or or
woodland woodland
, ,
and and
you you
know know
, ,
we we
won win
' '
t t
go go
into into
that that
now now
, ,
but but
we we
have have
this this
ability ability
to to
change change
nature nature
. .
And and
as as
we we
' '
ve ve
moved move
more more
into into
towns town
and and
cities city
, ,
and and
relied rely
more more
on on
technology technology
, ,
many many
people people
feel feel
so so
divorced divorce
from from
the the
natural natural
world world
. .
And and
there there
' '
s s
hundreds hundred
, ,
thousands thousand
of of
children child
growing grow
up up
in in
inner inner
cities city
, ,
where where
there there
basically basically
isn isn
' '
t t
any any
nature nature
, ,
which which
is be
why why
this this
movement movement
now now
to to
green green
our our
cities city
is be
so so
important important
. .
And and
you you
know know
, ,
they they
' '
ve ve
done do
experiments experiment
, ,
I i
think think
it it
was be
in in
Chicago chicago
, ,
I i
' '
m m
not not
quite quite
sure sure
, ,
and and
there there
were be
various various
empty empty
lots lot
in in
a a
very very
violent violent
part part
of of
town town
. .
So so
in in
some some
of of
those those
areas area
they they
made make
it it
green green
, ,
they they
put put
trees tree
and and
flowers flower
and and
things thing
, ,
shrubs shrub
in in
these these
vacant vacant
lots lot
. .
And and
the the
crime crime
rate rate
went go
right right
down down
. .
So so
then then
of of
course course
, ,
they they
put put
trees tree
in in
the the
other other
half half
. .
So so
it it
just just
shows show
, ,
and and
also also
, ,
there there
have have
been be
studies study
done do
showing show
that that
children child
really really
need need
green green
nature nature
for for
good good
psychological psychological
development development
. .
But but
we we
are be
, ,
as as
you you
say say
, ,
part part
of of
nature nature
and and
we we
disrespect disrespect
it it
, ,
as as
we we
are be
, ,
and and
that that
is be
so so
terrible terrible
for for
our our
children child
and and
our our
children child
' '
s s
children child
, ,
because because
we we
rely rely
on on
nature nature
for for
clean clean
air air
, ,
clean clean
water water
, ,
for for
regulating regulate
climate climate
and and
rainfall rainfall
. .
Look look
what what
we we
' '
ve ve
done do
, ,
look look
at at
the the
climate climate
crisis crisis
. .
That that
' '
s s
us us
. .
We we
did do
that that
. .
CA ca
: :
So so
a a
little little
over over
30 @card@
years year
ago ago
, ,
you you
made make
this this
shift shift
from from
scientist scientist
mainly mainly
to to
activist activist
mainly mainly
, ,
I i
guess guess
. .
Why why
? ?
JG jg
: :
Conference conference
in in
1986 @card@
, ,
scientific scientific
one one
, ,
I i
' '
d d
got get
my my
PhD phd
by by
then then
and and
it it
was be
to to
find find
out out
how how
chimp chimp
behavior behavior
differed differ
, ,
if if
it it
did do
, ,
from from
one one
environment environment
to to
another another
. .
There there
were be
six six
study study
sites site
across across
Africa africa
. .
So so
we we
thought think
, ,
let let
' '
s s
bring bring
these these
scientists scientist
together together
and and
explore explore
this this
, ,
which which
was be
fascinating fascinating
. .
But but
we we
also also
had have
a a
session session
on on
conservation conservation
and and
a a
session session
on on
conditions condition
in in
some some
captive captive
situations situation
like like
medical medical
research research
. .
And and
those those
two two
sessions session
were be
so so
shocking shocking
to to
me me
. .
I i
went go
to to
the the
conference conference
a a
a a
scientist scientist
, ,
and and
I i
left leave
as as
an an
activist activist
. .
I i
didn didn
' '
t t
make make
the the
decision decision
, ,
something something
happened happen
inside inside
me me
. .
CA ca
: :
So so
you you
spent spend
the the
last last
34 @card@
years year
sort sort
of of
tirelessly tirelessly
campaigning campaign
for for
a a
better good
relationship relationship
between between
people people
and and
nature nature
. .
What what
should should
that that
relationship relationship
look look
like like
? ?
JG jg
: :
Well well
, ,
you you
know know
, ,
again again
you you
come come
up up
with with
all all
these these
problems problem
. .
People people
have have
to to
have have
space space
to to
live live
. .
But but
I i
think think
the the
problem problem
is be
that that
we we
' '
ve ve
become become
, ,
in in
the the
affluent affluent
societies society
, ,
too too
greedy greedy
. .
I i
mean mean
, ,
honestly honestly
, ,
who who
needs need
four four
houses house
with with
huge huge
grounds ground
? ?
And and
why why
do do
we we
need need
yet yet
another another
shopping shopping
mall mall
? ?
And and
so so
on on
and and
so so
on on
. .
So so
we we
are be
looking look
at at
short-term short-term
economic economic
benefit benefit
, ,
money money
has have
become become
a a
sort sort
of of
god god
to to
worship worship
, ,
as as
we we
lose lose
all all
spiritual spiritual
connection connection
with with
the the
natural natural
world world
. .
And and
so so
we we
' '
re re
looking look
for for
short-term short-term
monetary monetary
gain gain
, ,
or or
power power
, ,
rather rather
than than
the the
health health
of of
the the
planet planet
and and
the the
future future
of of
our our
children child
. .
We we
don don
' '
t t
seem seem
to to
care care
about about
that that
anymore anymore
. .
That that
' '
s s
why why
I i
' '
ll ll
never never
stop stop
fighting fight
. .
CA ca
: :
I i
mean mean
, ,
in in
your your
work work
specifically specifically
on on
chimpanzee chimpanzee
conservation conservation
, ,
you you
' '
ve ve
made make
it it
practice practice
to to
put put
people people
at at
the the
center center
of of
that that
, ,
local local
people people
, ,
to to
engage engage
them them
. .
How how
has have
that that
worked work
and and
do do
you you
think think
that that
' '
s s
an an
essential essential
idea idea
if if
we we
' '
re re
to to
succeed succeed
in in
protecting protect
the the
planet planet
? ?
JG jg
: :
You you
know know
, ,
after after
that that
famous famous
conference conference
, ,
I i
thought think
, ,
well well
, ,
I i
must must
learn learn
more more
about about
why why
chimps chimp
are be
vanishing vanish
in in
Africa africa
and and
what what
' '
s s
happening happen
to to
the the
forest forest
. .
So so
I i
got get
a a
bit bit
of of
money money
together together
and and
went go
out out
to to
visit visit
six six
range range
countries country
. .
And and
learned learn
a a
lot lot
about about
the the
problems problem
faced face
by by
chimps chimp
, ,
you you
know know
, ,
hunting hunt
for for
bushmeat bushmeat
and and
the the
live live
animal animal
trade trade
and and
caught catch
in in
snares snare
and and
human human
populations population
growing grow
and and
needing need
more more
land land
for for
their their
crops crop
and and
their their
cattle cattle
and and
their their
villages village
. .
But but
I i
was be
also also
learning learn
about about
the the
plight plight
faced face
by by
so so
many many
people people
. .
The the
absolute absolute
poverty poverty
, ,
the the
lack lack
of of
health health
and and
education education
, ,
the the
degradation degradation
of of
the the
land land
. .
And and
it it
came come
to to
a a
head head
when when
I i
flew fly
over over
the the
tiny tiny
Gombe gombe
National national
Park park
. .
It it
had have
been be
part part
of of
this this
equatorial equatorial
forest forest
belt belt
right right
across across
Africa africa
to to
the the
west west
coast coast
, ,
and and
in in
1990 @card@
, ,
it it
was be
just just
this this
little little
island island
of of
forest forest
, ,
just just
tiny tiny
national national
park park
. .
All all
around around
, ,
the the
hills hill
were be
bare bare
. .
And and
that that
' '
s s
when when
it it
hit hit
me me
. .
If if
we we
don don
' '
t t
do do
something something
to to
help help
the the
people people
find find
ways way
of of
living live
without without
destroying destroy
their their
environment environment
, ,
we we
can can
' '
t t
even even
try try
to to
save save
the the
chimps chimp
. .
So so
the the
Jane jane
Goodall goodall
Institute institute
began begin
this this
program program
" "
Take take
Care care
, ,
" "
we we
call call
it it
" "
TACARE tacare
. .
" "
And and
it it
' '
s s
our our
method method
of of
community-based community-based
conservation conservation
, ,
totally totally
holistic holistic
. .
And and
we we
' '
ve ve
now now
put put
the the
tools tool
of of
conservation conservation
into into
the the
hand hand
of of
the the
villagers villager
, ,
because because
most most
Tanzanian tanzanian
wild wild
chimps chimp
are be
not not
in in
protected protected
areas area
, ,
they they
' '
re re
just just
in in
the the
village village
forest forest
reserves reserve
. .
And and
so so
, ,
they they
now now
go go
and and
measure measure
the the
health health
of of
their their
forest forest
. .
They they
' '
ve ve
understood understand
now now
that that
protecting protect
the the
forest forest
isn isn
' '
t t
just just
for for
wildlife wildlife
, ,
it it
' '
s s
their their
own own
future future
. .
That that
they they
need need
the the
forest forest
. .
And and
they they
' '
re re
very very
proud proud
. .
The the
volunteers volunteer
go go
to to
workshops workshop
, ,
they they
learn learn
how how
to to
use use
smartphones smartphone
, ,
they they
learn learn
how how
to to
upload upload
into into
platform platform
and and
the the
cloud cloud
. .
And and
so so
it it
' '
s s
all all
transparent transparent
. .
And and
the the
trees tree
have have
come come
back back
, ,
there there
' '
s s
no no
bare bare
hills hill
anymore anymore
. .
They they
agreed agree
to to
make make
a a
buffer buffer
zone zone
around around
Gombe gombe
, ,
so so
the the
chimps chimp
have have
more more
forest forest
than than
they they
did do
in in
1990 @card@
. .
They they
' '
re re
opening open
up up
corridors corridor
of of
forest forest
to to
link link
the the
scattered scattered
chimp chimp
groups group
so so
that that
you you
don don
' '
t t
get get
too too
much much
inbreeding inbreeding
. .
So so
yes yes
, ,
it it
' '
s s
worked work
, ,
and and
it it
' '
s s
in in
six six
other other
countries country
now now
. .
Same same
thing thing
. .
CA ca
: :
I i
mean mean
, ,
you you
' '
ve ve
been be
this this
extraordinary extraordinary
tireless tireless
voice voice
, ,
all all
around around
the the
world world
, ,
just just
traveling travel
so so
much much
, ,
speaking speak
everywhere everywhere
, ,
inspiring inspiring
people people
everywhere everywhere
. .
How how
on on
earth earth
do do
you you
find find
the the
energy energy
, ,
you you
know know
, ,
the the
fire fire
to to
do do
that that
, ,
because because
that that
is be
exhausting exhaust
to to
do do
, ,
every every
meeting meeting
with with
lots lot
of of
people people
, ,
it it
is be
just just
physically physically
exhausting exhausting
, ,
and and
yet yet
, ,
here here
you you
are be
, ,
still still
doing do
it it
. .
How how
are be
you you
doing do
this this
, ,
Jane jane
? ?
JG jg
: :
Well well
, ,
I i
suppose suppose
, ,
you you
know know
, ,
I i
' '
m m
obstinate obstinate
, ,
I i
don don
' '
t t
like like
giving give
up up
, ,
but but
I i
' '
m m
not not
going go
to to
let let
these these
CEOs ceo
of of
big big
companies company
who who
are be
destroying destroy
the the
forests forest
, ,
or or
the the
politicians politician
who who
are be
unraveling unravel
all all
the the
protections protection
that that
were be
put put
in in
place place
by by
previous previous
presidents president
, ,
and and
you you
know know
who who
I i
