Chris chris
Anderson anderson
: :
Dr dr
. .
Jane jane
Goodall goodall
, ,
welcome welcome
. .
Jane jane
Goodall goodall
: :
Thank thank
you you
, ,
and and
I i
think think
, ,
you you
know know
, ,
we we
couldn couldn
' '
t t
have have
a a
complete complete
interview interview
unless unless
people people
know know
Mr mr
. .
H h
is be
with with
me me
, ,
because because
everybody everybody
knows know
Mr mr
. .
H h
. .
CA ca
: :
Hello hello
, ,
Mr mr
. .
H h
. .
In in
your your
TED ted
Talk talk
17 @card@
years year
ago ago
, ,
you you
warned warn
us us
about about
the the
dangers danger
of of
humans human
crowding crowd
out out
the the
natural natural
world world
. .
Is be
there there
any any
sense sense
in in
which which
you you
feel feel
that that
the the
current current
pandemic pandemic
is be
kind kind
of of
, ,
nature nature
striking strike
back back
? ?
JG jg
: :
It it
' '
s s
very very
, ,
very very
clear clear
that that
these these
zoonotic zoonotic
diseases disease
, ,
like like
the the
corona corona
and and
HIV hiv
/ /
AIDS aids
and and
all all
sorts sort
of of
other other
diseases disease
that that
we we
catch catch
from from
animals animal
, ,
that that
' '
s s
partly partly
to to
do do
with with
destruction destruction
of of
the the
environment environment
, ,
which which
, ,
as as
animals animal
lose lose
habitat habitat
, ,
they they
get get
crowded crowd
together together
and and
sometimes sometimes
that that
means mean
that that
a a
virus virus
from from
a a
reservoir reservoir
species species
, ,
where where
it it
' '
s s
lived live
harmoniously harmoniously
for for
maybe maybe
hundreds hundred
of of
years year
, ,
jumps jump
into into
a a
new new
species species
, ,
then then
you you
also also
get get
animals animal
being be
pushed push
into into
closer close
contact contact
with with
humans human
. .
And and
sometimes sometimes
one one
of of
these these
animals animal
that that
has have
caught catch
a a
virus virus
can can
-- --
you you
know know
, ,
provides provide
the the
opportunity opportunity
for for
that that
virus virus
to to
jump jump
into into
people people
and and
create create
a a
new new
disease disease
, ,
like like
COVID-19 covid-19
. .
And and
in in
addition addition
to to
that that
, ,
we we
are be
so so
disrespecting disrespect
animals animal
. .
We we
hunt hunt
them them
, ,
we we
kill kill
them them
, ,
we we
eat eat
them them
, ,
we we
traffic traffic
them them
, ,
we we
send send
them them
off off
to to
the the
wild-animal wild-animal
markets market
in in
Asia asia
, ,
where where
they they
' '
re re
in in
terrible terrible
, ,
cramped cramped
conditions condition
, ,
in in
