Power	NP	Power
is	VBZ	be
shifting	VBG	shift
.	SENT	.
History	NN	history
has	VBZ	have
taught	VBN	teach
us	PP	us
that	IN	that
technology	NN	technology
will	MD	will
take	VB	take
power	NN	power
from	IN	from
the	DT	the
establishment	NN	establishment
,	,	,
and	CC	and
give	VB	give
it	PP	it
to	TO	to
individuals	NNS	individual
.	SENT	.
Give	VB	give
it	PP	it
to	TO	to
people	NNS	people
.	SENT	.
This	DT	this
has	VBZ	have
been	VBN	be
true	JJ	true
since	IN	since
before	IN	before
the	DT	the
advent	NN	advent
of	IN	of
the	DT	the
printing	NN	printing
press	NN	press
.	SENT	.
Long	RB	long
before	RB	before
.	SENT	.
But	CC	but
the	DT	the
path	NN	path
is	VBZ	be
not	RB	not
a	DT	a
straight	JJ	straight
line	NN	line
,	,	,
there	EX	there
are	VBP	be
always	RB	always
bumps	NNS	bump
and	CC	and
detours	NNS	detour
along	IN	along
the	DT	the
way	NN	way
,	,	,
and	CC	and
the	DT	the
internet	NN	Internet
is	VBZ	be
no	DT	no
exception	NN	exception
.	SENT	.
The	DT	the
original	JJ	original
promise	NN	promise
of	IN	of
the	DT	the
internet	NN	Internet
was	VBD	be
to	TO	to
push	VB	push
power	NN	power
down	RB	down
into	IN	into
the	DT	the
hands	NNS	hand
of	IN	of
people	NNS	people
,	,	,
and	CC	and
to	TO	to
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
.	SENT	.
It	PP	it
has	VBZ	have
weakened	VBN	weaken
yesterday	NN	yesterday
'	POS	'
s	NN	S
gatekeepers	NNS	gatekeeper
,	,	,
music	NN	music
labels	NNS	label
,	,	,
news	NN	news
publications	NNS	publication
,	,	,
TV	NN	TV
networks	NNS	network
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
all	RB	all
lost	VBD	lose
much	RB	much
of	IN	of
their	PP$	their
power	NN	power
and	CC	and
prestige	NN	prestige
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
the	DT	the
internet	NN	Internet
has	VBZ	have
created	VBN	create
a	DT	a
new	JJ	new
establishment	NN	establishment
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
pushed	VBD	push
power	NN	power
into	IN	into
the	DT	the
broadest	JJS	broad
of	IN	of
platforms	NNS	platform
,	,	,
like	IN	like
Instagram	NP	<unknown>
.	SENT	.
This	DT	this
was	VBD	be
unexpected	JJ	unexpected
.	SENT	.
But	CC	but
I	PP	I
believe	VBP	believe
that	IN	that
,	,	,
over	IN	over
the	DT	the
broad	JJ	broad
arc	NN	arc
of	IN	of
history	NN	history
,	,	,
that	IN	that
this	DT	this
unexpected	JJ	unexpected
outcome	NN	outcome
,	,	,
this	DT	this
concentration	NN	concentration
of	IN	of
power	NN	power
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
a	DT	a
handful	NN	handful
of	IN	of
platforms	NNS	platform
,	,	,
is	VBZ	be
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
long-lasting	JJ	long-lasting
trend	NN	trend
.	SENT	.
Over	IN	over
the	DT	the
next	JJ	next
ten	CD	ten
years	NNS	year
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
see	VB	see
a	DT	a
dramatic	JJ	dramatic
shift	NN	shift
in	IN	in
power	NN	power
,	,	,
away	RB	away
from	IN	from
platforms	NNS	platform
like	IN	like
the	DT	the
one	CD	one
that	IN	that
my	PP$	my
team	NN	team
and	CC	and
I	PP	I
are	VBP	be
responsible	JJ	responsible
for	IN	for
,	,	,
and	CC	and
to	TO	to
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
I	PP	I
like	VBP	like
