There	EX	there
in	IN	in
the	DT	the
second	JJ	second
part	NN	part
:	:	:
the	DT	the
two	CD	two
great	JJ	great
World	NP	World
Wars	NPS	Wars
.	SENT	.
Mao	NP	Mao
Zedong	NP	<unknown>
used	VBD	use
to	TO	to
refer	VB	refer
to	TO	to
them	PP	them
as	IN	as
the	DT	the
European	JJ	European
civil	JJ	civil
wars	NNS	war
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
a	DT	a
more	RBR	more
accurate	JJ	accurate
way	NN	way
of	IN	of
describing	VBG	describe
them	PP	them
.	SENT	.
Well	RB	well
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
we	PP	we
live	VBP	live
at	IN	at
one	CD	one
of	IN	of
those	DT	those
times	NNS	time
.	SENT	.
But	CC	but
for	IN	for
us	PP	us
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	RB	about
three	CD	three
factors	NNS	factor
today	NN	today
.	SENT	.
And	CC	and
the	DT	the
first	JJ	first
of	IN	of
these	DT	these
,	,	,
the	DT	the
first	JJ	first
two	CD	two
of	IN	of
these	DT	these
,	,	,
is	VBZ	be
about	RB	about
a	DT	a
shift	NN	shift
in	IN	in
power	NN	power
.	SENT	.
And	CC	and
the	DT	the
second	NN	second
is	VBZ	be
about	RB	about
some	DT	some
new	JJ	new
dimension	NN	dimension
which	WDT	which
I	PP	I
want	VBP	want
to	TO	to
refer	VB	refer
to	TO	to
,	,	,
which	WDT	which
has	VBZ	have
never	RB	never
quite	RB	quite
happened	VBN	happen
in	IN	in
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
the	DT	the
shifts	NNS	shift
of	IN	of
power	NN	power
that	WDT	that
are	VBP	be
occurring	VBG	occur
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
happening	VBG	happen
today	NN	today
is	VBZ	be
,	,	,
in	IN	in
one	CD	one
sense	NN	sense
,	,	,
frightening	JJ	frightening
because	IN	because
it	PP	it
'	POS	'
s	NN	S
never	RB	never
happened	VBD	happen
before	RB	before
.	SENT	.
We	PP	we
have	VBP	have
seen	VBN	see
lateral	JJ	lateral
shifts	NNS	shift
of	IN	of
power	NN	power
—	:	-
the	DT	the
power	NN	power
of	IN	of
Greece	NP	Greece
passed	VBD	pass
to	TO	to
Rome	NP	Rome
and	CC	and
the	DT	the
power	NN	power
shifts	NNS	shift
that	WDT	that
occurred	VBD	occur
during	IN	during
the	DT	the
European	JJ	European
civilizations	NNS	civilization
—	:	-
but	CC	but
we	PP	we
are	VBP	be
seeing	VBG	see
something	NN	something
slightly	RB	slightly
different	JJ	different
.	SENT	.
For	IN	for
power	NN	power
is	VBZ	be
not	RB	not
just	RB	just
moving	VBG	move
laterally	RB	laterally
from	IN	from
nation	NN	nation
to	TO	to
nation	NN	nation
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
moving	VBG	move
vertically	RB	vertically
.	SENT	.
What	WP	what
'	POS	'
s	JJ	<unknown>
happening	VBG	happen
today	NN	today
is	VBZ	be
that	IN	that
the	DT	the
power	NN	power
that	WDT	that
was	VBD	be
encased	VBN	encase
,	,	,
held	VBN	hold
to	TO	to
accountability	NN	accountability
,	,	,
held	VBN	hold
to	TO	to
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
,	,	,
within	IN	within
the	DT	the
institution	NN	institution
of	IN	of
the	DT	the
nation	NN	nation
state	NN	state
has	VBZ	have
now	RB	now
migrated	VBN	migrate
in	IN	in
very	RB	very
large	JJ	large
measure	NN	measure
onto	IN	onto
the	DT	the
global	JJ	global
stage	NN	stage
.	SENT	.
The	DT	the
globalization	NN	globalization
of	IN	of
power	NN	power
—	:	-
we	PP	we
talk	VBP	talk
about	IN	about
the	DT	the
globalization	NN	globalization
of	IN	of
markets	NNS	market
,	,	,
but	CC	but
actually	RB	actually
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
globalization	NN	globalization
of	IN	of
real	JJ	real
power	NN	power
.	SENT	.
And	CC	and
where	WRB	where
,	,	,
at	IN	at
the	DT	the
nation	NN	nation
state	NN	state
level	NN	level
that	IN	that
power	NN	power
is	VBZ	be
held	VBN	hold
to	TO	to
accountability	NN	accountability
subject	NN	subject
to	TO	to
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
,	,	,
on	IN	on
the	DT	the
international	JJ	international
stage	NN	stage
it	PP	it
is	VBZ	be
not	RB	not
.	SENT	.
The	DT	the
international	JJ	international
stage	NN	stage
and	CC	and
the	DT	the
global	JJ	global
stage	NN	stage
where	WRB	where
power	NN	power
now	RB	now
resides	VBZ	reside
:	:	:
the	DT	the
power	NN	power
of	IN	of
the	DT	the
Internet	NN	Internet
,	,	,
the	DT	the
power	NN	power
of	IN	of
the	DT	the
satellite	JJ	satellite
broadcasters	NNS	broadcaster
,	,	,
the	DT	the
power	NN	power
of	IN	of
the	DT	the
money	NN	money
changers	NNS	changer
—	:	-
this	DT	this
vast	JJ	vast
money-go-round	NN	money-go-round
that	WDT	that
circulates	VBZ	circulate
now	RB	now
32	CD	@card@
times	NNS	time
the	DT	the
amount	NN	amount
of	IN	of
money	NN	money
necessary	JJ	necessary
for	IN	for
the	DT	the
trade	NN	trade
it	PP	it
'	POS	'
s	NNS	<unknown>
supposed	VBN	suppose
to	TO	to
be	VB	be
there	RB	there
to	TO	to
finance	VB	finance
—	:	-
the	DT	the
money	NN	money
changers	NNS	changer
,	,	,
if	IN	if
you	PP	you
like	VBP	like
,	,	,
the	DT	the
financial	JJ	financial
speculators	NNS	speculator
that	WDT	that
have	VBP	have
brought	VBN	bring
us	PP	us
all	DT	all
to	TO	to
our	PP$	our
knees	NNS	knee
quite	RB	quite
recently	RB	recently
,	,	,
the	DT	the
power	NN	power
of	IN	of
the	DT	the
multinational	JJ	multinational
corporations	NNS	corporation
now	RB	now
developing	VBG	develop
budgets	NNS	budget
often	RB	often
bigger	JJR	big
than	IN	than
medium-sized	JJ	medium-sized
countries	NNS	country
.	SENT	.
These	DT	these
live	VBP	live
in	IN	in
a	DT	a
global	JJ	global
space	NN	space
which	WDT	which
is	VBZ	be
largely	RB	largely
unregulated	JJ	unregulated
,	,	,
not	RB	not
subject	JJ	subject
to	TO	to
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
,	,	,
and	CC	and
in	IN	in
which	WDT	which
people	NNS	people
may	MD	may
act	VB	act
free	JJ	free
of	IN	of
constraint	NN	constraint
.	SENT	.
Now	RB	now
that	IN	that
suits	NNS	suit
the	DT	the
powerful	JJ	powerful
up	RB	up
to	TO	to
a	DT	a
moment	NN	moment
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
always	RB	always
suitable	JJ	suitable
for	IN	for
those	DT	those
who	WP	who
have	VBP	have
the	DT	the
most	JJS	most
power	NN	power
to	TO	to
operate	VB	operate
in	IN	in
spaces	NNS	space
