There	EX	there
her	PP$	her
power	NN	power
has	VBZ	have
now	RB	now
radically	RB	radically
altered	VBN	alter
;	:	;
it	PP	it
has	VBZ	have
radically	RB	radically
changed	VBN	change
.	SENT	.
We	PP	we
are	VBP	be
coming	VBG	come
out	RP	out
of	IN	of
50	CD	@card@
years	NNS	year
,	,	,
most	RBS	most
unusual	JJ	unusual
years	NNS	year
,	,	,
of	IN	of
history	NN	history
in	IN	in
which	WDT	which
we	PP	we
have	VBP	have
had	VBD	have
a	DT	a
totally	RB	totally
mono-polar	JJ	mono-polar
world	NN	world
,	,	,
in	IN	in
which	WDT	which
every	DT	every
compass	NN	compass
needle	NN	needle
for	IN	for
or	CC	or
against	IN	against
has	VBZ	have
to	TO	to
be	VB	be
referenced	VBN	reference
by	IN	by
its	PP$	its
position	NN	position
to	TO	to
Washington	NP	Washington
—	:	-
a	DT	a
world	NN	world
bestrode	VBN	bestride
by	IN	by
a	DT	a
single	JJ	single
colossus	NN	colossus
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
usual	JJ	usual
case	NN	case
in	IN	in
history	NN	history
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
what	WP	what
'	POS	'
s	NN	S
now	RB	now
emerging	VBG	emerge
is	VBZ	be
the	DT	the
much	RB	much
more	RBR	more
normal	JJ	normal
case	NN	case
of	IN	of
history	NN	history
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
beginning	NN	beginning
to	TO	to
see	VB	see
the	DT	the
emergence	NN	emergence
of	IN	of
a	DT	a
multi-polar	JJ	multi-polar
world	NN	world
.	SENT	.
Up	RB	up
until	IN	until
now	RB	now
,	,	,
the	DT	the
United	NP	United
States	NPS	States
has	VBZ	have
been	VBN	be
the	DT	the
dominant	JJ	dominant
feature	NN	feature
of	IN	of
our	PP$	our
world	NN	world
.	SENT	.
They	PP	they
will	MD	will
remain	VB	remain
the	DT	the
most	RBS	most
powerful	JJ	powerful
nation	NN	nation
,	,	,
but	CC	but
they	PP	they
will	MD	will
be	VB	be
the	DT	the
most	RBS	most
powerful	JJ	powerful
nation	NN	nation
in	IN	in
an	DT	an
increasingly	RB	increasingly
multi-polar	JJ	multi-polar
world	NN	world
.	SENT	.
And	CC	and
you	PP	you
begin	VBP	begin
to	TO	to
see	VB	see
the	DT	the
alternative	JJ	alternative
centers	NNS	center
of	IN	of
power	NN	power
building	VBG	build
up	RP	up
—	:	-
in	IN	in
China	NP	China
,	,	,
of	IN	of
course	NN	course
,	,	,
though	IN	though
my	PP$	my
own	JJ	own
guess	NN	guess
is	VBZ	be
that	IN	that
China	NP	China
'	POS	'
s	JJ	<unknown>
ascent	NN	ascent
to	TO	to
greatness	NN	greatness
is	VBZ	be
not	RB	not
smooth	JJ	smooth
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
quite	RB	quite
grumpy	JJ	grumpy
as	IN	as
China	NP	China
begins	VBZ	begin
to	TO	to
democratize	VB	democratize
her	PP$	her
society	NN	society
after	IN	after
liberalizing	VBG	liberalize
her	PP$	her
economy	NN	economy
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
subject	NN	subject
of	IN	of
a	DT	a
different	JJ	different
discussion	NN	discussion
.	SENT	.
You	PP	you
see	VBP	see
India	NP	India
,	,	,
you	PP	you
see	VBP	see
Brazil	NP	Brazil
.	SENT	.
You	PP	you
see	VBP	see
increasingly	RB	increasingly
that	IN	that
the	DT	the
world	NN	world
now	RB	now
looks	VBZ	look
actually	RB	actually
,	,	,
for	IN	for
us	PP	us
Europeans	NNS	European
,	,	,
much	RB	much
more	JJR	more
like	IN	like
Europe	NP	Europe
in	IN	in
the	DT	the
19th	JJ	19th
century	NN	century
.	SENT	.
Europe	NP	Europe
in	IN	in
the	DT	the
19th	JJ	19th
century	NN	century
:	:	:
a	DT	a
great	JJ	great
British	JJ	British
foreign	JJ	foreign
secretary	NN	secretary
,	,	,
Lord	NP	Lord
Canning	NP	Canning
,	,	,
used	VBN	use
to	TO	to
describe	VB	describe
it	PP	it
as	IN	as
the	DT	the
"	``	"
European	JJ	European
concert	NN	concert
of	IN	of
powers	NNS	power
.	SENT	.
"	``	"
There	EX	there
was	VBD	be
a	DT	a
balance	NN	balance
,	,	,
a	DT	a
five-sided	JJ	<unknown>
balance	NN	balance
.	SENT	.
Britain	NP	Britain
always	RB	always
played	VBD	play
to	TO	to
the	DT	the
balance	NN	balance
.	SENT	.
If	IN	if
Paris	NP	Paris
got	VBD	get
together	RB	together
with	IN	with
Berlin	NP	Berlin
,	,	,
Britain	NP	Britain
got	VBD	get
together	RB	together
with	IN	with
Vienna	NP	Vienna
and	CC	and
Rome	NP	Rome
to	TO	to
provide	VB	provide
a	DT	a
counterbalance	NN	counterbalance
.	SENT	.
Now	RB	now
notice	NN	notice
,	,	,
in	IN	in
a	DT	a
period	NN	period
which	WDT	which
is	VBZ	be
dominated	VBN	dominate
by	IN	by
a	DT	a
mono-polar	JJ	mono-polar
world	NN	world
,	,	,
you	PP	you
have	VBP	have
fixed	VBN	fix
alliances	NNS	alliance
—	:	-
NATO	NP	NATO
,	,	,
the	DT	the
Warsaw	NP	Warsaw
Pact	NP	Pact
.	SENT	.
A	DT	a
fixed	VBN	fix
polarity	NN	polarity
of	IN	of
power	NN	power
means	VBZ	mean
fixed	VBN	fix
alliances	NNS	alliance
.	SENT	.
But	CC	but
a	DT	a
multiple	JJ	multiple
polarity	NN	polarity
of	IN	of
power	NN	power
means	NNS	mean
shifting	VBG	shift
and	CC	and
changing	VBG	change
alliances	NNS	alliance
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
world	NN	world
we	PP	we
'	POS	'
re	NN	re
coming	VBG	come
into	IN	into
,	,	,
in	IN	in
which	WDT	which
we	PP	we
will	MD	will
increasingly	RB	increasingly
see	VB	see
that	IN	that
our	PP$	our
alliances	NNS	alliance
are	VBP	be
not	RB	not
fixed	VBN	fix
.	SENT	.
Canning	NN	canning
,	,	,
the	DT	the
great	JJ	great
British	JJ	British
foreign	JJ	foreign
secretary	NN	secretary
once	RB	once
said	VBD	say
,	,	,
"	``	"
Britain	NP	Britain
has	VBZ	have
a	DT	a
common	JJ	common
interest	NN	interest
,	,	,
but	CC	but
no	DT	no
common	JJ	common
allies	NNS	ally
.	SENT	.
"	``	"
And	CC	and
we	PP	we
will	MD	will
see	VB	see
increasingly	RB	increasingly
that	IN	that
even	RB	even
we	PP	we
in	IN	in
the	DT	the
West	NP	West
will	MD	will
reach	VB	reach
out	RP	out
,	,	,
have	VBP	have
to	TO	to
reach	VB	reach
out	RP	out
,	,	,
beyond	IN	beyond
the	DT	the
cozy	JJ	cozy
circle	NN	circle
of	IN	of
the	DT	the
Atlantic	NP	Atlantic
powers	NNS	power
to	TO	to
make	VB	make
alliances	NNS	alliance
with	IN	with
others	NNS	other
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
get	VB	get
things	NNS	thing
done	VBN	do
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Note	NN	note
,	,	,
that	IN	that
when	WRB	when
we	PP	we
went	VBD	go
into	IN	into
Libya	NP	Libya
,	,	,
it	PP	it
was	VBD	be
not	RB	not
good	JJ	good
enough	RB	enough
for	IN	for
the	DT	the
West	NP	West
to	TO	to
do	VB	do
it	PP	it
alone	RB	alone
;	:	;
we	PP	we
had	VBD	have
to	TO	to
bring	VB	bring
others	NNS	other
in	IN	in
.	SENT	.
We	PP	we
had	VBD	have
to	TO	to
bring	VB	bring
,	,	,
in	IN	in
this	DT	this
case	NN	case
,	,	,
the	DT	the
Arab	NP	Arab
League	NP	League
in	IN	in
.	SENT	.
My	PP$	my
guess	NN	guess
is	VBZ	be
Iraq	NP	Iraq
and	CC	and
Afghanistan	NP	Afghanistan
are	VBP	be
the	DT	the
last	JJ	last
times	NNS	time
when	WRB	when
the	DT	the
West	NP	West
has	VBZ	have
tried	VBN	try
to	TO	to
do	VB	do
it	PP	it
themselves	PP	themselves
,	,	,
and	CC	and
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
succeeded	VBD	succeed
.	SENT	.
My	PP$	my
guess	NN	guess
is	VBZ	be
that	IN	that
we	PP	we
'	''	'
re	IN	re
reaching	VBG	reach
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
end	NN	end
of	IN	of
400	CD	@card@
years	NNS	year
—	:	-
I	PP	I
say	VBP	say
400	CD	@card@
years	NNS	year
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
end	NN	end
of	IN	of
the	DT	the
Ottoman	NP	Ottoman
Empire	NP	Empire
—	:	-
of	IN	of
the	DT	the
hegemony	NN	hegemony
of	IN	of
Western	JJ	Western
power	NN	power
,	,	,
Western	JJ	Western
institutions	NNS	institution
and	CC	and
Western	JJ	Western
values	NNS	value
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
up	RB	up
until	IN	until
now	RB	now
,	,	,
if	IN	if
the	DT	the
West	NP	West
got	VBD	get
its	PP$	its
act	NN	act
together	RB	together
,	,	,
it	PP	it
could	MD	could
propose	VB	propose
and	CC	and
dispose	VB	dispose
in	IN	in
every	DT	every
corner	NN	corner
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
no	RB	no
longer	RBR	longer
true	JJ	true
.	SENT	.
Take	VB	take
the	DT	the
last	JJ	last
financial	JJ	financial
crisis	NN	crisis
after	IN	after
the	DT	the
Second	NP	Second
World	NP	World
War	NP	War
.	SENT	.
The	DT	the
West	NP	West
got	VBD	get
together	RB	together
—	:	-
the	DT	the
Bretton	NP	Bretton
Woods	NP	Woods
Institution	NP	Institution
,	,	,
World	NP	World
Bank	NP	Bank
,	,	,
International	NP	International
Monetary	NP	Monetary
Fund	NP	Fund
—	:	-
the	DT	the
problem	NN	problem
solved	VBD	solve
.	SENT	.
Now	RB	now
we	PP	we
have	VBP	have
to	TO	to
call	VB	call
in	IN	in
others	NNS	other
.	SENT	.
Now	RB	now
we	PP	we
have	VBP	have
to	TO	to
create	VB	create
the	DT	the
G20	NP	G@card@
.	SENT	.
Now	RB	now
we	PP	we
have	VBP	have
to	TO	to
reach	VB	reach
beyond	IN	beyond
the	DT	the
cozy	JJ	cozy
circle	NN	circle
of	IN	of
our	PP$	our
Western	JJ	Western
friends	NNS	friend
.	SENT	.
Let	VB	let
me	PP	me
make	VB	make
a	DT	a
prediction	NN	prediction
for	IN	for
you	PP	you
,	,	,
which	WDT	which
is	VBZ	be
probably	RB	probably
even	RB	even
more	RBR	more
startling	JJ	startling
.	SENT	.
I	PP	I
suspect	VBP	suspect
we	PP	we
are	VBP	be
now	RB	now
reaching	VBG	reach
the	DT	the
end	NN	end
of	IN	of
400	CD	@card@
years	NNS	year
when	WRB	when
Western	JJ	Western
power	NN	power
was	VBD	be
enough	JJ	enough
.	SENT	.
People	NNS	people
say	VBP	say
to	TO	to
me	PP	me
,	,	,
"	''	"
The	DT	the
Chinese	JJ	Chinese
,	,	,
of	IN	of
course	NN	course
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
never	RB	never
get	VBP	get
themselves	PP	themselves
involved	VBN	involve
in	IN	in
peace-making	NN	peace-making
,	,	,
multilateral	JJ	multilateral
peace-making	NN	peace-making
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
"	``	"
Oh	UH	oh
yes	UH	yes
?	SENT	?
Why	WRB	why
not	RB	not
?	SENT	?
How	WRB	how
many	JJ	many
Chinese	JJ	Chinese
troops	NNS	troop
are	VBP	be
serving	VBG	serve
under	IN	under
the	DT	the
blue	JJ	blue
beret	NN	beret
,	,	,
serving	VBG	serve
under	IN	under
the	DT	the
blue	JJ	blue
flag	NN	flag
,	,	,
serving	VBG	serve
under	IN	under
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
command	NN	command
in	IN	in
the	DT	the
world	NN	world
today	NN	today
?	SENT	?
3	CD	@card@
,	,	,
700	CD	@card@
.	SENT	.
How	WRB	how
many	DT	many
Americans	NPS	Americans
?	SENT	?
11	LS	@card@
.	SENT	.
What	WP	what
is	VBZ	be
the	DT	the
largest	JJS	large
naval	JJ	naval
contingent	NN	contingent
tackling	VBG	tackle
the	DT	the
issue	NN	issue
of	IN	of
Somali	JJ	Somali
pirates	NNS	pirate
?	SENT	?
The	DT	the
Chinese	JJ	Chinese
naval	JJ	naval
contingent	NN	contingent
.	SENT	.
Of	IN	of
course	NN	course
they	PP	they
are	VBP	be
,	,	,
they	PP	they
are	VBP	be
a	DT	a
mercantilist	JJ	mercantilist
nation	NN	nation
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
keep	VB	keep
the	DT	the
sea	NN	sea
lanes	NNS	lane
open	JJ	open
.	SENT	.
Increasingly	RB	increasingly
,	,	,
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
do	VB	do
business	NN	business
with	IN	with
people	NNS	people
with	IN	with
whom	WP	whom
we	PP	we
do	VBP	do
not	RB	not
share	NN	share
values	NNS	value
,	,	,
but	CC	but
with	IN	with
whom	WP	whom
,	,	,
for	IN	for
the	DT	the
moment	NN	moment
,	,	,
we	PP	we
share	VBP	share
common	JJ	common
interests	NNS	interest
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
new	JJ	new
different	JJ	different
way	NN	way
of	IN	of
looking	VBG	look
at	IN	at
the	DT	the
world	NN	world
that	WDT	that
is	VBZ	be
now	RB	now
emerging	VBG	emerge
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
third	JJ	third
factor	NN	factor
,	,	,
which	WDT	which
is	VBZ	be
totally	RB	totally
different	JJ	different
.	SENT	.
Today	NN	today
in	IN	in
our	PP$	our
modern	JJ	modern
world	NN	world
,	,	,
because	IN	because
of	IN	of
the	DT	the
Internet	NN	Internet
,	,	,
because	IN	because
of	IN	of
the	DT	the
kinds	NNS	kind
of	IN	of
things	NNS	thing
people	NNS	people
have	VBP	have
been	VBN	be
talking	VBG	talk
about	RB	about
here	RB	here
,	,	,
everything	NN	everything
is	VBZ	be
connected	VBN	connect
to	TO	to
everything	NN	everything
.	SENT	.
We	PP	we
are	VBP	be
now	RB	now
interdependent	JJ	interdependent
.	SENT	.
We	PP	we
are	VBP	be
now	RB	now
interlocked	VBN	interlock
,	,	,
as	IN	as
nations	NNS	nation
,	,	,
as	IN	as
individuals	NNS	individual
,	,	,
in	IN	in
a	DT	a
way	NN	way
which	WDT	which
has	VBZ	have
never	RB	never
been	VBN	be
the	DT	the
case	NN	case
before	RB	before
,	,	,
never	RB	never
been	VBN	be
the	DT	the
case	NN	case
before	RB	before
.	SENT	.
The	DT	the
interrelationship	NN	interrelationship
of	IN	of
nations	NNS	nation
,	,	,
well	RB	well
it	PP	it
'	POS	'
s	NN	S
always	RB	always
existed	VBD	exist
.	SENT	.
Diplomacy	NN	diplomacy
is	VBZ	be
about	RB	about
managing	VBG	manage
the	DT	the
interrelationship	NN	interrelationship
of	IN	of
nations	NNS	nation
.	SENT	.
But	CC	but
now	RB	now
we	PP	we
are	VBP	be
intimately	RB	intimately
locked	VBN	lock
together	RB	together
.	SENT	.
You	PP	you
get	VBP	get
swine	NN	swine
flu	NN	flu
in	IN	in
Mexico	NP	Mexico
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
problem	NN	problem
for	IN	for
Charles	NP	Charles
de	NP	de
Gaulle	NP	Gaulle
Airport	NP	Airport
24	CD	@card@
hours	NNS	hour
later	RBR	later
.	SENT	.
Lehman	NP	Lehman
Brothers	NPS	Brothers
goes	VBZ	go
down	RB	down
,	,	,
the	DT	the
whole	JJ	whole
lot	NN	lot
collapses	NNS	collapse
.	SENT	.
There	EX	there
are	VBP	be
fires	NNS	fire
in	IN	in
the	DT	the
steppes	NNS	steppe
of	IN	of
Russia	NP	Russia
,	,	,
food	NN	food
riots	NNS	riot
in	IN	in
Africa	NP	Africa
.	SENT	.
We	PP	we
are	VBP	be
all	RB	all
now	RB	now
deeply	RB	deeply
,	,	,
deeply	RB	deeply
,	,	,
deeply	RB	deeply
interconnected	VBN	interconnect
.	SENT	.
And	CC	and
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
the	DT	the
idea	NN	idea
of	IN	of
a	DT	a
nation	NN	nation
state	NN	state
acting	VBG	act
alone	RB	alone
,	,	,
not	RB	not
connected	VBN	connect
with	IN	with
others	NNS	other
,	,	,
not	RB	not
working	VBG	work
with	IN	with
others	NNS	other
,	,	,
is	VBZ	be
no	RB	no
longer	JJR	long
a	DT	a
viable	JJ	viable
proposition	NN	proposition
.	SENT	.
Because	IN	because
the	DT	the
actions	NNS	action
of	IN	of
a	DT	a
nation	NN	nation
state	NN	state
are	VBP	be
neither	RB	neither
confined	VBN	confine
to	TO	to
itself	PP	itself
,	,	,
nor	CC	nor
is	VBZ	be
it	PP	it
sufficient	JJ	sufficient
for	IN	for
the	DT	the
nation	NN	nation
state	VBP	state
itself	PP	itself
to	TO	to
control	VB	control
its	PP$	its
own	JJ	own
territory	NN	territory
,	,	,
because	IN	because
the	DT	the
effects	NNS	effect
outside	IN	outside
the	DT	the
nation	NN	nation
state	NN	state
are	VBP	be
now	RB	now
beginning	VBG	begin
to	TO	to
affect	VB	affect
what	WP	what
happens	VBZ	happen
inside	IN	inside
them	PP	them
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
soldier	NN	soldier
in	IN	in
the	DT	the
last	JJ	last
of	IN	of
the	DT	the
small	JJ	small
empire	NN	empire
wars	NNS	war
of	IN	of
Britain	NP	Britain
.	SENT	.
At	IN	at
that	DT	that
time	NN	time
,	,	,
the	DT	the
defense	NN	defense
of	IN	of
my	PP$	my
country	NN	country
was	VBD	be
about	RB	about
one	CD	one
thing	NN	thing
and	CC	and
one	CD	one
thing	NN	thing
only	RB	only
:	:	:
how	WRB	how
strong	JJ	strong
was	VBD	be
our	PP$	our
army	NN	army
,	,	,
how	WRB	how
strong	JJ	strong
was	VBD	be
our	PP$	our
air	NN	air
force	NN	force
,	,	,
how	WRB	how
strong	JJ	strong
was	VBD	be
our	PP$	our
navy	NN	navy
and	CC	and
how	WRB	how
strong	JJ	strong
were	VBD	be
our	PP$	our
allies	NNS	ally
.	SENT	.
That	DT	that
was	VBD	be
when	WRB	when
the	DT	the
enemy	NN	enemy
was	VBD	be
outside	IN	outside
the	DT	the
walls	NNS	wall
.	SENT	.
Now	RB	now
the	DT	the
enemy	NN	enemy
is	VBZ	be
inside	RB	inside
the	DT	the
walls	NNS	wall
.	SENT	.
Now	RB	now
if	IN	if
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
defense	NN	defense
of	IN	of
my	PP$	my
country	NN	country
,	,	,
I	PP	I
have	VBP	have
to	TO	to
speak	VB	speak
to	TO	to
the	DT	the
Minister	NP	Minister
of	IN	of
Health	NP	Health
because	IN	because
pandemic	JJ	pandemic
disease	NN	disease
is	VBZ	be
a	DT	a
threat	NN	threat
to	TO	to
my	PP$	my
security	NN	security
,	,	,
I	PP	I
have	VBP	have
to	TO	to
speak	VB	speak
to	TO	to
the	DT	the
Minister	NP	Minister
of	IN	of
Agriculture	NP	Agriculture
because	IN	because
food	NN	food
security	NN	security
is	VBZ	be
a	DT	a
threat	NN	threat
to	TO	to
my	PP$	my
security	NN	security
,	,	,
I	PP	I
have	VBP	have
to	TO	to
speak	VB	speak
to	TO	to
the	DT	the
Minister	NP	Minister
of	IN	of
Industry	NP	Industry
because	IN	because
the	DT	the
fragility	NN	fragility
of	IN	of
our	PP$	our
hi-tech	NN	hi-tech
infrastructure	NN	infrastructure
is	VBZ	be
now	RB	now
a	DT	a
point	NN	point
of	IN	of
attack	NN	attack
for	IN	for
our	PP$	our
enemies	NNS	enemy
—	:	-
as	IN	as
we	PP	we
see	VBP	see
from	IN	from
cyber	NN	<unknown>
warfare	NN	warfare
—	:	-
I	PP	I
have	VBP	have
to	TO	to
speak	VB	speak
to	TO	to
the	DT	the
Minister	NP	Minister
of	IN	of
Home	NP	Home
Affairs	NPS	Affairs
because	IN	because
who	WP	who
has	VBZ	have
entered	VBN	enter
my	PP$	my
country	NN	country
,	,	,
who	WP	who
lives	VBZ	live
in	IN	in
that	DT	that
terraced	VBN	terrace
house	NN	house
in	IN	in
that	DT	that
inner	JJ	inner
city	NN	city
has	VBZ	have
a	DT	a
direct	JJ	direct
effect	NN	effect
on	IN	on
what	WP	what
happens	VBZ	happen
in	IN	in
my	PP$	my
country	NN	country
—	:	-
as	IN	as
we	PP	we
in	IN	in
London	NP	London
saw	VBD	see
in	IN	in
the	DT	the
7	CD	@card@
/	SYM	/
7	CD	@card@
bombings	NNS	bombing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
no	RB	no
longer	RBR	longer
the	DT	the
case	NN	case
that	IN	that
the	DT	the
security	NN	security
of	IN	of
a	DT	a
country	NN	country
is	VBZ	be
simply	RB	simply
a	DT	a
matter	NN	matter
for	IN	for
its	PP$	its
soldiers	NNS	soldier
and	CC	and
its	PP$	its
ministry	NN	ministry
of	IN	of
defense	NN	defense
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
its	PP$	its
capacity	NN	capacity
to	TO	to
lock	VB	lock
together	RB	together
its	PP$	its
institutions	NNS	institution
.	SENT	.
And	CC	and
this	DT	this
tells	VBZ	tell
you	PP	you
something	NN	something
very	RB	very
important	JJ	important
.	SENT	.
It	PP	it
tells	VBZ	tell
you	PP	you
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
our	PP$	our
governments	NNS	government
,	,	,
vertically	RB	vertically
constructed	VBN	construct
,	,	,
constructed	VBN	construct
on	IN	on
the	DT	the
economic	JJ	economic
model	NN	model
of	IN	of
the	DT	the
Industrial	NP	Industrial
Revolution	NP	Revolution
—	:	-
vertical	JJ	vertical
hierarchy	NN	hierarchy
,	,	,
specialization	NN	specialization
of	IN	of
tasks	NNS	task
,	,	,
command	NN	command
structures	NNS	structure
—	:	-
have	VBP	have
got	VBN	get
the	DT	the
wrong	JJ	wrong
structures	NNS	structure
completely	RB	completely
.	SENT	.
You	PP	you
in	IN	in
business	NN	business
know	VBP	know
that	IN	that
the	DT	the
paradigm	NN	paradigm
structure	NN	structure
of	IN	of
our	PP$	our
time	NN	time
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
is	VBZ	be
the	DT	the
network	NN	network
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
your	PP$	your
capacity	NN	capacity
to	TO	to
network	VB	network
that	DT	that
matters	NNS	matter
,	,	,
both	CC	both
within	IN	within
your	PP$	your
governments	NNS	government
and	CC	and
externally	RB	externally
.	SENT	.
So	RB	so
here	RB	here
is	VBZ	be
Ashdown	NP	Ashdown
'	POS	'
s	JJ	<unknown>
third	JJ	third
law	NN	law
.	SENT	.
By	IN	by
the	DT	the
way	NN	way
,	,	,
don	NN	don
'	POS	'
t	NN	t
ask	VB	ask
me	PP	me
about	IN	about
Ashdown	NP	Ashdown
'	POS	'
s	JJ	<unknown>
first	JJ	first
law	NN	law
and	CC	and
second	JJ	second
law	NN	law
because	IN	because
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
invented	VBD	invent
those	DT	those
yet	RB	yet
;	:	;
it	PP	it
always	RB	always
sounds	VBZ	sound
better	RBR	well
if	IN	if
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
third	JJ	third
law	NN	law
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
Ashdown	NP	Ashdown
'	POS	'
s	JJ	<unknown>
third	JJ	third
law	NN	law
is	VBZ	be
that	IN	that
in	IN	in
the	DT	the
modern	JJ	modern
age	NN	age
,	,	,
where	WRB	where
everything	NN	everything
is	VBZ	be
connected	VBN	connect
to	TO	to
everything	NN	everything
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
about	IN	about
what	WP	what
you	PP	you
can	MD	can
do	VB	do
is	VBZ	be
what	WP	what
you	PP	you
can	MD	can
do	VB	do
with	IN	with
others	NNS	other
.	SENT	.
The	DT	the
most	RBS	most
important	JJ	important
bit	NN	bit
about	IN	about
your	PP$	your
structure	NN	structure
—	:	-
whether	IN	whether
you	PP	you
'	''	'
re	IN	re
a	DT	a
government	NN	government
,	,	,
whether	IN	whether
you	PP	you
'	''	'
re	IN	re
an	DT	an
army	NN	army
regiment	NN	regiment
,	,	,
whether	IN	whether
you	PP	you
'	''	'
re	IN	re
a	DT	a
business	NN	business
—	:	-
is	VBZ	be
your	PP$	your
docking	VBG	dock
points	NNS	point
,	,	,
your	PP$	your
interconnectors	NNS	interconnector
,	,	,
your	PP$	your
capacity	NN	capacity
to	TO	to
network	NN	network
with	IN	with
others	NNS	other
.	SENT	.
You	PP	you
understand	VBP	understand
that	IN	that
in	IN	in
industry	NN	industry
;	:	;
governments	NNS	government
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
But	CC	but
now	RB	now
one	CD	one
final	JJ	final
thing	NN	thing
.	SENT	.
If	IN	if
it	PP	it
is	VBZ	be
the	DT	the
case	NN	case
,	,	,
ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
—	:	-
and	CC	and
it	PP	it
is	VBZ	be
—	:	-
that	IN	that
we	PP	we
are	VBP	be
now	RB	now
locked	VBN	lock
together	RB	together
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
has	VBZ	have
never	RB	never
been	VBN	be
quite	RB	quite
the	DT	the
same	JJ	same
before	RB	before
,	,	,
then	RB	then
it	PP	it
'	POS	'
s	NN	S
also	RB	also
the	DT	the
case	NN	case
that	IN	that
we	PP	we
share	VBP	share
a	DT	a
destiny	NN	destiny
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
Suddenly	RB	suddenly
and	CC	and
for	IN	for
the	DT	the
very	RB	very
first	JJ	first
time	NN	time
,	,	,
collective	JJ	collective
defense	NN	defense
,	,	,
the	DT	the
thing	NN	thing
that	WDT	that
has	VBZ	have
dominated	VBN	dominate
us	PP	us
as	IN	as
the	DT	the
concept	NN	concept
of	IN	of
securing	VBG	secure
our	PP$	our
nations	NNS	nation
,	,	,
is	VBZ	be
no	RB	no
longer	RBR	longer
enough	JJ	enough
.	SENT	.
It	PP	it
used	VBD	use
to	TO	to
be	VB	be
the	DT	the
case	NN	case
that	IN	that
if	IN	if
my	PP$	my
tribe	NN	tribe
was	VBD	be
more	RBR	more
powerful	JJ	powerful
than	IN	than
their	PP$	their
tribe	NN	tribe
,	,	,
I	PP	I
was	VBD	be
safe	JJ	safe
;	:	;
if	IN	if
my	PP$	my
country	NN	country
was	VBD	be
more	RBR	more
powerful	JJ	powerful
than	IN	than
their	PP$	their
country	NN	country
,	,	,
I	PP	I
was	VBD	be
safe	JJ	safe
;	:	;
my	PP$	my
alliance	NN	alliance
,	,	,
like	IN	like
NATO	NP	NATO
,	,	,
was	VBD	be
more	RBR	more
powerful	JJ	powerful
than	IN	than
their	PP$	their
alliance	NN	alliance
,	,	,
I	PP	I
was	VBD	be
safe	JJ	safe
.	SENT	.
It	PP	it
is	VBZ	be
no	RB	no
longer	RBR	longer
the	DT	the
case	NN	case
.	SENT	.
The	DT	the
advent	NN	advent
of	IN	of
the	DT	the
interconnectedness	NN	interconnectedness
and	CC	and
of	IN	of
the	DT	the
weapons	NNS	weapon
of	IN	of
mass	JJ	mass
destruction	NN	destruction
means	VBZ	mean
that	IN	that
,	,	,
