Today	NP	Today
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
speak	VB	speak
to	TO	to
you	PP	you
about	IN	about
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
of	IN	of
architectural	JJ	architectural
history	NN	history
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
to	TO	to
pack	VB	pack
into	IN	into
18	CD	@card@
minutes	NNS	minute
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
complex	JJ	complex
topic	NN	topic
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
just	RB	just
going	VBG	go
to	TO	to
dive	VB	dive
right	RB	right
in	IN	in
at	IN	at
a	DT	a
complex	JJ	complex
place	NN	place
:	:	:
New	NP	New
Jersey	NP	Jersey
.	SENT	.
Because	IN	because
30	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
'	POS	'
m	NN	m
from	IN	from
Jersey	NP	Jersey
,	,	,
and	CC	and
I	PP	I
was	VBD	be
six	CD	six
,	,	,
and	CC	and
I	PP	I
lived	VBD	live
there	RB	there
in	IN	in
my	PP$	my
parents	NNS	parent
'	POS	'
house	NN	house
in	IN	in
a	DT	a
town	NN	town
called	VBN	call
Livingston	NP	Livingston
,	,	,
and	CC	and
this	DT	this
was	VBD	be
my	PP$	my
childhood	NN	childhood
bedroom	NN	bedroom
.	SENT	.
Around	IN	around
the	DT	the
corner	NN	corner
from	IN	from
my	PP$	my
bedroom	NN	bedroom
was	VBD	be
the	DT	the
bathroom	NN	bathroom
that	IN	that
I	PP	I
used	VBD	use
to	TO	to
share	VB	share
with	IN	with
my	PP$	my
sister	NN	sister
.	SENT	.
And	CC	and
in	IN	in
between	IN	between
my	PP$	my
bedroom	NN	bedroom
and	CC	and
the	DT	the
bathroom	NN	bathroom
was	VBD	be
a	DT	a
balcony	NN	balcony
that	WDT	that
overlooked	VBD	overlook
the	DT	the
family	NN	family
room	NN	room
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
everyone	NN	everyone
would	MD	would
hang	VB	hang
out	RP	out
and	CC	and
watch	VB	watch
TV	NN	TV
,	,	,
so	RB	so
that	IN	that
every	DT	every
time	NN	time
that	IN	that
I	PP	I
walked	VBD	walk
from	IN	from
my	PP$	my
bedroom	NN	bedroom
to	TO	to
the	DT	the
bathroom	NN	bathroom
,	,	,
everyone	NN	everyone
would	MD	would
see	VB	see
me	PP	me
,	,	,
and	CC	and
every	DT	every
time	NN	time
I	PP	I
took	VBD	take
a	DT	a
shower	NN	shower
and	CC	and
would	MD	would
come	VB	come
back	RB	back
in	IN	in
a	DT	a
towel	NN	towel
,	,	,
everyone	NN	everyone
would	MD	would
see	VB	see
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
looked	VBD	look
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
was	VBD	be
awkward	JJ	awkward
,	,	,
insecure	JJ	insecure
,	,	,
and	CC	and
I	PP	I
hated	VBD	hate
it	PP	it
.	SENT	.
I	PP	I
hated	VBD	hate
that	DT	that
walk	NN	walk
,	,	,
I	PP	I
hated	VBD	hate
that	DT	that
balcony	NN	balcony
,	,	,
I	PP	I
hated	VBD	hate
that	DT	that
room	NN	room
,	,	,
and	CC	and
I	PP	I
hated	VBD	hate
that	DT	that
house	NN	house
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
architecture	NN	architecture
.	SENT	.
Done	VBN	do
.	SENT	.
That	DT	that
feeling	NN	feeling
,	,	,
those	DT	those
