When when
I i
was be
a a
kid kid
, ,
my my
parents parent
would would
tell tell
me me
, ,
" "
You you
can can
make make
a a
mess mess
, ,
but but
you you
have have
to to
clean clean
up up
after after
yourself yourself
. .
" "
So so
freedom freedom
came come
with with
responsibility responsibility
. .
But but
my my
imagination imagination
would would
take take
me me
to to
all all
these these
wonderful wonderful
places place
, ,
where where
everything everything
was be
possible possible
. .
So so
I i
grew grow
up up
in in
a a
bubble bubble
of of
innocence innocence
â â
or or
a a
bubble bubble
of of
ignorance ignorance
, ,
I i
should should
say say
, ,
because because
adults adult
would would
lie lie
to to
us us
to to
protect protect
us us
from from
the the
ugly ugly
truth truth
. .
And and
growing grow
up up
, ,
I i
found find
out out
that that
adults adult
make make
a a
mess mess
, ,
and and
they they
' '
re re
not not
very very
good good
at at
cleaning clean
up up
after after
themselves themselves
. .
Fast fast
forward forward
, ,
I i
am be
an an
adult adult
now now
, ,
and and
I i
teach teach
citizen citizen
science science
and and
invention invention
at at
the the
Hong hong
Kong kong
Harbour harbour
School school
. .
And and
it it
doesn doesn
' '
t t
take take
too too
long long
before before
my my
students student
walk walk
on on
a a
beach beach
and and
stumble stumble
upon upon
piles pile
of of
trash trash
. .
So so
as as
good good
citizens citizen
, ,
we we
clean clean
up up
the the
beaches beach
â â
and and
no no
, ,
he he
is be
not not
drinking drink
alcohol alcohol
, ,
and and
if if
he he
is be
, ,
I i
did do
not not
give give
it it
to to
him him
. .
And and
so so
it it
' '
s s
sad sad
to to
say say
, ,
but but
today today
more more
than than
80 @card@
percent percent
of of
the the
oceans ocean
have have
plastic plastic
in in
them them
. .
It it
' '
s s
a a
horrifying horrify
fact fact
. .
And and
in in
past past
decades decade
, ,
we we
' '
ve ve
been be
taking take
those those
big big
ships ship
out out
and and
those those
big big
nets net
, ,
and and
we we
collect collect
those those
plastic plastic
bits bit
that that
we we
look look
at at
under under
a a
microscope microscope
, ,
and and
we we
sort sort
them them
, ,
and and
then then
we we
put put
this this
data datum
onto onto
a a
map map
. .
But but
that that
takes take
forever forever
, ,
it it
' '
s s
very very
expensive expensive
, ,
and and
so so
it it
' '
s s
quite quite
risky risky
to to
take take
those those
big big
boats boat
out out
. .
So so
with with
my my
students student
, ,
ages age
six six
to to
15 @card@
, ,
we we
' '
ve ve
been be
dreaming dream
of of
inventing invent
a a
better good
way way
. .
So so
we we
' '
ve ve
transformed transform
our our
tiny tiny
Hong hong
Kong kong
classroom classroom
into into
a a
workshop workshop
. .
And and
so so
we we
started start
building build
this this
small small
workbench workbench
, ,
with with
different different
heights height
, ,
so so
even even
really really
short short
kids kid
can can
participate participate
. .
And and
let let
me me
tell tell
you you
, ,
kids kid
with with
power power
tools tool
are be
awesome awesome
and and
safe safe
. .
Not not
really really
. .
And and
so so
, ,
back back
to to
plastic plastic
. .
We we
collect collect
this this
plastic plastic
and and
we we
grind grind
it it
to to
the the
size size
we we
find find
it it
in in
the the
ocean ocean
, ,
which which
is be
very very
small small
because because
it it
breaks break
down down
. .
And and
so so
this this
is be
how how
we we
work work
. .
I i
let let
the the
imaginations imagination
of of
my my
students student
run run
wild wild
. .
And and
my my
job job
is be
to to
try try
to to
collect collect
the the
best good
of of
each each
kid kid
' '
s s
idea idea
and and
try try
to to
combine combine
it it
into into
something something
that that
hopefully hopefully
would would
work work
. .
And and
so so
we we
have have
agreed agree
that that
instead instead
of of
collecting collect
plastic plastic
bits bit
, ,
we we
are be
going go
to to
collect collect
only only
the the
data datum
. .
So so
we we
' '
re re
going go
to to
get get
an an
image image
of of
the the
plastic plastic
with with
a a
robot robot
â â
so so
robots robot
, ,
kids kid
get get
very very
excited excited
. .
And and
the the
next next
thing thing
we we
do do
â â
we we
do do
what what
we we
call call
" "
rapid rapid
prototyping prototyp
. .
" "
We we
are be
so so
rapid rapid
at at
prototyping prototyp
that that
the the
lunch lunch
is be
still still
in in
the the
lunchbox lunchbox
when when
we we
' '
re re
hacking hack
it it
. .
And and
we we
hack hack
table table
lamps lamp
and and
webcams webcams
, ,
into into
plumbing plumbing
fixtures fixture
and and
we we
assemble assemble
that that
into into
a a
floating floating
robot robot
that that
will will
be be
slowly slowly
moving move
through through
water water
and and
through through
the the
plastic plastic
that that
we we
have have
there there
â â
and and
this this
is be
the the
image image
that that
we we
get get
in in
the the
robot robot
. .
So so
we we
see see
the the
plastic plastic
pieces piece
floating float
slowly slowly
through through
the the
sensor sensor
, ,
and and
the the
computer computer
on on
board board
will will
process process
this this
image image
, ,
and and
measure measure
the the
size size
of of
each each
particle particle
, ,
so so
we we
have have
a a
rough rough
estimate estimate
of of
how how
much much
plastic plastic
there there
is be
in in
the the
water water
. .
So so
we we
documented document
this this
invention invention
step step
by by
step step
on on
a a
website website
for for
inventors inventor
called call
Instructables instructables
, ,
in in
the the
hope hope
that that
somebody somebody
would would
make make
it it
even even
better well
. .
What what
was be
really really
cool cool
about about
this this
project project
was be
that that
the the
students student
saw see
a a
local local
problem problem
, ,
and and
boom boom
â â
they they
are be
trying try
to to
immediately immediately
address address
it it
. .
[ [
I i
can can
investigate investigate
my my
local local
problem problem
] ]
But but
my my
students student
in in
Hong hong
Kong kong
are be
hyperconnected hyperconnected
kids kid
. .
And and
they they
watch watch
the the
news news
, ,
they they
watch watch
the the
Internet internet
, ,
and and
they they
came come
across across
this this
image image
. .
This this
was be
a a
child child
, ,
probably probably
under under
10 @card@
, ,
cleaning clean
up up
an an
oil oil
spill spill
bare-handed bare-hand
, ,
in in
the the
Sundarbans sundarbans
, ,
which which
is be
the the
world world
' '
s s
largest large
mangrove mangrove
forest forest
in in
Bangladesh bangladesh
. .
So so
they they
were be
very very
shocked shock
, ,
because because
this this
is be
the the
water water
they they
drink drink
, ,
this this
is be
the the
water water
they they
bathe bathe
in in
, ,
this this
is be
the the
water water
they they
fish fish
in in
â â
this this
is be
the the
place place
where where
they they
live live
. .
And and
also also
you you
can can
see see
the the
water water
is be
brown brown
, ,
the the
mud mud
is be
brown brown
and and
oil oil
is be
brown brown
, ,
so so
when when
everything everything
is be
mixed mix
up up
, ,
it it
' '
s s
really really
hard hard
to to
see see
what what
' '
s s
in in
the the
water water
. .
But but
, ,
there there
' '
s s
a a
technology technology
that that
' '
s s
rather rather
simple simple
, ,
that that
' '
s s
called call
spectrometry spectrometry
, ,
that that
allows allow
you you
see see
what what
' '
s s
in in
the the
water water
. .
So so
we we
built build
a a
rough rough
prototype prototype
of of
a a
spectrometer spectrometer
, ,
and and
you you
can can
shine shine
light light
through through
different different
substances substance
that that
produce produce
different different
spectrums spectrum
, ,
so so
that that
can can
help help
you you
identify identify
what what
' '
s s
in in
the the
water water
. .
So so
we we
packed pack
this this
prototype prototype
of of
a a
sensor sensor
, ,
and and
we we
shipped ship
it it
to to
Bangladesh bangladesh
. .
So so
what what
was be
cool cool
about about
this this
project project
was be
that that
beyond beyond
addressing address
a a
local local
problem problem
, ,
or or
looking look
at at
a a
local local
problem problem
, ,
my my
students student
used use
their their
empathy empathy
and and
their their
sense sense
of of
being be
creative creative
to to
help help
, ,
remotely remotely
, ,
other other
kids kid
. .
[ [
I i
can can
investigate investigate
a a
remote remote
problem problem
] ]
So so
I i
was be
very very
compelled compel
by by
doing do
the the
second second
experiments experiment
, ,
and and
I i
wanted want
to to
take take
it it
even even
further further
â â
maybe maybe
addressing address
an an
even even
harder hard
problem problem
, ,
and and
it it
' '
s s
also also
closer closer
to to
my my
heart heart
. .
So so
I i
' '
m m
half half
Japanese japanese
and and
half half
French french
, ,
and and
maybe maybe
you you
remember remember
in in
2011 @card@
there there
was be
a a
massive massive
earthquake earthquake
in in
Japan japan
. .
It it
was be
so so
violent violent
that that
it it
triggered trigger
several several
giant giant
waves wave
â â
they they
are be
called call
tsunami tsunami
â â
and and
those those
tsunami tsunami
destroyed destroy
many many
cities city
on on
the the
eastern eastern
coast coast
of of
Japan japan
. .
More more
than than
14 @card@
, ,
000 @card@
people people
died die
in in
an an
instant instant
. .
Also also
, ,
it it
damaged damage
the the
nuclear nuclear
power power
plant plant
of of
Fukushima fukushima
, ,
the the
nuclear nuclear
power power
plant plant
just just
by by
the the
water water
. .
And and
today today
, ,
I i
read read
the the
reports report
and and
an an
average average
of of
300 @card@
tons ton
are be
leaking leak
from from
the the
nuclear nuclear
power power
plant plant
into into
the the
Pacific pacific
Ocean ocean
. .
And and
today today
the the
whole whole
Pacific pacific
Ocean ocean
has have
traces trace
of of
contamination contamination
of of
cesium-137 cesium-137
. .
If if
you you
go go
outside outside
on on
the the
West west
Coast coast
, ,
you you
can can
measure measure
Fukushima fukushima
everywhere everywhere
. .
But but
if if
you you
look look
at at
the the
map map
, ,
it it
can can
look look
like like
most most
of of
the the
radioactivity radioactivity
has have
been be
washed wash
away away
from from
the the
Japanese japanese
coast coast
, ,
and and
most most
of of
it it
is be
now now
â â
it it
looks look
like like
it it
' '
s s
safe safe
, ,
it it
' '
s s
blue blue
. .
Well well
, ,
reality reality
is be
a a
bit bit
more more
complicated complicated
than than
this this
. .
So so
I i
' '
ve ve
been be
going go
to to
Fukushima fukushima
every every
year year
since since
the the
accident accident
, ,
and and
I i
measure measure
independently independently
and and
with with
other other
scientists scientist
, ,
on on
land land
, ,
in in
the the
river river
â â
and and
this this
time time
we we
wanted want
to to
take take
the the
kids kid
. .
So so
of of
course course
we we
didn didn
' '
t t
take take
the the
kids kid
, ,
the the
parents parent
wouldn wouldn
' '
t t
allow allow
that that
to to
happen happen
. .
But but
every every
night night
we we
would would
report report
to to
" "
Mission mission
Control control
" "
â â
different different
masks mask
they they
' '
re re
wearing wear
. .
It it
could could
look look
like like
they they
didn didn
' '
t t
take take
the the
work work
seriously seriously
, ,
but but
they they
really really
did do
because because
they they
' '
re re
going go
to to
have have
to to
live live
with with
radioactivity radioactivity
their their
whole whole
life life
. .
And and
so so
what what
we we
did do
with with
them them
is be
that that
we we
' '
d d
discuss discuss
the the
data datum
we we
collected collect
that that
day day
, ,
and and
talk talk
about about
where where
we we
should should
be be
going go
next next
â â
strategy strategy
, ,
itinerary itinerary
, ,
etc etc
. .
. .
. .
And and
to to
do do
this this
, ,
we we
built build
a a
very very
rough rough
topographical topographical
map map
of of
the the
region region
around around
the the
nuclear nuclear
power power
plant plant
. .
And and
so so
we we
built build
the the
elevation elevation
map map
, ,
we we
sprinkled sprinkle
pigments pigment
to to
represent represent
real-time real-time
data datum
for for
radioactivity radioactivity
, ,
and and
we we
sprayed spray
water water
to to
simulate simulate
the the
rainfall rainfall
. .
And and
with with
this this
we we
could could
see see
that that
the the
radioactive radioactive
dust dust
was be
washing wash
from from
the the
top top
of of
the the
mountain mountain
into into
the the
river river
system system
, ,
and and
leaking leak
into into
the the
ocean ocean
. .
So so
it it
was be
a a
rough rough
estimate estimate
. .
But but
with with
this this
in in
mind mind
, ,
we we
organized organize
this this
expedition expedition
, ,
which which
was be
the the
closest close
civilians civilian
have have
been be
to to
the the
nuclear nuclear
power power
plant plant
. .
We we
are be
sailing sail
1 @card@
. .
5 @card@
kilometers kilometer
away away
from from
the the
nuclear nuclear
power power
plant plant
, ,
and and
with with
the the
help help
of of
the the
local local
fisherman fisherman
, ,
we we
are be
collecting collect
sediment sediment
from from
the the
seabed seabed
with with
a a
custom custom
sediment sediment
sampler sampler
we we
' '
ve ve
invented invent
