When when
and and
built build
. .
We we
pack pack
the the
sediment sediment
into into
small small
bags bag
, ,
we we
then then
dispatch dispatch
them them
to to
hundreds hundred
of of
small small
bags bag
that that
we we
send send
to to
different different
universities university
, ,
and and
we we
produce produce
the the
map map
of of
the the
seabed seabed
radioactivity radioactivity
, ,
especially especially
in in
estuaries estuary
where where
the the
fish fish
will will
reproduce reproduce
, ,
and and
I i
will will
hope hope
that that
we we
will will
have have
improved improve
the the
safety safety
of of
the the
local local
fishermen fisherman
and and
of of
your your
favorite favorite
sushi sushi
. .
You you
can can
see see
a a
progression progression
here here
â â
we we
' '
ve ve
gone go
from from
a a
local local
problem problem
to to
a a
remote remote
problem problem
to to
a a
global global
problem problem
. .
And and
it it
' '
s s
been be
super super
exciting exciting
to to
work work
at at
these these
different different
scales scale
, ,
with with
also also
very very
simple simple
, ,
open-source open-source
technologies technology
. .
But but
at at
the the
same same
time time
, ,
it it
' '
s s
been be
increasingly increasingly
frustrating frustrating
because because
we we
have have
only only
started start
to to
measure measure
the the
damage damage
that that
we we
have have
done do
. .
We we
haven haven
' '
t t
even even
started start
to to
try try
to to
solve solve
the the
problems problem
. .
And and
so so
I i
wonder wonder
if if
we we
should should
just just
take take
a a
leap leap
and and
try try
to to
invent invent
better good
ways way
to to
do do
all all
these these
things thing
. .
And and
so so
the the
classroom classroom
started start
to to
feel feel
a a
little little
bit bit
small small
, ,
so so
we we
found find
an an
industrial industrial
site site
in in
Hong hong
Kong kong
, ,
and and
we we
turned turn
it it
into into
the the
largest large
mega-space mega-space
focused focus
on on
social social
and and
environmental environmental
impact impact
. .
It it
' '
s s
in in
central central
Hong hong
Kong kong
, ,
and and
it it
' '
s s
a a
place place
we we
can can
work work
with with
wood wood
, ,
metal metal
, ,
chemistry chemistry
, ,
a a
bit bit
of of
biology biology
, ,
a a
bit bit
of of
optics optic
, ,
basically basically
you you
can can
build build
pretty pretty
much much
everything everything
there there
. .
And and
its its
a a
place place
where where
adults adult
and and
kids kid
can can
play play
together together
. .
It it
' '
s s
a a
place place
where where
kids kid
' '
dreams dream
can can
come come
true true
, ,
with with
the the
help help
of of
adults adult
, ,
and and
where where
adults adult
can can
be be
kids kid
again again
. .
Student student
: :
Acceleration acceleration
! !
Acceleration acceleration
! !
Cesar cesar
Harada harada
: :
We we
' '
re re
asking ask
questions question
such such
as as
, ,
can can
we we
invent invent
the the
future future
of of
mobility mobility
with with
renewable renewable
energy energy
? ?
For for
example example
. .
Or or
, ,
can can
we we
help help
the the
mobility mobility
of of
the the
aging age
population population
by by
transforming transform
very very
standard standard
wheelchairs wheelchair
into into
cool cool
, ,
electric electric
vehicles vehicle
? ?
So so
plastic plastic
, ,
oil oil
and and
radioactivity radioactivity
are be
horrible horrible
, ,
horrible horrible
legacies legacy
, ,
but but
the the
very very
worst bad
legacy legacy
that that
we we
can can
leave leave
our our
children child
is be
lies lie
. .
We we
can can
no no
longer longer
afford afford
to to
shield shield
the the
kids kid
from from
the the
ugly ugly
truth truth
because because
we we
need need
their their
imagination imagination
to to
invent invent
the the
solutions solution
. .
So so
citizen citizen
scientists scientist
, ,
makers maker
, ,
dreamers dreamer
â â
we we
must must
prepare prepare
the the
next next
generation generation
that that
cares care
about about
the the
environment environment
and and
people people
, ,
and and
that that
can can
actually actually
do do
something something
about about
it it
. .
Thank thank
you you
. .
