Folks	NNS	folk
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
words	NNS	word
from	IN	from
the	DT	the
1970s	NNS	1970s
is	VBZ	be
television	NN	television
.	SENT	.
I	PP	I
was	VBD	be
raised	VBN	raise
by	IN	by
a	DT	a
television	NN	television
,	,	,
folks	NNS	folk
,	,	,
like	IN	like
so	RB	so
many	JJ	many
of	IN	of
us	PP	us
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
and	CC	and
two	CD	two
of	IN	of
my	PP$	my
favorite	JJ	favorite
shows	NNS	show
from	IN	from
the	DT	the
1970s	NNS	1970s
kind	RB	kind
of	IN	of
reveal	VB	reveal
what	WP	what
a	DT	a
spiritual	JJ	spiritual
path	NN	path
is	VBZ	be
.	SENT	.
These	DT	these
two	CD	two
shows	NNS	show
are	VBP	be
"	``	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
and	CC	and
"	``	"
Star	NP	Star
Trek	NP	Trek
.	SENT	.
"	``	"
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
start	VB	start
with	IN	with
"	``	"
Kung	NP	Kung
Fu	NP	Fu
.	SENT	.
"	''	"
"	``	"
Kung	NP	Kung
Fu	NP	Fu
,	,	,
"	``	"
for	IN	for
those	DT	those
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
,	,	,
is	VBZ	be
about	IN	about
Kwai	NP	Kwai
Chang	NP	Chang
Caine	NP	Caine
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
a	DT	a
half-Chinese	JJ	half-Chinese
Shaolin	NP	<unknown>
monk	NN	monk
,	,	,
practicing	VBG	practice
in	IN	in
China	NP	China
,	,	,
learning	VBG	learn
not	RB	not
only	RB	only
martial	JJ	martial
arts	NNS	art
but	CC	but
Daoist	NN	<unknown>
wisdom	NN	wisdom
,	,	,
Confucianism	NN	Confucianism
and	CC	and
Buddhist	NN	Buddhist
ideas	NNS	idea
of	IN	of
wisdom	NN	wisdom
and	CC	and
self-reflection	NN	self-reflection
.	SENT	.
He	PP	he
is	VBZ	be
then	RB	then
sent	VBN	send
out	RP	out
of	IN	of
the	DT	the
monastery	NN	monastery
,	,	,
and	CC	and
he	PP	he
goes	VBZ	go
to	TO	to
the	DT	the
Old	NP	Old
West	NP	West
.	SENT	.
This	DT	this
is	VBZ	be
set	VBN	set
during	IN	during
the	DT	the
1860s	JJ	<unknown>
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
wandering	VBG	wander
through	IN	through
the	DT	the
West	NP	West
and	CC	and
encountering	VBG	encounter
all	DT	all
kinds	NNS	kind
of	IN	of
unfortunate	JJ	unfortunate
events	NNS	event
like	IN	like
racist	JJ	racist
cowboys	NNS	cowboy
and	CC	and
mean	VB	mean
people	NNS	people
and	CC	and
aggressive	JJ	aggressive
landowners	NNS	landowner
with	IN	with
shotguns	NNS	shotgun
.	SENT	.
And	CC	and
he	PP	he
is	VBZ	be
distilling	VBG	distil
his	PP$	his
eastern	JJ	eastern
wisdom	NN	wisdom
and	CC	and
sharing	VBG	share
it	PP	it
with	IN	with
people	NNS	people
.	SENT	.
He	PP	he
is	VBZ	be
learning	VBG	learn
as	IN	as
he	PP	he
goes	VBZ	go
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
learning	VBG	learn
how	WRB	how
to	TO	to
be	VB	be
ever	RB	ever
more	RBR	more
thoughtful	JJ	thoughtful
and	CC	and
patient	JJ	patient
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
all	DT	all
of	IN	of
these	DT	these
terrible	JJ	terrible
racist	JJ	racist
cowboys	NNS	cowboy
.	SENT	.
And	CC	and
eventually	RB	eventually
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
a	DT	a
kick	NN	kick
ass	NN	ass
fight	NN	fight
.	SENT	.
To	TO	to
me	PP	me
,	,	,
"	''	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
is	VBZ	be
incredibly	RB	incredibly
profound	JJ	profound
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
section	NN	section
on	IN	on
it	PP	it
in	IN	in
my	PP$	my
book	NN	book
in	IN	in
which	WDT	which
some	DT	some
of	IN	of
the	DT	the
phrases	NNS	phrase
of	IN	of
the	DT	the
show	NN	show
"	``	"
Kung	NP	Kung
Fu	NP	Fu
"	''	"
can	MD	can
be	VB	be
compared	VBN	compare
to	TO	to
the	DT	the
Bible	NN	Bible
,	,	,
to	TO	to
Confucius	NP	Confucius
,	,	,
to	TO	to
the	DT	the
Bhagavad	NP	<unknown>
Gita	NP	Gita
,	,	,
to	TO	to
the	DT	the
sayings	NNS	saying
of	IN	of
the	DT	the
Buddha	NN	buddha
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
path	NN	path
that	IN	that
we	PP	we
all	RB	all
walk	VBP	walk
as	IN	as
spiritual	JJ	spiritual
beings	NNS	being
.	SENT	.
We	PP	we
all	RB	all
are	VBP	be
seeking	VBG	seek
to	TO	to
increase	VB	increase
our	PP$	our
wisdom	NN	wisdom
,	,	,
our	PP$	our
kindness	NN	kindness
,	,	,
our	PP$	our
compassion	NN	compassion
,	,	,
our	PP$	our
patience	NN	patience
,	,	,
all	RB	all
of	IN	of
these	DT	these
,	,	,
what	WP	what
I	PP	I
would	MD	would
call	VB	call
spiritual	JJ	spiritual
virtues	NNS	virtue
,	,	,
as	IN	as
we	PP	we
move	VBP	move
through	IN	through
the	DT	the
world	NN	world
,	,	,
we	PP	we
'	POS	'
re	NN	re
cultivating	VBG	cultivate
these	DT	these
.	SENT	.
We	PP	we
are	VBP	be
beset	VBN	beset
by	IN	by
tests	NNS	test
.	SENT	.
We	PP	we
have	VBP	have
our	PP$	our
own	JJ	own
version	NN	version
of	IN	of
racist	JJ	racist
cowboys	NNS	cowboy
.	SENT	.
We	PP	we
have	VBP	have
,	,	,
you	PP	you
know	VBP	know
,	,	,
mean	VBP	mean
bosses	NNS	boss
and	CC	and
deadlines	NNS	deadline
and	CC	and
Zoom	VB	zoom
calls	NNS	call
and	CC	and
impatient	JJ	impatient
kids	NNS	kid
,	,	,
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
money	NN	money
and	CC	and
